GEO_ID,B20017E_001E,B20017E_001M,B20017E_002E,B20017E_002M,B20017E_003E,B20017E_003M,B20017E_004E,B20017E_004M,B20017E_005E,B20017E_005M,B20017E_006E,B20017E_006M,B20017E_007E,B20017E_007M,NAME,B20017E_001MA,B20017E_001EA,B20017E_002MA,B20017E_002EA,B20017E_003MA,B20017E_003EA,B20017E_004MA,B20017E_004EA,B20017E_005EA,B20017E_005MA,B20017E_006EA,B20017E_006MA,B20017E_007MA,B20017E_007EA,state
0400000US01,26850,13049,26587,9501,27048,17351,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,Alabama,null,null,null,null,null,null,**,-,-,**,-,**,**,-,01
0400000US02,35282,10110,28138,14673,40860,13493,2499,-333333333,40207,9252,42379,36202,10644,10695,Alaska,null,null,null,null,null,null,***,"2,500-",null,null,null,null,null,null,02
0400000US04,22972,4445,27021,13594,45055,26934,13691,6883,21160,3162,26193,9435,9996,3542,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26332,3682,27801,4255,28553,1402,18283,7551,24168,1436,25049,2098,5625,9578,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33065,2961,38515,3603,46603,3204,11402,2607,31021,1192,40185,3185,11921,1971,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,25613,17961,47374,26725,65816,20145,20426,15106,15887,15254,41327,28960,9212,1650,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40795,7868,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,Connecticut,null,null,**,-,**,-,**,-,-,**,-,**,**,-,09
0400000US10,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,Delaware,**,-,**,-,**,-,**,-,-,**,-,**,**,-,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20835,4970,20389,5056,25879,7419,8821,16616,22855,15247,35814,12516,3623,11030,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,31020,3156,31646,19143,36242,40134,19750,10760,30021,19273,30417,15406,2499,-333333333,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,***,"2,500-",13
0400000US15,31486,1250,36095,2311,43982,3807,9852,3248,26886,2329,36359,2064,11282,1220,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,34067,3202,34514,2086,35055,9061,6055,25713,31665,29186,50242,33666,6563,8556,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,31063,5576,60370,47180,61168,23552,2499,-333333333,26343,7893,29529,4562,12691,9530,Illinois,null,null,null,null,null,null,***,"2,500-",null,null,null,null,null,null,17
0400000US18,33214,18412,33393,19377,34167,18679,-666666666,-222222222,32375,29909,41649,26380,-666666666,-222222222,Indiana,null,null,null,null,null,null,**,-,null,null,null,null,**,-,18
0400000US19,22253,5180,30956,6376,35795,7046,10785,10323,11050,19217,26674,32529,3414,1781,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20902,7285,21394,1187,21879,1710,5963,3691,13958,16210,21501,16372,7065,3129,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,17283,17987,17083,16059,40486,31404,15643,1663,25142,23878,48140,54112,25000,36376,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,24174,25396,22000,16660,-666666666,-222222222,-666666666,-222222222,55819,57785,-666666666,-222222222,-666666666,-222222222,Louisiana,null,null,null,null,**,-,**,-,null,null,-,**,**,-,22
0400000US23,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,Maine,**,-,**,-,**,-,**,-,-,**,-,**,**,-,23
