GEO_ID,B28009B_001E,B28009B_001M,B28009B_002E,B28009B_002M,B28009B_003E,B28009B_003M,B28009B_004E,B28009B_004M,B28009B_005E,B28009B_005M,B28009B_006E,B28009B_006M,NAME,B28009B_001MA,B28009B_001EA,B28009B_002EA,B28009B_002MA,B28009B_003MA,B28009B_003EA,B28009B_004EA,B28009B_004MA,B28009B_005EA,B28009B_005MA,B28009B_006EA,B28009B_006MA,state
0400000US01,1260271,7235,1091453,13787,2761,1545,941430,15620,147262,12550,168818,12188,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,292316,7129,271510,7704,529,574,246553,8593,24428,5173,20806,4534,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,436861,5189,367564,8271,402,375,304971,9704,62191,6797,69297,7240,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2148691,19942,2026926,21153,1765,715,1861847,21745,163314,11332,121765,9221,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,218050,6267,209210,6466,336,428,192988,7211,15886,4592,8840,2495,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,360184,7264,335902,8070,593,670,305270,8338,30039,5106,24282,3636,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,200060,3796,188337,4816,374,404,165818,6098,22145,4129,11723,3150,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,300315,3630,268555,5211,784,1016,220530,8693,47241,8343,31760,4505,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3265515,19038,2995347,27009,3783,2101,2531758,32593,459806,25673,270168,15074,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3175012,15111,2922986,20131,1380,733,2582904,24847,338702,18630,252026,14893,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1733090,10913,1560766,14016,3041,1488,1385764,17722,171961,11286,172324,9710,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,595645,7127,523632,10729,279,258,462342,11287,61011,6996,72013,6850,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,98610,4720,90416,5258,59,96,79471,5524,10886,3011,8194,2114,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,155840,5302,139524,5726,532,516,120258,6535,18734,3501,16316,2863,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,341611,6501,309338,7105,184,301,281094,8418,28060,5118,32273,4044,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1460775,7559,1248237,16147,1012,592,1044835,20588,202390,13745,212538,14139,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,14676,1349,13964,1402,0,175,12983,1527,981,661,712,385,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1749113,11638,1655896,14200,960,509,1537345,16805,117591,9692,93217,8312,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,503797,11380,473060,12364,200,206,432170,11743,40690,7407,30737,4320,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1316310,9535,1191172,11900,1921,1061,1021548,14590,167703,11142,125138,8113,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,347498,6122,332254,6631,809,663,303865,8367,27580,4273,15244,2920,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
