GEO_ID,B21001B_001E,B21001B_001M,B21001B_002E,B21001B_002M,B21001B_003E,B21001B_003M,B21001B_004E,B21001B_004M,B21001B_005E,B21001B_005M,B21001B_006E,B21001B_006M,B21001B_007E,B21001B_007M,B21001B_008E,B21001B_008M,B21001B_009E,B21001B_009M,B21001B_010E,B21001B_010M,B21001B_011E,B21001B_011M,B21001B_012E,B21001B_012M,B21001B_013E,B21001B_013M,B21001B_014E,B21001B_014M,B21001B_015E,B21001B_015M,B21001B_016E,B21001B_016M,B21001B_017E,B21001B_017M,B21001B_018E,B21001B_018M,B21001B_019E,B21001B_019M,B21001B_020E,B21001B_020M,B21001B_021E,B21001B_021M,B21001B_022E,B21001B_022M,B21001B_023E,B21001B_023M,B21001B_024E,B21001B_024M,B21001B_025E,B21001B_025M,B21001B_026E,B21001B_026M,B21001B_027E,B21001B_027M,B21001B_028E,B21001B_028M,B21001B_029E,B21001B_029M,B21001B_030E,B21001B_030M,B21001B_031E,B21001B_031M,B21001B_032E,B21001B_032M,B21001B_033E,B21001B_033M,NAME,B21001B_001EA,B21001B_001MA,B21001B_002MA,B21001B_002EA,B21001B_003EA,B21001B_003MA,B21001B_004MA,B21001B_004EA,B21001B_005MA,B21001B_005EA,B21001B_006EA,B21001B_006MA,B21001B_007MA,B21001B_007EA,B21001B_008EA,B21001B_008MA,B21001B_009MA,B21001B_009EA,B21001B_010EA,B21001B_010MA,B21001B_011MA,B21001B_011EA,B21001B_012MA,B21001B_012EA,B21001B_013MA,B21001B_013EA,B21001B_014MA,B21001B_014EA,B21001B_015EA,B21001B_015MA,B21001B_016EA,B21001B_016MA,B21001B_017MA,B21001B_017EA,B21001B_018MA,B21001B_018EA,B21001B_019EA,B21001B_019MA,B21001B_020EA,B21001B_020MA,B21001B_021EA,B21001B_021MA,B21001B_022EA,B21001B_022MA,B21001B_023EA,B21001B_023MA,B21001B_024MA,B21001B_024EA,B21001B_025MA,B21001B_025EA,B21001B_026EA,B21001B_026MA,B21001B_027EA,B21001B_027MA,B21001B_028MA,B21001B_028EA,B21001B_029MA,B21001B_029EA,B21001B_030MA,B21001B_030EA,B21001B_031EA,B21001B_031MA,B21001B_032EA,B21001B_032MA,B21001B_033MA,B21001B_033EA,state
0400000US01,911347,3926,407505,2512,148447,2666,6191,1504,142256,2856,152972,2817,28505,2830,124467,3643,61602,1714,23603,1972,37999,2551,27364,1344,7433,1202,19931,1476,17120,1231,6619,920,10501,1229,503842,2249,172728,1906,3572,1153,169156,2013,184226,2160,6495,1316,177731,2349,75646,1064,1366,499,74280,1136,37519,1106,190,162,37329,1089,33723,1059,98,111,33625,1063,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16174,1035,8894,688,3645,821,707,553,2938,777,3814,641,1715,703,2099,607,1024,378,839,354,185,143,273,220,233,208,40,63,138,138,138,138,0,246,7280,683,3104,693,692,538,2412,674,2603,512,474,415,2129,561,805,356,142,153,663,364,314,214,0,246,314,214,454,320,0,246,454,320,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,183748,3008,94610,2216,37167,1943,2468,1016,34699,2217,37695,1262,8413,1612,29282,1866,11841,656,4440,986,7401,945,5599,506,3131,754,2468,665,2308,311,1467,534,841,487,89138,1866,33357,1501,858,539,32499,1526,35817,1252,2009,783,33808,1258,10765,525,604,404,10161,646,5249,275,44,73,5205,279,3950,396,0,305,3950,396,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,323378,2717,149627,2259,58567,2268,2705,887,55862,2433,55108,1962,11129,1805,43979,2160,19900,1313,7441,1240,12459,1301,10527,1190,1453,547,9074,1099,5525,936,2019,581,3506,815,173751,2019,61140,2036,1206,651,59934,2094,64757,1838,2068,897,62689,1765,25029,937,883,463,24146,1004,11555,915,41,68,11514,920,11270,841,89,138,11181,824,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1677096,8914,812520,5837,280397,4864,13106,2149,267291,5387,323016,3208,55259,3357,267757,4570,116302,1749,38286,3285,78016,3572,59292,1594,27864,1978,31428,2248,33513,1207,20747,1328,12766,1327,864576,6222,278257,4885,3168,998,275089,4925,327886,3902,8699,1465,319187,3964,127864,1762,2532,581,125332,1980,72470,1248,944,455,71526,1319,58099,1037,1103,603,56996,1157,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,141036,3092,73636,2882,24883,1755,1568,754,23315,1783,32568,1635,6756,1367,25812,1766,9945,898,4759,946,5186,813,3790,591,2002,521,1788,593,2450,469,2066,518,384,267,67400,2115,23430,1567,858,568,22572,1793,27063,1261,1490,722,25573,1464,8559,534,0,279,8559,534,4509,598,0,279,4509,598,3839,619,0,279,3839,619,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,260070,3223,121046,2322,45231,1538,1227,726,44004,1677,48951,1166,4662,1108,44289,1531,15151,660,3408,974,11743,1151,8005,949,2030,715,5975,946,3708,542,1662,409,2046,589,139024,2262,47270,1531,156,187,47114,1514,54600,1425,1467,660,53133,1542,17293,654,331,336,16962,721,11783,646,277,376,11506,715,8078,559,152,193,7926,522,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,136392,1419,62470,859,22413,993,641,287,21772,1012,24953,924,5561,1031,19392,1294,8294,199,3660,796,4634,803,4373,336,1409,417,2964,554,2437,326,1038,443,1399,405,73922,1093,24465,894,76,115,24389,899,29622,603,878,437,28744,774,10542,361,135,157,10407,410,5702,66,0,265,5702,66,3591,390,0,265,3591,390,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,241756,2289,106210,1276,34712,801,559,324,34153,865,38579,573,4261,1005,34318,1194,17187,365,5074,1209,12113,1296,8973,218,3129,603,5844,585,6759,168,4728,537,2031,545,135546,1313,42130,544,0,292,42130,544,44930,374,487,255,44443,473,21275,538,295,201,20980,557,13343,399,0,292,13343,399,13868,357,0,292,13868,357,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2130255,11524,994487,5778,383602,4579,14487,2016,369115,4837,378727,3788,59418,4091,319309,4537,127933,2081,32990,2593,94943,2847,67478,2024,15049,1734,52429,2567,36747,1825,11452,1533,25295,1959,1135768,8025,406423,5156,6716,1601,399707,5540,430756,4167,10017,1617,420739,4298,149871,2068,3011,991,146860,2261,84471,1860,346,279,84125,1891,64247,1984,341,190,63906,2012,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
