GEO_ID,B14007F_001E,B14007F_001M,B14007F_002E,B14007F_002M,B14007F_003E,B14007F_003M,B14007F_004E,B14007F_004M,B14007F_005E,B14007F_005M,B14007F_006E,B14007F_006M,B14007F_007E,B14007F_007M,B14007F_008E,B14007F_008M,B14007F_009E,B14007F_009M,B14007F_010E,B14007F_010M,B14007F_011E,B14007F_011M,B14007F_012E,B14007F_012M,B14007F_013E,B14007F_013M,B14007F_014E,B14007F_014M,B14007F_015E,B14007F_015M,B14007F_016E,B14007F_016M,B14007F_017E,B14007F_017M,B14007F_018E,B14007F_018M,B14007F_019E,B14007F_019M,NAME,B14007F_001MA,B14007F_001EA,B14007F_002EA,B14007F_002MA,B14007F_003MA,B14007F_003EA,B14007F_004MA,B14007F_004EA,B14007F_005EA,B14007F_005MA,B14007F_006EA,B14007F_006MA,B14007F_007MA,B14007F_007EA,B14007F_008EA,B14007F_008MA,B14007F_009MA,B14007F_009EA,B14007F_010EA,B14007F_010MA,B14007F_011EA,B14007F_011MA,B14007F_012MA,B14007F_012EA,B14007F_013MA,B14007F_013EA,B14007F_014EA,B14007F_014MA,B14007F_015EA,B14007F_015MA,B14007F_016EA,B14007F_016MA,B14007F_017MA,B14007F_017EA,B14007F_018EA,B14007F_018MA,B14007F_019MA,B14007F_019EA,state
0400000US01,46849,5983,11023,2197,1102,858,949,753,713,438,1692,962,692,391,641,374,830,549,547,351,540,462,491,457,454,329,694,558,237,238,326,298,1103,508,12,24,35826,4823,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,389951,21463,132916,10038,4887,1416,6769,1888,6926,1521,7724,1662,6936,1563,9386,2049,6176,1433,11211,1998,6524,1584,9734,1813,7299,1929,8263,1772,7439,1520,9089,2076,21885,3260,2668,1095,257035,13780,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,58008,6133,19376,2947,1568,725,866,484,578,351,869,505,1007,523,2438,727,1223,628,1845,744,897,407,990,489,1012,482,938,409,1971,844,965,638,1945,927,264,208,38632,4417,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4621338,64567,1591941,31504,83942,5476,91343,6155,85853,5053,83918,5310,84537,5287,84354,4740,88697,4699,87616,5317,84875,5637,85855,5103,90115,5308,94755,5245,100832,5583,112150,6610,307770,12414,25329,2604,3029397,46113,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,264609,14534,91231,8218,5065,1381,6674,1395,5077,1420,7248,1678,5711,1305,6076,1548,5438,1228,3728,1205,5283,1529,5581,1524,4632,1276,4957,1274,4986,1420,5936,1550,13334,2188,1505,688,173378,9134,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,180704,9834,55104,4851,3125,1058,2950,908,3290,1119,3096,1041,3259,1029,2766,988,3664,1105,3745,986,2570,764,3697,1015,2904,1125,3301,1069,3253,1131,4354,1216,7529,1788,1601,725,125600,7208,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16815,3683,6396,1932,282,227,256,296,523,348,464,402,540,434,371,356,375,247,54,92,329,257,322,278,202,211,462,409,375,293,309,266,1024,776,508,488,10419,2305,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,468916,23946,139996,8448,8463,1916,5618,1303,5840,1579,7090,1641,6746,1634,7739,1775,8380,1619,6043,1342,7912,1673,7007,1506,8003,1658,8271,1418,5753,1281,9522,2025,31955,4159,5654,1555,328920,19159,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,296558,15637,91168,6735,5598,1520,7819,2109,9072,2053,7207,1768,5960,1437,4882,1284,6754,1377,4424,1166,3976,1333,5849,1468,4809,1267,4657,1174,3274,1099,4757,1456,10799,2516,1331,699,205390,11666,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,31590,4329,10610,2054,368,328,780,375,582,274,664,342,762,473,539,320,698,456,792,441,484,333,667,472,451,308,940,481,208,177,447,262,2189,749,39,52,20980,2999,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,754925,26225,264799,12279,17145,2137,17136,2660,15326,2019,18252,2617,16083,2399,16288,2436,17501,2391,15708,2521,15162,2358,13032,2175,16192,2157,15827,1898,12913,1987,13284,1835,39750,3943,5200,1217,490126,17460,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,123528,9153,46544,4792,2684,1071,2000,799,2437,809,3516,1050,2758,877,3481,938,2763,879,3234,1175,2884,897,2763,844,2459,820,2752,982,1389,576,3033,990,6732,1881,1659,849,76984,6040,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,42576,4395,14876,2449,914,670,1424,716,643,474,789,448,551,332,542,351,645,396,662,397,1148,542,573,374,732,476,1247,774,1018,618,763,372,3000,936,225,189,27700,3332,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,65145,5947,22961,3326,1534,803,2753,889,1132,784,1054,430,1641,817,1648,663,1258,594,1082,549,659,472,810,468,1636,661,642,368,1389,688,1311,775,3574,943,838,579,42184,4249,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,38829,4760,10401,1931,731,448,915,450,1163,644,706,472,809,431,592,397,618,447,474,424,839,568,911,622,860,439,183,195,91,108,539,324,970,508,0,271,28428,3764,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,53730,5809,14092,2926,988,428,777,412,1395,832,1421,735,280,191,757,405,549,331,1430,690,612,411,357,235,306,271,812,597,832,562,444,367,2614,1038,518,332,39638,3951,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,166507,10920,46395,4704,3718,1217,3474,1224,1857,835,2885,983,2550,783,3091,1023,1587,661,2516,775,2349,835,3154,958,1346,692,2297,813,2514,923,2969,1176,8328,1838,1760,761,120112,8315,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,233848,10715,74637,5677,4152,967,5127,1390,3487,1013,3221,1094,3324,955,2843,935,5175,1305,3104,955,3482,786,4131,1241,4875,1315,4360,992,3042,885,6109,1418,15744,2173,2461,824,159211,8103,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,108076,9262,41302,4557,2286,893,3340,1002,3208,732,2403,800,1805,750,1859,767,2456,873,2161,608,1358,622,2440,879,2453,725,2794,872,1361,498,2226,860,7567,1727,1585,648,66774,5720,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,61722,5800,23051,3215,1850,746,1828,736,1313,485,1649,673,1101,534,792,402,2097,851,972,439,1090,521,1398,631,952,440,1234,563,1550,601,1529,588,3409,1276,287,240,38671,3729,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,20406,3864,4240,1241,464,303,374,298,51,76,115,135,320,301,350,307,466,364,171,138,0,287,547,391,284,266,60,88,240,267,265,275,478,286,55,98,16166,3331,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,53278,5485,15490,2689,1050,586,636,426,1278,691,586,371,1458,512,1190,447,826,458,729,535,580,405,1061,535,721,393,680,376,872,645,1266,666,2507,1012,50,83,37788,3843,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,32293,4476,11578,2345,294,319,558,397,683,354,1016,548,503,294,785,438,653,325,671,382,342,236,1403,634,910,431,491,392,905,474,840,402,1423,573,101,127,20715,2765,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,161721,12124,52819,4709,1890,956,3936,1251,2612,876,2804,856,3125,866,3000,867,2210,772,3176,1077,4129,1213,4009,1162,3794,1181,3869,1183,2750,808,3107,853,7721,1524,687,471,108902,9086,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,509357,19909,154407,8461,13999,2308,11069,1835,9079,1979,8247,1641,9818,2001,8135,1747,7916,1646,9186,1694,8818,1988,7164,1402,8218,1671,8485,1526,8402,1924,6548,1517,25964,3198,3359,1185,354950,15555,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,219602,12228,63853,5647,3837,1337,3540,1036,4199,1369,3165,1230,2771,917,2725,834,3095,970,4307,1314,3337,1179,2615,953,4189,1353,3412,1023,3068,1095,4286,1192,13717,2200,1590,665,155749,8462,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
