GEO_ID,C08105F_001E,C08105F_001M,C08105F_002E,C08105F_002M,C08105F_003E,C08105F_003M,C08105F_004E,C08105F_004M,C08105F_005E,C08105F_005M,C08105F_006E,C08105F_006M,NAME,C08105F_001EA,C08105F_001MA,C08105F_002MA,C08105F_002EA,C08105F_003MA,C08105F_003EA,C08105F_004MA,C08105F_004EA,C08105F_005EA,C08105F_005MA,C08105F_006EA,C08105F_006MA,state
0400000US01,23859,3836,13490,2446,9571,2522,140,146,307,301,351,367,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3658,1014,1956,614,1037,617,0,246,482,304,183,226,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,154253,11060,116623,9745,22783,3476,3221,1100,8074,1999,3552,1037,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26188,3309,16338,2377,8962,2222,119,194,647,413,122,163,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1999850,37197,1371586,28479,288343,11028,166295,9843,120389,7000,53237,5154,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,116462,7351,82269,6371,21358,3036,6378,1408,3896,1237,2561,1108,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,79319,6292,46857,4634,15096,3409,8297,2202,8374,2104,695,425,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8090,1866,2011,828,428,322,4288,1390,1177,811,186,165,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,223845,14989,150723,9683,41304,5379,14962,7990,13116,3289,3740,1141,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,136716,8410,76905,6213,32935,4258,3672,1450,19654,4143,3550,1190,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,7237,1685,4398,1053,734,376,268,261,1292,946,545,446,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,14541,2277,11449,2060,2133,689,107,137,759,500,93,143,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,335380,12777,219018,9747,55342,4780,33693,3972,20360,3096,6967,1388,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,53016,4753,41297,4344,8785,1931,1102,608,1780,766,52,86,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,20800,2727,13307,2145,5041,1530,64,117,1299,689,1089,640,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,29548,3028,23469,2765,4071,1342,519,348,1042,694,447,349,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19417,2914,9677,1806,8194,2146,11,20,581,450,954,1478,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,26055,2841,15904,2307,7927,1972,1065,638,898,498,261,315,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,96604,7451,54222,5718,23399,3451,14110,2711,3238,1231,1635,755,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,96177,6256,58443,4647,16140,2647,12795,2814,6231,1397,2568,1182,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,44621,4062,29838,3164,10046,2423,402,226,2300,817,2035,1495,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,26830,2595,16614,2259,6039,1508,1926,738,1413,689,838,594,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,9416,2075,5582,1361,2882,1617,0,287,615,488,337,289,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,23877,2813,16573,2094,3690,1266,555,396,1754,704,1305,563,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,16314,2425,11755,1870,3794,1299,75,125,492,346,198,211,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,70379,6225,55770,6057,8487,1944,3737,1256,1756,851,629,374,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,244768,12059,126579,6598,32531,4573,44339,5057,37328,4498,3991,1301,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,95644,6775,79037,5823,9139,1646,1125,601,2545,865,3798,1121,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,671348,13495,200406,9040,53363,6318,311632,10508,87344,6474,18603,2346,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,124386,6457,77535,5862,35474,3473,1972,1075,6706,2167,2699,1301,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,1891,459,1371,491,298,278,48,65,174,169,0,211,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,37164,4123,24346,3323,8649,1924,622,423,2624,833,923,489,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,43062,3216,30171,2585,10209,1918,263,301,1376,717,1043,497,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,70996,5213,46042,3981,13091,2575,4903,1358,4218,1523,2742,1420,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,80005,5456,46681,3857,14745,2506,10578,2237,5766,1889,2235,802,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,27341,3336,15365,2230,7135,2384,1944,990,2388,941,509,449,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,35020,3960,18379,3246,12573,2372,85,141,3212,1343,771,694,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,2948,890,2454,819,272,173,0,223,173,162,49,59,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,40971,4835,28708,4752,10819,2956,0,287,614,514,830,516,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,816007,18920,584932,15695,152742,9646,17253,2526,44060,5099,17020,2607,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,45964,4331,34155,3660,7433,1989,1224,732,1961,845,1191,671,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,99445,9318,61631,7205,13908,2902,10808,3107,8318,3151,4780,1962,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,110326,6974,73776,5780,21361,3652,4633,1530,7622,2378,2934,1336,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,38646,3104,27258,2464,7431,1825,624,425,2462,729,871,441,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,117082,5336,91461,4613,12023,1942,3449,1058,7902,1317,2247,712,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
