GEO_ID,B14007B_001E,B14007B_001M,B14007B_002E,B14007B_002M,B14007B_003E,B14007B_003M,B14007B_004E,B14007B_004M,B14007B_005E,B14007B_005M,B14007B_006E,B14007B_006M,B14007B_007E,B14007B_007M,B14007B_008E,B14007B_008M,B14007B_009E,B14007B_009M,B14007B_010E,B14007B_010M,B14007B_011E,B14007B_011M,B14007B_012E,B14007B_012M,B14007B_013E,B14007B_013M,B14007B_014E,B14007B_014M,B14007B_015E,B14007B_015M,B14007B_016E,B14007B_016M,B14007B_017E,B14007B_017M,B14007B_018E,B14007B_018M,B14007B_019E,B14007B_019M,NAME,B14007B_001MA,B14007B_001EA,B14007B_002EA,B14007B_002MA,B14007B_003MA,B14007B_003EA,B14007B_004EA,B14007B_004MA,B14007B_005EA,B14007B_005MA,B14007B_006EA,B14007B_006MA,B14007B_007MA,B14007B_007EA,B14007B_008EA,B14007B_008MA,B14007B_009EA,B14007B_009MA,B14007B_010MA,B14007B_010EA,B14007B_011EA,B14007B_011MA,B14007B_012EA,B14007B_012MA,B14007B_013MA,B14007B_013EA,B14007B_014EA,B14007B_014MA,B14007B_015MA,B14007B_015EA,B14007B_016MA,B14007B_016EA,B14007B_017EA,B14007B_017MA,B14007B_018EA,B14007B_018MA,B14007B_019MA,B14007B_019EA,state
0400000US01,1204263,5309,392692,7043,21253,2808,21537,2368,16823,2285,18434,1796,18755,2570,19357,2664,19116,1947,19374,2393,20835,2156,20594,2521,20098,2395,19793,1857,22575,2467,23980,2772,94022,5839,16146,2191,811571,7006,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,24113,1576,9209,1392,380,526,469,387,148,204,103,116,459,341,697,378,969,495,237,199,393,363,436,364,527,283,233,225,875,389,165,142,2882,764,236,236,14904,1316,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,249571,5222,90479,4592,3204,1212,3571,1234,5776,1295,3622,1088,3724,1419,4088,1254,4787,1092,4387,1103,4570,1317,4206,1229,3703,1070,4868,1228,4904,1240,4733,1188,27676,3388,2660,946,159092,4191,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,438863,3945,154057,5221,11491,1575,8287,1475,6935,1169,5389,1327,8997,1961,8360,1510,7864,1314,7921,1307,7419,1227,8235,1458,5902,1151,9628,1535,9028,1667,7972,1878,34422,3101,6207,1171,284806,4388,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2160586,13598,693840,13543,32014,3313,30334,2853,27548,2721,28027,2936,31134,3178,29408,2592,25522,2509,28268,2853,31390,3205,36969,2872,35485,3459,38235,3096,37559,3060,43316,3527,209430,8438,29201,3219,1466746,12599,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,188833,4564,60348,3897,2619,735,2375,855,4063,1195,2961,1158,2596,836,3364,975,2648,809,2610,909,2312,595,2367,698,3237,1116,2594,920,4625,1028,4925,1298,13832,2045,3220,979,128485,3869,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,343133,5274,117555,3933,5170,1294,5098,1106,3900,1060,7860,1849,6220,1562,5217,1452,4810,969,4701,1119,5038,1327,6325,1481,7749,1587,5917,977,6930,1571,6982,1414,29582,2670,6056,1352,225578,4608,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,183782,2479,63130,3091,4366,1099,2094,669,3629,950,2322,797,3229,916,3075,915,3180,964,3920,995,2776,771,3038,756,3695,893,4178,1199,3879,1083,2448,777,14933,1963,2368,712,120652,2573,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,297156,2748,82696,2997,5059,1016,3497,953,4286,1071,3294,856,3900,1011,2788,825,2533,746,3353,933,4299,1085,4286,1144,5019,1418,5119,1129,4261,1141,5576,1206,19422,2567,6004,1378,214460,4061,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2865270,14733,989738,12320,64942,5119,47815,3154,47621,3700,48223,3802,52797,3875,48181,3647,50832,3808,45314,3932,49446,3975,46271,4117,51789,4459,48948,3550,49991,3221,64685,4971,236681,9497,36202,4290,1875532,13423,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2844110,10124,990696,13750,67211,4170,47049,4364,43248,3439,43433,4051,53418,4088,50519,4464,45949,3858,47959,4459,48494,3986,52016,4427,54941,4474,51347,3610,45831,3747,58889,5164,237731,9635,42661,4089,1853414,12550,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
