GEO_ID,B17020B_001E,B17020B_001M,B17020B_002E,B17020B_002M,B17020B_003E,B17020B_003M,B17020B_004E,B17020B_004M,B17020B_005E,B17020B_005M,B17020B_006E,B17020B_006M,B17020B_007E,B17020B_007M,B17020B_008E,B17020B_008M,B17020B_009E,B17020B_009M,B17020B_010E,B17020B_010M,B17020B_011E,B17020B_011M,B17020B_012E,B17020B_012M,B17020B_013E,B17020B_013M,B17020B_014E,B17020B_014M,B17020B_015E,B17020B_015M,B17020B_016E,B17020B_016M,B17020B_017E,B17020B_017M,NAME,B17020B_001EA,B17020B_001MA,B17020B_002EA,B17020B_002MA,B17020B_003EA,B17020B_003MA,B17020B_004EA,B17020B_004MA,B17020B_005EA,B17020B_005MA,B17020B_006EA,B17020B_006MA,B17020B_007EA,B17020B_007MA,B17020B_008MA,B17020B_008EA,B17020B_009EA,B17020B_009MA,B17020B_010MA,B17020B_010EA,B17020B_011MA,B17020B_011EA,B17020B_012EA,B17020B_012MA,B17020B_013MA,B17020B_013EA,B17020B_014MA,B17020B_014EA,B17020B_015MA,B17020B_015EA,B17020B_016EA,B17020B_016MA,B17020B_017MA,B17020B_017EA,state
0400000US01,1214146,6568,393012,14734,50145,3697,9701,1739,55575,4336,42230,3583,209251,9105,13040,1393,13070,1463,821134,15421,43269,3721,7370,1469,56778,4183,78776,4399,549761,9350,50844,1914,34336,1880,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23692,1626,1814,788,61,96,0,246,122,192,179,153,1418,608,0,246,34,58,21878,1595,1428,378,201,316,2734,840,2235,628,14135,1007,587,302,558,350,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,252549,5466,63436,6497,9717,2477,1092,569,7766,2138,5782,1590,36795,3526,1438,663,846,427,189113,7846,12974,2320,2052,796,17727,2458,20250,2354,121509,4172,9260,674,5341,726,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,445876,4492,153313,9494,21740,2080,4699,1312,20658,2575,18342,2292,79369,6221,3868,928,4637,889,292563,9672,18493,2188,4249,927,22142,2702,27791,2970,191170,6376,17460,1526,11258,1139,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2135645,14606,483682,17234,54488,4589,10478,1695,54125,4885,53935,4792,280007,9533,15679,2153,14970,1779,1651963,21789,82957,5195,17296,2415,111655,6043,152965,6392,1101892,12828,113278,2924,71920,2401,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,183980,4832,47299,5031,7121,1186,520,504,7542,1776,5636,1669,24732,2909,1028,446,720,376,136681,5883,7500,1452,1367,596,10973,1830,12726,1863,91958,3891,7128,1042,5029,711,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,341051,5612,75389,8260,8082,1686,1770,618,9717,2305,8506,2136,43251,4421,2929,789,1134,506,265662,8362,15557,2157,2312,787,23347,2843,26195,2415,172454,4831,16447,1335,9350,898,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,181767,3195,37295,5839,4718,1460,1054,553,6807,1696,5143,1248,17587,2952,1262,449,724,359,144472,6138,9466,1619,1599,793,11314,1831,14005,1763,94669,3275,8655,548,4764,580,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,297061,3042,80412,6475,7817,1599,1253,583,8090,1664,10450,1488,45969,3962,3999,1038,2834,814,216649,6965,10776,1663,1182,567,11972,1769,14770,1965,143781,4480,17910,1122,16258,977,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2871335,15476,819923,24600,100208,5566,18476,2921,106836,7468,98828,5949,441502,14392,29115,3007,24958,2287,2051412,25975,125891,5521,25730,3066,174656,8261,190413,7170,1344515,16680,118589,3836,71618,2703,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
