B24010D_054M,B24010D_055E,B24010D_055M,B24010D_056E,B24010D_056M,B24010D_057E,B24010D_057M,B24010D_058E,B24010D_058M,B24010D_059E,B24010D_059M,B24010D_060E,B24010D_060M,B24010D_061E,B24010D_061M,B24010D_062E,B24010D_062M,B24010D_063E,B24010D_063M,B24010D_064E,B24010D_064M,B24010D_065E,B24010D_065M,B24010D_066E,B24010D_066M,B24010D_067E,B24010D_067M,B24010D_068E,B24010D_068M,B24010D_069E,B24010D_069M,B24010D_070E,B24010D_070M,B24010D_071E,B24010D_071M,B24010D_072E,B24010D_072M,B24010D_073E,B24010D_073M,GEO_ID,B24010D_001E,B24010D_001M,B24010D_002E,B24010D_002M,B24010D_003E,B24010D_003M,B24010D_004E,B24010D_004M,B24010D_005E,B24010D_005M,B24010D_006E,B24010D_006M,B24010D_007E,B24010D_007M,B24010D_008E,B24010D_008M,B24010D_009E,B24010D_009M,B24010D_010E,B24010D_010M,B24010D_011E,B24010D_011M,B24010D_012E,B24010D_012M,B24010D_013E,B24010D_013M,B24010D_014E,B24010D_014M,B24010D_015E,B24010D_015M,B24010D_016E,B24010D_016M,B24010D_017E,B24010D_017M,B24010D_018E,B24010D_018M,B24010D_019E,B24010D_019M,B24010D_020E,B24010D_020M,B24010D_021E,B24010D_021M,B24010D_022E,B24010D_022M,B24010D_023E,B24010D_023M,B24010D_024E,B24010D_024M,B24010D_025E,B24010D_025M,B24010D_026E,B24010D_026M,B24010D_027E,B24010D_027M,B24010D_028E,B24010D_028M,B24010D_029E,B24010D_029M,B24010D_030E,B24010D_030M,B24010D_031E,B24010D_031M,B24010D_032E,B24010D_032M,B24010D_033E,B24010D_033M,B24010D_034E,B24010D_034M,B24010D_035E,B24010D_035M,B24010D_036E,B24010D_036M,B24010D_037E,B24010D_037M,B24010D_038E,B24010D_038M,B24010D_039E,B24010D_039M,B24010D_040E,B24010D_040M,B24010D_041E,B24010D_041M,B24010D_042E,B24010D_042M,B24010D_043E,B24010D_043M,B24010D_044E,B24010D_044M,B24010D_045E,B24010D_045M,B24010D_046E,B24010D_046M,B24010D_047E,B24010D_047M,B24010D_048E,B24010D_048M,B24010D_049E,B24010D_049M,B24010D_050E,B24010D_050M,B24010D_051E,B24010D_051M,B24010D_052E,B24010D_052M,B24010D_053E,B24010D_053M,B24010D_054E,B24010D_054MA,B24010D_055MA,B24010D_055EA,B24010D_056EA,B24010D_056MA,B24010D_057EA,B24010D_057MA,B24010D_058MA,B24010D_058EA,B24010D_059MA,B24010D_059EA,B24010D_060MA,B24010D_060EA,B24010D_061EA,B24010D_061MA,B24010D_062EA,B24010D_062MA,B24010D_063MA,B24010D_063EA,B24010D_064MA,B24010D_064EA,B24010D_065MA,B24010D_065EA,B24010D_066MA,B24010D_066EA,B24010D_067EA,B24010D_067MA,B24010D_068MA,B24010D_068EA,B24010D_069MA,B24010D_069EA,B24010D_070MA,B24010D_070EA,B24010D_071MA,B24010D_071EA,B24010D_072EA,B24010D_072MA,B24010D_073EA,B24010D_073MA,NAME,B24010D_001EA,B24010D_001MA,B24010D_002EA,B24010D_002MA,B24010D_003MA,B24010D_003EA,B24010D_004MA,B24010D_004EA,B24010D_005MA,B24010D_005EA,B24010D_006EA,B24010D_006MA,B24010D_007EA,B24010D_007MA,B24010D_008EA,B24010D_008MA,B24010D_009MA,B24010D_009EA,B24010D_010MA,B24010D_010EA,B24010D_011EA,B24010D_011MA,B24010D_012MA,B24010D_012EA,B24010D_013EA,B24010D_013MA,B24010D_014MA,B24010D_014EA,B24010D_015EA,B24010D_015MA,B24010D_016EA,B24010D_016MA,B24010D_017MA,B24010D_017EA,B24010D_018EA,B24010D_018MA,B24010D_019MA,B24010D_019EA,B24010D_020EA,B24010D_020MA,B24010D_021EA,B24010D_021MA,B24010D_022EA,B24010D_022MA,B24010D_023EA,B24010D_023MA,B24010D_024MA,B24010D_024EA,B24010D_025EA,B24010D_025MA,B24010D_026MA,B24010D_026EA,B24010D_027MA,B24010D_027EA,B24010D_028EA,B24010D_028MA,B24010D_029EA,B24010D_029MA,B24010D_030MA,B24010D_030EA,B24010D_031MA,B24010D_031EA,B24010D_032MA,B24010D_032EA,B24010D_033EA,B24010D_033MA,B24010D_034EA,B24010D_034MA,B24010D_035MA,B24010D_035EA,B24010D_036MA,B24010D_036EA,B24010D_037MA,B24010D_037EA,B24010D_038EA,B24010D_038MA,B24010D_039MA,B24010D_039EA,B24010D_040EA,B24010D_040MA,B24010D_041MA,B24010D_041EA,B24010D_042MA,B24010D_042EA,B24010D_043EA,B24010D_043MA,B24010D_044MA,B24010D_044EA,B24010D_045EA,B24010D_045MA,B24010D_046EA,B24010D_046MA,B24010D_047MA,B24010D_047EA,B24010D_048MA,B24010D_048EA,B24010D_049MA,B24010D_049EA,B24010D_050EA,B24010D_050MA,B24010D_051EA,B24010D_051MA,B24010D_052MA,B24010D_052EA,B24010D_053MA,B24010D_053EA,B24010D_054EA,state
273,2131,799,217,199,0,273,0,273,0,273,666,411,205,258,1043,473,2375,769,1369,475,1006,580,91,148,91,148,0,273,0,273,1067,549,901,514,113,202,53,98,0400000US01,25071,2070,12936,1338,5894,1105,2307,724,2164,715,143,172,1633,555,792,404,518,370,323,255,626,306,90,108,0,273,522,297,14,28,1328,628,1089,568,239,218,1834,801,31,52,0,273,0,273,0,273,1426,744,33,56,344,242,2543,861,2255,835,288,239,1015,573,0,273,598,447,417,406,1650,798,1111,676,166,171,373,352,12135,1424,6471,1318,1887,827,1514,800,373,231,1053,467,532,355,412,290,109,140,2585,974,237,203,0,273,2158,871,190,220,946,516,946,516,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
646,8858,1564,795,547,185,177,185,177,0,305,2915,1045,985,530,3978,1087,11009,2009,4930,1467,6079,1172,280,359,0,305,70,115,210,336,3618,1020,3057,870,220,213,341,386,0400000US04,86762,4374,45533,2981,24974,2444,7709,1908,5216,1398,2493,1186,10385,1919,5450,1640,4307,1199,628,366,3651,1114,394,223,450,444,2147,876,660,365,3229,907,2955,883,274,244,6902,1621,513,356,1005,672,246,203,759,598,3312,1108,419,293,1653,757,6972,1348,3237,1135,3735,932,1912,818,0,305,639,543,1273,706,4773,1734,2937,1167,1232,717,604,570,41229,2616,17464,2197,5485,1273,2401,909,3084,833,3147,1104,2016,1031,1054,420,77,127,3484,1024,132,152,390,202,2534,932,428,242,5348,1178,4049,974,1299,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
3625,217042,7891,46630,3427,3678,1119,2378,905,1300,619,55899,3613,14239,1909,96596,5614,312287,8362,120222,6598,192065,6061,7570,1478,2824,1036,2053,813,2693,792,61902,3609,51271,3360,4356,1329,6275,1266,0400000US06,2310222,15356,1162853,11028,559308,9149,200561,7321,134595,6272,65966,3937,219852,6947,113474,5845,86568,4675,19810,2193,72949,4770,11121,1843,8691,1514,30055,3246,23082,2245,65946,4076,49285,3043,16661,2348,153657,6689,13047,1784,22085,2239,14680,2063,7405,1324,61331,4097,24844,2429,32350,2831,247054,7433,132822,5821,114232,4797,68246,4716,2406,766,24329,2586,41511,3702,134588,6099,78190,4051,36381,2883,20017,2680,1147369,10647,548568,9517,195464,6501,93989,4683,101475,4387,88824,4463,45980,2888,21471,2126,21373,1998,117102,5542,17227,2204,13367,1741,62484,3834,24024,2667,147178,6131,114890,5436,32288,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
516,9927,1458,1105,465,74,123,74,123,0,279,3353,927,1047,561,4348,1255,9184,1374,3351,899,5833,1188,146,205,0,279,0,279,146,205,3490,980,2744,905,86,101,660,370,0400000US08,69383,3244,34251,2160,15504,1866,4733,1086,3153,862,1580,689,6982,1153,4084,820,1354,555,1544,728,2321,788,501,396,203,189,1000,543,617,382,1468,647,896,495,572,442,6599,1622,131,208,302,251,165,199,137,163,2770,831,2089,1090,1307,794,5402,1187,3198,1164,2204,620,2038,736,0,279,909,469,1129,594,4708,1289,2971,1032,1113,669,624,460,35132,2314,12385,1531,3846,891,1663,582,2183,814,2706,719,1208,540,867,449,631,398,2884,775,346,253,54,100,1814,643,670,373,2949,796,2121,841,828,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
207,5843,1162,984,494,52,94,52,94,0,281,1285,534,534,493,2988,926,6314,1428,2586,818,3728,1146,30,47,0,281,0,281,30,47,2718,711,2417,712,141,156,160,183,0400000US09,66693,2579,36364,1708,20764,2087,6936,1115,3835,849,3101,859,10825,1971,7004,1592,2544,841,1277,525,1664,700,22,37,251,203,1067,642,324,239,1339,555,1245,523,94,163,4065,966,159,163,295,311,295,311,0,281,2141,808,317,210,1153,660,5928,1434,3556,1186,2372,949,716,383,0,281,255,251,461,322,4891,1350,3434,1018,719,441,738,711,30329,2023,15424,1737,4081,1138,1894,717,2187,871,3633,1020,2116,746,554,395,963,442,4045,1173,106,122,82,119,3333,1006,524,499,3665,1056,3377,995,288,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
970,29923,3115,4831,1413,897,561,555,410,342,368,9423,1709,3164,1297,11608,2161,28280,2876,14058,1928,14222,1891,331,250,150,246,181,179,0,310,6607,1424,5522,1269,136,158,949,554,0400000US12,222787,6360,111684,4100,49842,3582,15592,1862,11359,1676,4233,1032,16479,2108,9465,1538,5017,1083,1997,860,8734,1601,1059,568,667,534,5209,1177,1799,698,9037,1608,7546,1454,1491,622,24384,3313,1222,684,1670,825,1111,624,559,423,11206,1957,4254,1946,6032,1854,21765,2425,15246,2137,6519,1283,5550,1151,59,100,2140,725,3351,955,10143,1748,5942,1267,2630,760,1571,877,111103,4038,45962,3514,12550,1915,7362,1641,5188,1041,4885,1232,2827,876,981,563,1077,609,10018,1910,972,513,630,391,7250,1636,1166,781,18509,2527,15511,2428,2998,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
