GEO_ID,B08505F_001E,B08505F_001M,B08505F_002E,B08505F_002M,B08505F_003E,B08505F_003M,B08505F_004E,B08505F_004M,B08505F_005E,B08505F_005M,B08505F_006E,B08505F_006M,B08505F_007E,B08505F_007M,NAME,B08505F_001MA,B08505F_001EA,B08505F_002MA,B08505F_002EA,B08505F_003EA,B08505F_003MA,B08505F_004EA,B08505F_004MA,B08505F_005MA,B08505F_005EA,B08505F_006MA,B08505F_006EA,B08505F_007MA,B08505F_007EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3724,999,2022,623,1037,617,0,273,252,273,230,168,183,226,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,153768,11004,115961,9726,22699,3450,3301,1077,3819,1388,4436,1401,3552,1037,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26837,3392,16931,2514,9018,2284,119,194,223,288,424,293,122,163,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1999001,37192,1371084,28565,288072,10887,166273,9855,64240,5619,56095,4459,53237,5154,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,116033,7392,81945,6390,21206,3074,6378,1408,2792,1092,1151,551,2561,1108,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,82315,6432,47451,4560,16305,3442,9473,2421,4969,1203,3422,1671,695,425,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,27806,3606,10311,1959,4517,1430,11524,2633,971,770,297,266,186,165,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,222987,14859,149954,9733,41167,5401,14855,7993,5107,1857,8164,2516,3740,1141,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,135051,8039,76124,5965,32698,4202,3672,1450,3512,1638,15495,3525,3550,1190,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,7292,1691,4398,1053,734,376,323,277,591,704,701,755,545,446,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,14482,2250,11345,2042,2239,699,107,137,571,466,127,135,93,143,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,337370,13422,220914,10069,55956,4809,34010,3961,11940,2407,7583,1581,6967,1388,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,49963,4479,39421,4141,7567,1730,585,349,1349,759,989,790,52,86,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,21707,2859,13566,2292,5203,1551,245,334,719,419,885,520,1089,640,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,31037,3281,24155,3095,4776,1416,519,348,647,428,493,556,447,349,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19789,2751,9437,1672,8760,2210,11,20,499,424,128,145,954,1478,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,27571,2746,16611,2182,8736,2035,1065,638,208,223,690,451,261,315,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,81014,7034,47744,5539,19965,3152,8505,2185,1844,847,1321,795,1635,755,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,97690,6602,59857,4882,16110,2460,12930,2820,4918,1357,1307,654,2568,1182,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,44440,4125,29875,3246,9867,2440,402,226,1802,774,459,308,2035,1495,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,26571,2614,16409,2233,6000,1483,1947,739,1243,670,134,159,838,594,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,9281,2132,5051,1142,3278,1670,0,273,56,117,559,475,337,289,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,23158,2761,16281,2198,3417,1141,555,396,840,465,760,518,1305,563,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,15945,2377,11754,1958,3396,1123,75,125,159,154,363,269,198,211,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,70761,6132,56126,6049,8490,1893,3643,1184,916,464,957,677,629,374,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,239724,11055,128004,6339,32636,4393,38454,4420,14700,2932,21939,3101,3991,1301,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,95709,7048,78985,5973,9068,1660,1125,601,1345,678,1388,688,3798,1121,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,675252,14475,199884,8687,52457,6297,316390,10901,63267,5513,24651,4414,18603,2346,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,123650,6430,77170,5686,34671,3294,1918,1070,3258,1652,3934,1599,2699,1301,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,36696,3940,24040,3248,8397,1831,622,423,1765,807,949,557,923,489,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,43575,3304,30345,2682,10597,1984,263,301,775,484,552,471,1043,497,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,70857,5159,46459,4001,12478,2451,4903,1358,2282,825,1993,1068,2742,1420,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,80699,5447,46539,3796,15499,2537,10573,2245,4114,1459,1739,1039,2235,802,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,23643,2895,13598,2040,5365,1717,1702,916,1763,783,706,511,509,449,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,34709,4115,18588,3216,11999,2449,139,168,576,467,2636,1298,771,694,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,40779,4953,28959,4801,10366,2791,0,273,367,442,257,266,830,516,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,811741,18612,583242,15605,151305,9682,17253,2526,15792,2849,27129,3943,17020,2607,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,45005,4237,33705,3551,7357,2057,1224,732,1197,768,331,307,1191,671,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,96967,8816,59891,6825,14901,2963,9177,2902,5947,2777,2271,1389,4780,1962,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,110396,6982,73448,5799,21837,3806,4633,1530,4676,1875,2868,1113,2934,1336,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,39140,3304,27070,2635,7784,1876,624,425,1680,539,1111,600,871,441,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,117513,5378,91528,4600,12117,1980,3510,1042,4674,1089,3437,998,2247,712,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
