GEO_ID,B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,NAME,B19101D_001EA,B19101D_001MA,B19101D_002MA,B19101D_002EA,B19101D_003EA,B19101D_003MA,B19101D_004MA,B19101D_004EA,B19101D_005MA,B19101D_005EA,B19101D_006EA,B19101D_006MA,B19101D_007MA,B19101D_007EA,B19101D_008MA,B19101D_008EA,B19101D_009MA,B19101D_009EA,B19101D_010MA,B19101D_010EA,B19101D_011MA,B19101D_011EA,B19101D_012MA,B19101D_012EA,B19101D_013MA,B19101D_013EA,B19101D_014MA,B19101D_014EA,B19101D_015MA,B19101D_015EA,B19101D_016EA,B19101D_016MA,B19101D_017EA,B19101D_017MA,state
0400000US01,12562,1426,679,383,295,244,562,416,585,338,581,337,1483,884,873,429,347,194,534,366,773,503,1376,512,1905,754,449,245,371,255,805,460,944,486,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7313,1161,163,159,498,452,351,288,409,291,141,137,689,401,481,366,112,108,284,260,555,422,1032,466,1124,518,592,358,402,236,329,271,151,151,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,38131,2452,1836,857,879,585,742,519,1532,507,951,552,2217,792,1154,578,1522,543,723,376,3491,1084,3995,1072,6256,1270,4364,1179,3266,857,2151,641,3052,743,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,6901,1037,173,202,110,113,160,166,165,165,515,575,701,461,443,433,398,313,116,152,658,470,918,351,975,459,474,341,179,190,282,254,634,306,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1141092,10162,42910,3217,28488,2799,43501,3304,40638,3301,34647,3267,38342,2753,40309,3248,42141,2869,34411,3068,72636,3924,111504,4949,157802,6212,134136,5065,89640,4147,121165,4582,108822,3815,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30204,2002,1007,419,530,288,1084,652,1485,578,1243,514,1590,1000,1264,469,834,394,2055,818,2204,718,3257,998,3766,991,3366,1061,2122,693,2202,752,2195,850,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,30918,1961,494,345,888,539,693,344,955,655,797,459,620,315,909,436,1455,705,1117,574,2161,823,3859,991,4194,1186,3509,1023,2446,901,2934,713,3887,857,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,100423,3813,4939,1080,2487,936,3623,1011,5906,1293,3843,899,5151,1204,4757,1273,4121,1104,4380,1039,8903,1385,11381,1791,14296,1766,8432,1405,5868,1021,6017,1443,6319,1117,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
