GEO_ID,C17010F_001E,C17010F_001M,C17010F_002E,C17010F_002M,C17010F_003E,C17010F_003M,C17010F_004E,C17010F_004M,C17010F_005E,C17010F_005M,C17010F_006E,C17010F_006M,C17010F_007E,C17010F_007M,C17010F_008E,C17010F_008M,C17010F_009E,C17010F_009M,C17010F_010E,C17010F_010M,C17010F_011E,C17010F_011M,C17010F_012E,C17010F_012M,C17010F_013E,C17010F_013M,C17010F_014E,C17010F_014M,C17010F_015E,C17010F_015M,C17010F_016E,C17010F_016M,C17010F_017E,C17010F_017M,NAME,C17010F_001MA,C17010F_001EA,C17010F_002MA,C17010F_002EA,C17010F_003MA,C17010F_003EA,C17010F_004MA,C17010F_004EA,C17010F_005EA,C17010F_005MA,C17010F_006MA,C17010F_006EA,C17010F_007MA,C17010F_007EA,C17010F_008EA,C17010F_008MA,C17010F_009MA,C17010F_009EA,C17010F_010EA,C17010F_010MA,C17010F_011EA,C17010F_011MA,C17010F_012MA,C17010F_012EA,C17010F_013MA,C17010F_013EA,C17010F_014EA,C17010F_014MA,C17010F_015EA,C17010F_015MA,C17010F_016EA,C17010F_016MA,C17010F_017MA,C17010F_017EA,state
0400000US01,8627,1393,1764,647,639,448,571,435,1125,565,177,186,120,183,948,543,948,543,6863,1372,4229,1000,3320,959,2634,953,1775,671,899,577,859,594,755,520,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,85382,5082,19783,2711,9078,1794,7999,1640,10705,1848,2249,848,1672,733,8456,1724,7815,1665,65599,4512,42407,4311,28598,3672,23192,2869,9068,1986,6353,1800,14124,2276,10664,1951,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12773,1727,3534,1086,1673,672,1347,612,1861,752,832,502,832,502,1029,583,990,596,9239,1665,6305,1395,4894,1245,2934,901,1321,608,834,510,1613,752,955,546,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,983002,15215,224507,7310,97435,5432,85380,5238,127072,6633,33260,2968,28384,2945,93812,5921,86391,5901,758495,15687,503109,12458,347200,10622,255386,9520,103863,5060,61709,4112,151523,7947,103936,5790,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,61896,4498,16880,1933,5939,1410,5188,1257,10941,1580,2976,1005,2587,934,7965,1451,7225,1456,45016,4225,29664,3569,20764,2820,15352,2032,6006,1437,3031,1067,9346,1654,7468,1553,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42032,2696,11601,1763,2413,978,1924,876,9188,1616,682,474,682,474,8506,1514,7615,1348,30431,2545,15531,2049,10830,1846,14900,2220,4415,1120,2125,911,10485,1994,8503,1736,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4015,1018,705,515,51,96,51,96,654,497,119,107,119,107,535,504,535,504,3310,962,2252,821,1650,748,1058,578,532,409,484,398,526,439,526,439,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,94572,5346,24272,2445,11220,1868,9261,1811,13052,1870,2643,1008,2058,832,10409,1826,9037,1671,70300,4730,46693,3848,26146,3061,23607,2500,6563,1501,3542,1149,17044,2035,10874,1910,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
