GEO_ID,C21001B_001E,C21001B_001M,C21001B_002E,C21001B_002M,C21001B_003E,C21001B_003M,C21001B_004E,C21001B_004M,C21001B_005E,C21001B_005M,C21001B_006E,C21001B_006M,C21001B_007E,C21001B_007M,C21001B_008E,C21001B_008M,C21001B_009E,C21001B_009M,C21001B_010E,C21001B_010M,C21001B_011E,C21001B_011M,C21001B_012E,C21001B_012M,C21001B_013E,C21001B_013M,C21001B_014E,C21001B_014M,C21001B_015E,C21001B_015M,NAME,C21001B_001EA,C21001B_001MA,C21001B_002EA,C21001B_002MA,C21001B_003EA,C21001B_003MA,C21001B_004MA,C21001B_004EA,C21001B_005MA,C21001B_005EA,C21001B_006MA,C21001B_006EA,C21001B_007MA,C21001B_007EA,C21001B_008EA,C21001B_008MA,C21001B_009MA,C21001B_009EA,C21001B_010MA,C21001B_010EA,C21001B_011MA,C21001B_011EA,C21001B_012EA,C21001B_012MA,C21001B_013EA,C21001B_013MA,C21001B_014MA,C21001B_014EA,C21001B_015EA,C21001B_015MA,state
0400000US01,911347,3926,407505,2512,363021,3132,58299,3256,304722,4660,44484,1599,14052,1550,30432,1862,503842,2249,432600,2251,11433,1920,421167,2689,71242,1246,288,175,70954,1247,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16174,1035,8894,688,8483,729,3261,784,5222,941,411,264,371,262,40,63,7280,683,6512,682,1308,681,5204,818,768,315,0,246,768,315,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,183748,3008,94610,2216,86703,2118,15321,1869,71382,2745,7907,550,4598,797,3309,801,89138,1866,79939,1930,3471,918,76468,1906,9199,443,44,73,9155,463,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,323378,2717,149627,2259,133575,2491,21275,2616,112300,3299,16052,1118,3472,805,12580,968,173751,2019,150926,2119,4157,1216,146769,2149,22825,937,130,151,22695,935,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1677096,8914,812520,5837,719715,5889,106651,5770,613064,8139,92805,1475,48611,1915,44194,2271,864576,6222,734007,6236,14399,1808,719608,6169,130569,1492,2047,660,128522,1581,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,141036,3092,73636,2882,67396,2883,13083,1936,54313,2966,6240,660,4068,693,2172,658,67400,2115,59052,2016,2348,902,56704,2297,8348,712,0,279,8348,712,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,260070,3223,121046,2322,109333,2076,9297,1756,100036,2575,11713,831,3692,732,8021,1009,139024,2262,119163,2246,1954,762,117209,2271,19861,694,429,344,19432,737,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,136392,1419,62470,859,55660,827,9862,1426,45798,1536,6810,117,2447,662,4363,675,73922,1093,64629,947,1089,462,63540,1104,9293,392,0,265,9293,392,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,241756,2289,106210,1276,90478,1219,9894,1615,80584,2131,15732,227,7857,707,7875,703,135546,1313,108335,1012,782,326,107553,1089,27211,564,0,292,27211,564,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2130255,11524,994487,5778,890262,5855,106895,4412,783367,7361,104225,2057,26501,2138,77724,3197,1135768,8025,987050,6648,19744,2353,967306,7169,148718,2641,687,362,148031,2700,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2109028,6498,950463,4211,869961,4035,137932,6499,732029,7579,80502,1949,28811,2245,51691,2070,1158565,4554,1026616,4593,34364,2862,992252,5597,131949,2027,918,460,131031,2021,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,12551,1534,7172,1243,6451,1251,3988,1412,2463,837,721,413,265,228,456,419,5379,761,4985,770,1058,442,3927,780,394,238,0,275,394,238,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1334509,6570,599769,4151,530321,4448,60512,4241,469809,5881,69448,1140,29763,2469,39685,2590,734740,4209,623569,4201,7623,1337,615946,4367,111171,1141,521,353,110650,1195,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,411500,4081,190989,3116,171812,2985,24080,2394,147732,3856,19177,989,7731,1099,11446,1230,220511,2640,190720,2597,3129,884,187591,2607,29791,923,249,187,29542,908,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,60647,2624,30395,1906,28898,1839,2396,783,26502,1806,1497,607,474,355,1023,469,30252,1731,27486,1819,150,189,27336,1844,2766,611,0,228,2766,611,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,115376,2748,58087,2084,51787,1833,8417,1307,43370,2057,6300,665,3219,684,3081,661,57289,1744,48706,1771,2130,805,46576,1797,8583,786,385,317,8198,754,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,238845,3618,112438,2581,101585,2364,15956,2063,85629,2679,10853,932,4720,774,6133,957,126407,2697,109945,2552,3128,899,106817,2527,16462,1117,45,76,16417,1117,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1026882,4556,473460,2915,424596,3097,49775,3955,374821,4565,48864,1150,15067,1709,33797,1876,553422,2628,477487,2488,8809,1795,468678,2901,75935,1073,487,375,75448,1158,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1256622,4242,565383,2907,505244,2697,76008,4149,429236,5454,60139,892,28758,1535,31381,1502,691239,2958,599032,3078,16965,2281,582067,3983,92207,1369,784,372,91423,1389,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,319709,4546,152256,3090,139056,3197,9466,1805,129590,3103,13200,867,3137,763,10063,921,167453,3407,145543,3095,1565,647,143978,3087,21910,859,132,169,21778,857,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1001133,4458,460858,3664,408139,3780,42124,2830,366015,4454,52719,763,23324,1665,29395,1639,540275,2638,459993,2604,4168,1017,455825,2778,80282,1012,932,448,79350,1126,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
