B17010C_029M,B17010C_030E,B17010C_030M,B17010C_031E,B17010C_031M,B17010C_032E,B17010C_032M,B17010C_033E,B17010C_033M,B17010C_034E,B17010C_034M,B17010C_035E,B17010C_035M,B17010C_036E,B17010C_036M,B17010C_037E,B17010C_037M,B17010C_038E,B17010C_038M,B17010C_039E,B17010C_039M,B17010C_040E,B17010C_040M,B17010C_041E,B17010C_041M,GEO_ID,B17010C_001E,B17010C_001M,B17010C_002E,B17010C_002M,B17010C_003E,B17010C_003M,B17010C_004E,B17010C_004M,B17010C_005E,B17010C_005M,B17010C_006E,B17010C_006M,B17010C_007E,B17010C_007M,B17010C_008E,B17010C_008M,B17010C_009E,B17010C_009M,B17010C_010E,B17010C_010M,B17010C_011E,B17010C_011M,B17010C_012E,B17010C_012M,B17010C_013E,B17010C_013M,B17010C_014E,B17010C_014M,B17010C_015E,B17010C_015M,B17010C_016E,B17010C_016M,B17010C_017E,B17010C_017M,B17010C_018E,B17010C_018M,B17010C_019E,B17010C_019M,B17010C_020E,B17010C_020M,B17010C_021E,B17010C_021M,B17010C_022E,B17010C_022M,B17010C_023E,B17010C_023M,B17010C_024E,B17010C_024M,B17010C_025E,B17010C_025M,B17010C_026E,B17010C_026M,B17010C_027E,B17010C_027M,B17010C_028E,B17010C_028M,B17010C_029E,B17010C_029MA,B17010C_030MA,B17010C_030EA,B17010C_031EA,B17010C_031MA,B17010C_032MA,B17010C_032EA,B17010C_033EA,B17010C_033MA,B17010C_034EA,B17010C_034MA,B17010C_035MA,B17010C_035EA,B17010C_036EA,B17010C_036MA,B17010C_037MA,B17010C_037EA,B17010C_038EA,B17010C_038MA,B17010C_039EA,B17010C_039MA,B17010C_040EA,B17010C_040MA,B17010C_041EA,B17010C_041MA,NAME,B17010C_001EA,B17010C_001MA,B17010C_002MA,B17010C_002EA,B17010C_003EA,B17010C_003MA,B17010C_004MA,B17010C_004EA,B17010C_005MA,B17010C_005EA,B17010C_006MA,B17010C_006EA,B17010C_007MA,B17010C_007EA,B17010C_008EA,B17010C_008MA,B17010C_009MA,B17010C_009EA,B17010C_010MA,B17010C_010EA,B17010C_011EA,B17010C_011MA,B17010C_012MA,B17010C_012EA,B17010C_013MA,B17010C_013EA,B17010C_014EA,B17010C_014MA,B17010C_015MA,B17010C_015EA,B17010C_016MA,B17010C_016EA,B17010C_017EA,B17010C_017MA,B17010C_018MA,B17010C_018EA,B17010C_019EA,B17010C_019MA,B17010C_020EA,B17010C_020MA,B17010C_021EA,B17010C_021MA,B17010C_022MA,B17010C_022EA,B17010C_023EA,B17010C_023MA,B17010C_024MA,B17010C_024EA,B17010C_025EA,B17010C_025MA,B17010C_026MA,B17010C_026EA,B17010C_027EA,B17010C_027MA,B17010C_028MA,B17010C_028EA,B17010C_029EA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1112,2265,589,1461,495,187,105,204,155,1070,499,804,296,5394,878,4192,838,653,384,979,350,2560,737,1202,412,0400000US02,21307,1743,4495,992,1042,360,719,226,120,150,339,162,260,120,323,311,3453,883,1067,489,859,441,72,67,269,211,518,376,208,186,2386,712,1875,545,709,422,609,308,557,249,511,372,16812,1630,9153,1290,5760,1089,806,431,1900,611,3054,799,3393,649,7659,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1838,4797,1006,2628,794,173,148,566,294,1889,662,2169,746,13241,1617,9463,1471,1227,523,2391,740,5845,1196,3778,752,0400000US04,55411,2833,17893,1884,5721,1070,3480,842,309,241,1441,499,1730,568,2241,590,12172,1610,2317,776,1515,630,195,171,587,384,733,473,802,456,9855,1412,7668,1233,1155,585,2982,706,3531,840,2187,663,37518,2638,19480,1877,10306,1773,1357,607,2861,896,6088,1251,9174,1314,18038,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2154,6748,1348,3190,933,519,307,376,256,2295,847,3558,966,11121,1728,7029,1252,611,340,1638,641,4780,1210,4092,1192,0400000US06,66357,4020,13936,1887,5808,1119,4632,1008,796,535,2036,746,1800,632,1176,618,8128,1621,1844,746,1267,517,304,351,305,223,658,358,577,495,6284,1361,5682,1356,808,470,2180,730,2694,868,602,336,52421,3447,34552,2632,18908,2498,2624,787,4418,1087,11866,1987,15644,1844,17869,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1080,999,580,674,375,221,265,0,279,453,274,325,340,2955,838,1917,669,223,192,368,338,1326,521,1038,566,0400000US08,11561,1629,2474,802,478,350,284,244,0,279,153,181,131,178,194,222,1996,770,349,272,175,198,0,279,0,279,175,198,174,181,1647,707,1232,653,221,306,387,290,624,489,415,339,9087,1320,5133,894,2624,661,368,271,663,373,1593,573,2509,742,3954,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
960,905,529,590,446,452,426,0,310,138,147,315,246,2871,858,2046,774,448,436,459,461,1139,566,825,514,0400000US12,15024,1853,2372,907,949,576,499,354,35,68,165,253,299,233,450,438,1423,715,51,84,51,84,0,310,0,310,51,84,0,310,1372,713,1036,746,0,310,241,259,795,692,336,297,12652,1677,8876,1427,3115,1070,806,454,586,447,1723,718,5761,1244,3776,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
