GEO_ID,B19001B_001E,B19001B_001M,B19001B_002E,B19001B_002M,B19001B_003E,B19001B_003M,B19001B_004E,B19001B_004M,B19001B_005E,B19001B_005M,B19001B_006E,B19001B_006M,B19001B_007E,B19001B_007M,B19001B_008E,B19001B_008M,B19001B_009E,B19001B_009M,B19001B_010E,B19001B_010M,B19001B_011E,B19001B_011M,B19001B_012E,B19001B_012M,B19001B_013E,B19001B_013M,B19001B_014E,B19001B_014M,B19001B_015E,B19001B_015M,B19001B_016E,B19001B_016M,B19001B_017E,B19001B_017M,NAME,B19001B_001MA,B19001B_001EA,B19001B_002EA,B19001B_002MA,B19001B_003MA,B19001B_003EA,B19001B_004MA,B19001B_004EA,B19001B_005EA,B19001B_005MA,B19001B_006EA,B19001B_006MA,B19001B_007EA,B19001B_007MA,B19001B_008MA,B19001B_008EA,B19001B_009MA,B19001B_009EA,B19001B_010MA,B19001B_010EA,B19001B_011EA,B19001B_011MA,B19001B_012EA,B19001B_012MA,B19001B_013MA,B19001B_013EA,B19001B_014MA,B19001B_014EA,B19001B_015MA,B19001B_015EA,B19001B_016EA,B19001B_016MA,B19001B_017MA,B19001B_017EA,state
0400000US01,450206,6620,85208,4459,46710,3743,41431,3419,37195,3172,30487,3256,27895,2731,24693,2566,21721,2490,20765,2450,29427,2686,29998,3135,26374,2690,13678,1758,6833,1213,5270,1330,2521,858,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8707,974,165,152,451,413,332,349,830,519,702,423,318,298,361,328,467,310,40,70,769,513,825,532,985,468,1491,663,168,211,309,259,494,394,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,92299,3213,11727,2089,7755,1402,6842,1497,5744,1326,6033,1155,6780,1843,4780,1180,2942,906,4238,974,8770,1658,8398,1636,7946,1554,5108,1301,2228,726,1939,728,1069,547,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,163728,3787,30351,3096,17570,2016,18243,2429,14539,2093,11906,1782,11076,1974,8480,1572,7987,1343,5867,1252,9015,1430,10500,1587,10154,1476,4004,990,2205,823,1053,588,778,646,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,818644,8988,90989,5109,74277,4563,51221,4444,49091,3960,43330,3825,38966,3606,37782,3594,39019,3531,37001,2763,58036,4538,79936,4486,88231,5097,50720,3683,30355,2801,29686,3178,20004,2272,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,73238,2714,9772,1531,4852,1412,6101,1196,6200,1367,4162,1240,2821,949,3324,972,4196,1380,4117,1043,5442,1202,7183,1449,6358,1256,3719,998,1288,545,2009,691,1694,885,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,120392,3375,14296,1920,10513,1684,9438,1734,7435,1525,6939,1710,5584,1345,6322,1223,6437,1232,4735,1239,9365,1452,9311,1401,12491,2077,7971,1362,3403,875,3989,1025,2163,782,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,64340,2369,6137,1306,5320,1164,5021,1237,4973,1278,3539,1048,4546,1207,3544,1159,3714,1097,2009,844,5166,1291,5429,1301,7248,1275,3040,978,2236,831,1972,607,446,309,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,121175,3683,18191,2256,10783,1560,7245,1333,7094,1325,6067,1489,6874,1240,6701,1290,4569,968,5555,1079,8397,1352,10588,1335,12372,1782,6663,1167,3533,948,3287,1000,3256,811,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,943114,10383,133019,6484,82527,5142,71461,4127,76493,4613,71637,4881,64258,4323,57475,4324,49665,3885,45119,4032,71512,4349,76633,4258,76608,4584,34433,2968,14599,1989,10794,1677,6881,1332,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
