GEO_ID,C20005D_001E,C20005D_001M,C20005D_002E,C20005D_002M,C20005D_003E,C20005D_003M,C20005D_004E,C20005D_004M,C20005D_005E,C20005D_005M,C20005D_006E,C20005D_006M,C20005D_007E,C20005D_007M,C20005D_008E,C20005D_008M,C20005D_009E,C20005D_009M,C20005D_010E,C20005D_010M,C20005D_011E,C20005D_011M,C20005D_012E,C20005D_012M,C20005D_013E,C20005D_013M,C20005D_014E,C20005D_014M,C20005D_015E,C20005D_015M,C20005D_016E,C20005D_016M,C20005D_017E,C20005D_017M,C20005D_018E,C20005D_018M,C20005D_019E,C20005D_019M,C20005D_020E,C20005D_020M,C20005D_021E,C20005D_021M,C20005D_022E,C20005D_022M,C20005D_023E,C20005D_023M,C20005D_024E,C20005D_024M,C20005D_025E,C20005D_025M,C20005D_026E,C20005D_026M,C20005D_027E,C20005D_027M,C20005D_028E,C20005D_028M,C20005D_029E,C20005D_029M,C20005D_030E,C20005D_030M,C20005D_031E,C20005D_031M,C20005D_032E,C20005D_032M,C20005D_033E,C20005D_033M,C20005D_034E,C20005D_034M,C20005D_035E,C20005D_035M,C20005D_036E,C20005D_036M,C20005D_037E,C20005D_037M,C20005D_038E,C20005D_038M,C20005D_039E,C20005D_039M,NAME,C20005D_001EA,C20005D_001MA,C20005D_002EA,C20005D_002MA,C20005D_003EA,C20005D_003MA,C20005D_004EA,C20005D_004MA,C20005D_005MA,C20005D_005EA,C20005D_006EA,C20005D_006MA,C20005D_007EA,C20005D_007MA,C20005D_008EA,C20005D_008MA,C20005D_009EA,C20005D_009MA,C20005D_010MA,C20005D_010EA,C20005D_011EA,C20005D_011MA,C20005D_012EA,C20005D_012MA,C20005D_013MA,C20005D_013EA,C20005D_014EA,C20005D_014MA,C20005D_015MA,C20005D_015EA,C20005D_016MA,C20005D_016EA,C20005D_017EA,C20005D_017MA,C20005D_018MA,C20005D_018EA,C20005D_019EA,C20005D_019MA,C20005D_020EA,C20005D_020MA,C20005D_021MA,C20005D_021EA,C20005D_022MA,C20005D_022EA,C20005D_023EA,C20005D_023MA,C20005D_024MA,C20005D_024EA,C20005D_025EA,C20005D_025MA,C20005D_026EA,C20005D_026MA,C20005D_027EA,C20005D_027MA,C20005D_028EA,C20005D_028MA,C20005D_029EA,C20005D_029MA,C20005D_030EA,C20005D_030MA,C20005D_031EA,C20005D_031MA,C20005D_032MA,C20005D_032EA,C20005D_033EA,C20005D_033MA,C20005D_034MA,C20005D_034EA,C20005D_035MA,C20005D_035EA,C20005D_036EA,C20005D_036MA,C20005D_037MA,C20005D_037EA,C20005D_038MA,C20005D_038EA,C20005D_039MA,C20005D_039EA,state
0400000US01,41566,2104,18613,1255,10222,1247,0,273,10222,1247,166,116,1197,727,1983,743,2990,1099,1781,714,2105,696,8391,1164,3991,846,4400,865,2280,795,965,350,252,195,474,440,51,68,378,279,22953,1653,6510,1135,0,273,6510,1135,198,199,1703,608,776,449,1879,683,1084,479,870,527,16443,1528,8888,1539,7555,1220,3088,862,2336,897,727,435,534,411,585,390,285,216,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30064,2151,13890,1392,7827,1183,0,246,7827,1183,166,158,1574,562,2143,943,2043,600,1234,494,667,432,6063,1121,1634,532,4429,1033,1272,609,1453,564,828,436,512,300,256,210,108,135,16174,1150,6170,992,0,246,6170,992,0,246,1847,616,1362,574,1557,548,995,396,409,201,10004,1244,4670,834,5334,1170,1937,663,1647,611,1326,554,234,172,190,222,0,246,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,141521,3356,65551,2401,36505,3175,69,115,36436,3192,629,345,3271,1213,4465,1104,8116,1845,7108,1786,12847,1717,29046,3221,15722,2154,13324,2055,5820,1597,2835,914,1482,730,1123,464,795,438,1269,780,75970,2097,29114,2448,0,305,29114,2448,834,480,3473,1137,6293,1275,8000,1459,5833,1427,4681,1184,46856,2636,32209,2383,14647,1945,7267,1315,3660,1101,1062,538,1318,700,529,350,811,508,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26294,1677,12007,1232,6980,1106,0,273,6980,1106,0,273,686,479,1235,587,2098,710,1713,718,1248,464,5027,1538,2670,1195,2357,902,1264,751,574,367,326,282,57,95,136,195,0,273,14287,1228,5254,968,0,273,5254,968,205,208,1286,616,969,499,1211,521,730,498,853,477,9033,1226,5985,1175,3048,888,1263,494,1359,597,54,86,249,242,123,191,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4011549,11495,1863471,6610,887776,10402,76,129,887700,10394,13369,1799,65561,4153,101167,5064,208177,7770,185954,7380,313472,7359,975695,11831,584887,9636,390808,9402,152737,5489,87181,5594,48338,3763,49046,3398,26005,3111,27501,2597,2148078,7764,766771,9239,0,294,766771,9239,16779,1987,71404,4510,112861,5014,202821,6624,166112,6693,196794,6070,1381307,9977,891533,10018,489774,9679,206439,7231,113703,4610,54847,4025,52807,3431,32933,2756,29045,2433,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,106461,3056,47399,2141,25503,2025,0,279,25503,2025,550,363,2112,767,4354,1031,5198,1126,6274,1351,7015,998,21896,2183,10040,1434,11856,1868,4191,1483,3226,1035,1996,710,1104,562,728,525,611,417,59062,1936,21510,1978,460,427,21050,2007,513,346,2752,784,5794,1238,6186,1283,3260,767,2545,776,37552,2403,20757,2084,16795,1999,8144,1300,3851,1046,2246,783,1332,542,935,555,287,244,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,103565,1926,49519,1233,27491,2336,0,281,27491,2336,249,181,1352,567,2061,817,7013,1763,6596,1636,10220,1228,22028,2526,10617,1723,11411,1792,4521,1056,2261,737,985,663,1494,838,1031,608,1119,664,54046,1364,20703,1765,0,281,20703,1765,298,277,856,431,4419,1049,5089,1357,3984,957,6057,1221,33343,1921,20443,1974,12900,1903,6380,1167,2620,850,1328,676,1628,607,468,301,476,368,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21898,972,10327,685,5778,610,0,265,5778,610,53,69,238,229,411,305,938,496,1208,475,2930,633,4549,761,2159,769,2390,850,1058,591,434,279,148,179,213,218,167,183,370,248,11571,621,4283,720,0,265,4283,720,41,68,375,330,405,228,1315,438,666,295,1481,570,7288,834,4663,745,2625,741,1305,603,591,339,255,229,190,204,224,176,60,101,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19932,968,8333,492,4316,887,0,292,4316,887,48,80,68,114,207,197,883,590,995,632,2115,479,4017,967,1842,693,2175,823,1043,697,383,309,135,159,156,189,233,219,225,271,11599,760,5957,916,0,292,5957,916,64,106,30,49,477,359,1040,534,2014,616,2332,739,5642,907,2406,829,3236,928,1863,714,688,446,242,240,152,187,111,130,180,210,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,367352,5110,167140,3452,82981,3992,0,310,82981,3992,2297,775,12848,2448,14168,2258,17662,1874,14358,1951,21648,2314,84159,3710,44765,3156,39394,3301,17740,2323,9990,1797,5344,1355,3035,841,1669,614,1616,654,200212,3198,72391,3563,0,310,72391,3563,1413,575,11524,1917,19967,2355,17843,2292,10209,1452,11435,1637,127821,3832,77946,3533,49875,3161,23184,2417,15698,2159,4297,1065,4032,1194,1762,562,902,426,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
