GEO_ID,C15010F_001E,C15010F_001M,C15010F_002E,C15010F_002M,C15010F_003E,C15010F_003M,C15010F_004E,C15010F_004M,C15010F_005E,C15010F_005M,C15010F_006E,C15010F_006M,NAME,C15010F_001MA,C15010F_001EA,C15010F_002EA,C15010F_002MA,C15010F_003EA,C15010F_003MA,C15010F_004EA,C15010F_004MA,C15010F_005EA,C15010F_005MA,C15010F_006MA,C15010F_006EA,state
0400000US01,3127,989,1410,624,519,577,292,236,442,358,464,338,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,17625,2680,4475,1150,1100,509,5731,1587,2695,1004,3624,1131,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3041,1265,1387,1078,239,373,568,354,332,272,515,437,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,221330,9686,75100,5375,15844,2356,44888,3570,21809,2544,63689,5280,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,13007,2102,4264,1244,508,322,3345,1205,1787,670,3103,897,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,11337,2220,4077,1253,506,314,2787,984,1424,666,2543,1034,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,2387,978,1054,667,0,292,415,273,187,190,731,714,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,45112,4307,14595,2465,6163,1484,11554,2352,5704,1677,7096,1706,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,14738,2753,6314,1647,1109,672,4241,1216,889,488,2185,907,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1348,706,575,583,119,111,177,154,81,110,396,322,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,39267,3830,11292,1849,2943,958,11854,2124,4047,1190,9131,1966,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,7706,1638,3364,1283,614,394,1234,559,1136,579,1358,548,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1172,481,342,253,134,149,405,328,64,98,227,192,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,4871,1232,1643,678,790,564,809,434,729,450,900,584,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1085,502,307,238,56,83,241,240,165,169,316,304,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3865,1173,1240,616,402,337,858,561,477,287,888,582,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,11911,2026,4852,1202,489,371,2395,813,1475,858,2700,844,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,18600,2944,8049,1929,1043,578,3823,1218,1880,763,3805,1247,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6770,1678,2418,844,317,248,1740,749,1008,603,1287,487,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3516,897,1671,556,162,188,451,238,502,299,730,372,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2748,833,1188,593,136,172,612,375,340,360,472,340,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,6643,1392,1909,788,841,520,2226,910,585,417,1082,593,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1659,905,753,572,0,257,565,467,0,257,341,247,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,35397,3992,12815,2189,3086,1055,7875,1682,4482,1181,7139,1862,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,15394,2751,4229,1283,574,409,3850,1225,4217,1708,2524,927,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,112798,5895,36262,3479,9710,1824,27005,3115,13621,2412,26200,2733,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,11910,2585,4985,1615,1330,647,2341,822,1826,867,1428,569,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,6923,1824,2938,950,907,602,998,459,647,559,1433,800,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3072,896,1274,535,287,220,617,410,549,440,345,270,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,5323,1464,2799,1074,0,277,1266,721,791,661,467,320,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,9624,1341,3258,883,1131,510,2050,790,723,333,2462,642,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,2681,994,1024,694,473,459,359,283,155,192,670,477,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4020,1307,783,534,515,584,913,535,254,235,1555,804,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,3337,1293,792,531,426,383,489,326,329,290,1301,719,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,78468,5685,27334,2742,8085,1547,20236,2988,8982,1715,13831,2040,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,5603,1457,1512,843,657,415,1647,730,339,272,1448,685,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,20419,2834,7710,1631,1836,733,5578,1346,1497,713,3798,1192,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,10317,1900,3976,1209,1211,563,2126,876,1086,537,1918,640,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
