GEO_ID,B17010G_001E,B17010G_001M,B17010G_002E,B17010G_002M,B17010G_003E,B17010G_003M,B17010G_004E,B17010G_004M,B17010G_005E,B17010G_005M,B17010G_006E,B17010G_006M,B17010G_007E,B17010G_007M,B17010G_008E,B17010G_008M,B17010G_009E,B17010G_009M,B17010G_010E,B17010G_010M,B17010G_011E,B17010G_011M,B17010G_012E,B17010G_012M,B17010G_013E,B17010G_013M,B17010G_014E,B17010G_014M,B17010G_015E,B17010G_015M,B17010G_016E,B17010G_016M,B17010G_017E,B17010G_017M,B17010G_018E,B17010G_018M,B17010G_019E,B17010G_019M,B17010G_020E,B17010G_020M,B17010G_021E,B17010G_021M,B17010G_022E,B17010G_022M,B17010G_023E,B17010G_023M,B17010G_024E,B17010G_024M,B17010G_025E,B17010G_025M,B17010G_026E,B17010G_026M,B17010G_027E,B17010G_027M,B17010G_028E,B17010G_028M,B17010G_029E,B17010G_029M,B17010G_030E,B17010G_030M,B17010G_031E,B17010G_031M,B17010G_032E,B17010G_032M,B17010G_033E,B17010G_033M,B17010G_034E,B17010G_034M,B17010G_035E,B17010G_035M,B17010G_036E,B17010G_036M,B17010G_037E,B17010G_037M,B17010G_038E,B17010G_038M,B17010G_039E,B17010G_039M,B17010G_040E,B17010G_040M,B17010G_041E,B17010G_041M,NAME,B17010G_001MA,B17010G_001EA,B17010G_002EA,B17010G_002MA,B17010G_003MA,B17010G_003EA,B17010G_004EA,B17010G_004MA,B17010G_005MA,B17010G_005EA,B17010G_006EA,B17010G_006MA,B17010G_007MA,B17010G_007EA,B17010G_008EA,B17010G_008MA,B17010G_009MA,B17010G_009EA,B17010G_010EA,B17010G_010MA,B17010G_011MA,B17010G_011EA,B17010G_012EA,B17010G_012MA,B17010G_013MA,B17010G_013EA,B17010G_014MA,B17010G_014EA,B17010G_015MA,B17010G_015EA,B17010G_016MA,B17010G_016EA,B17010G_017MA,B17010G_017EA,B17010G_018EA,B17010G_018MA,B17010G_019MA,B17010G_019EA,B17010G_020MA,B17010G_020EA,B17010G_021EA,B17010G_021MA,B17010G_022EA,B17010G_022MA,B17010G_023MA,B17010G_023EA,B17010G_024EA,B17010G_024MA,B17010G_025MA,B17010G_025EA,B17010G_026EA,B17010G_026MA,B17010G_027MA,B17010G_027EA,B17010G_028EA,B17010G_028MA,B17010G_029MA,B17010G_029EA,B17010G_030EA,B17010G_030MA,B17010G_031MA,B17010G_031EA,B17010G_032EA,B17010G_032MA,B17010G_033MA,B17010G_033EA,B17010G_034EA,B17010G_034MA,B17010G_035MA,B17010G_035EA,B17010G_036EA,B17010G_036MA,B17010G_037MA,B17010G_037EA,B17010G_038EA,B17010G_038MA,B17010G_039MA,B17010G_039EA,B17010G_040EA,B17010G_040MA,B17010G_041MA,B17010G_041EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,24226,2792,3103,936,1615,671,1489,662,324,244,773,527,392,348,126,142,1488,680,92,114,51,89,0,305,0,305,51,89,41,69,1396,652,1345,630,297,330,287,317,761,388,51,85,21123,2554,15659,2156,8035,1795,2207,907,2764,1096,3064,949,7624,1363,5464,1424,1544,655,837,426,332,324,0,305,505,274,707,448,3920,1200,2547,923,297,217,831,515,1419,744,1373,644,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,233936,6750,30864,2914,11860,1519,8236,1290,1196,561,3177,946,3863,750,3624,837,19004,2494,3801,1026,2853,926,749,543,439,362,1665,699,948,493,15203,2075,11715,1893,3681,1243,3259,897,4775,1169,3488,973,203072,6322,142991,5318,78339,4127,16093,1857,16746,1937,45500,3094,64652,3668,60081,3924,17786,2040,9818,1546,1916,694,1165,515,6737,1379,7968,1383,42295,3325,26366,2515,3444,1019,3837,1146,19085,2194,15929,2078,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,25829,2477,4059,964,1478,649,1217,570,170,194,900,551,147,111,261,223,2581,692,333,252,333,252,184,220,50,103,99,122,0,279,2248,685,2202,678,822,481,605,377,775,403,46,74,21770,2166,16219,2146,9194,1782,2556,953,1839,714,4799,1110,7025,1303,5551,1130,1530,513,1366,496,280,284,42,70,1044,466,164,153,4021,971,2777,906,247,265,333,330,2197,784,1244,559,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,12885,1800,1969,672,465,390,305,332,57,73,53,92,195,302,160,182,1504,596,44,75,0,281,0,281,0,281,0,281,44,75,1460,592,1406,595,0,281,590,503,816,340,54,88,10916,1574,5793,1234,3088,991,824,464,521,330,1743,734,2705,653,5123,1336,1407,677,841,441,159,254,411,320,271,274,566,502,3716,1200,2862,1178,768,587,204,163,1890,957,854,427,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,61896,3789,9216,1495,3224,923,2155,809,408,256,873,411,874,626,1069,425,5992,1179,1109,678,765,622,35,58,276,346,454,430,344,272,4883,1108,4016,1049,447,341,863,450,2706,938,867,407,52680,3761,38141,3329,19064,2361,2741,847,3698,1098,12625,1886,19077,2237,14539,2286,3646,912,1636,717,574,426,176,213,886,529,2010,660,10893,2055,6159,1454,1837,626,361,373,3961,1138,4734,1086,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
