GEO_ID,C19001D_001E,C19001D_001M,C19001D_002E,C19001D_002M,C19001D_003E,C19001D_003M,C19001D_004E,C19001D_004M,C19001D_005E,C19001D_005M,C19001D_006E,C19001D_006M,C19001D_007E,C19001D_007M,C19001D_008E,C19001D_008M,C19001D_009E,C19001D_009M,C19001D_010E,C19001D_010M,C19001D_011E,C19001D_011M,NAME,C19001D_001MA,C19001D_001EA,C19001D_002MA,C19001D_002EA,C19001D_003EA,C19001D_003MA,C19001D_004EA,C19001D_004MA,C19001D_005MA,C19001D_005EA,C19001D_006MA,C19001D_006EA,C19001D_007MA,C19001D_007EA,C19001D_008EA,C19001D_008MA,C19001D_009EA,C19001D_009MA,C19001D_010EA,C19001D_010MA,C19001D_011MA,C19001D_011EA,state
0400000US01,17410,1597,1420,662,530,313,2449,860,2121,852,2463,797,3372,1001,2283,877,915,385,805,460,1052,496,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9261,1132,252,220,780,560,824,374,955,464,1110,545,2076,578,1462,570,1143,450,508,332,151,151,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,54262,2757,4741,1521,1551,784,4194,975,4480,1233,5996,1327,10091,1596,7958,1359,9027,1501,2703,742,3521,858,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,9653,1369,1156,675,393,397,607,367,1360,741,1282,613,2120,672,989,456,830,464,282,254,634,306,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1514791,11176,99086,4737,67429,3899,118821,5130,101379,4554,154134,6460,241446,7390,199618,6820,273476,7548,136430,5207,122972,4067,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,43796,2346,3116,799,1397,581,4951,1060,4408,1259,5241,1079,8255,1319,5518,1165,6291,1323,2302,762,2317,854,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42773,1938,1877,672,1046,549,2473,778,2846,832,4288,1041,8812,1823,6828,1612,6827,1372,3585,833,4191,917,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,8880,787,833,467,253,242,281,268,112,102,567,355,1494,599,1753,545,1781,489,796,430,1010,402,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10137,1311,1146,548,252,258,512,331,366,414,433,263,2080,760,1848,817,1778,719,604,321,1118,529,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,129832,4256,9812,1836,3934,1171,12767,1895,13386,1981,17624,2497,25634,2578,17011,1910,15804,1959,6715,1525,7145,1252,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,93977,3500,7866,1550,3353,937,7004,1403,8592,1830,11915,2031,17514,1891,13168,1817,12681,1578,6774,1239,5110,1024,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,178424,4594,9538,1580,6187,1233,14896,1715,13045,1666,22423,2155,33440,2794,24682,2286,33114,2573,11705,1765,9394,1235,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
