GEO_ID,C08505F_001E,C08505F_001M,C08505F_002E,C08505F_002M,C08505F_003E,C08505F_003M,C08505F_004E,C08505F_004M,C08505F_005E,C08505F_005M,C08505F_006E,C08505F_006M,NAME,C08505F_001MA,C08505F_001EA,C08505F_002MA,C08505F_002EA,C08505F_003EA,C08505F_003MA,C08505F_004MA,C08505F_004EA,C08505F_005MA,C08505F_005EA,C08505F_006EA,C08505F_006MA,state
0400000US01,24013,3905,13870,2494,9382,2525,103,130,307,301,351,367,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3724,999,2022,623,1037,617,0,273,482,304,183,226,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,153768,11004,115961,9726,22699,3450,3301,1077,8255,2013,3552,1037,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26837,3392,16931,2514,9018,2284,119,194,647,413,122,163,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1999001,37192,1371084,28565,288072,10887,166273,9855,120335,6998,53237,5154,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,116033,7392,81945,6390,21206,3074,6378,1408,3943,1221,2561,1108,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,82315,6432,47451,4560,16305,3442,9473,2421,8391,1983,695,425,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,27806,3606,10311,1959,4517,1430,11524,2633,1268,823,186,165,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,222987,14859,149954,9733,41167,5401,14855,7993,13271,3410,3740,1141,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,135051,8039,76124,5965,32698,4202,3672,1450,19007,3884,3550,1190,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,7292,1691,4398,1053,734,376,323,277,1292,946,545,446,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,14482,2250,11345,2042,2239,699,107,137,698,485,93,143,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,337370,13422,220914,10069,55956,4809,34010,3961,19523,2965,6967,1388,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,49963,4479,39421,4141,7567,1730,585,349,2338,1022,52,86,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,21707,2859,13566,2292,5203,1551,245,334,1604,708,1089,640,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,31037,3281,24155,3095,4776,1416,519,348,1140,718,447,349,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19789,2751,9437,1672,8760,2210,11,20,627,455,954,1478,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,27571,2746,16611,2182,8736,2035,1065,638,898,498,261,315,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,81014,7034,47744,5539,19965,3152,8505,2185,3165,1282,1635,755,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,97690,6602,59857,4882,16110,2460,12930,2820,6225,1437,2568,1182,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,44440,4125,29875,3246,9867,2440,402,226,2261,812,2035,1495,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,26571,2614,16409,2233,6000,1483,1947,739,1377,705,838,594,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,9281,2132,5051,1142,3278,1670,0,273,615,488,337,289,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,23158,2761,16281,2198,3417,1141,555,396,1600,679,1305,563,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,15945,2377,11754,1958,3396,1123,75,125,522,348,198,211,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,70761,6132,56126,6049,8490,1893,3643,1184,1873,855,629,374,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,239724,11055,128004,6339,32636,4393,38454,4420,36639,4518,3991,1301,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,95709,7048,78985,5973,9068,1660,1125,601,2733,949,3798,1121,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,675252,14475,199884,8687,52457,6297,316390,10901,87918,6648,18603,2346,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,123650,6430,77170,5686,34671,3294,1918,1070,7192,2260,2699,1301,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,36696,3940,24040,3248,8397,1831,622,423,2714,851,923,489,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,43575,3304,30345,2682,10597,1984,263,301,1327,713,1043,497,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,70857,5159,46459,4001,12478,2451,4903,1358,4275,1527,2742,1420,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,80699,5447,46539,3796,15499,2537,10573,2245,5853,1941,2235,802,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,23643,2895,13598,2040,5365,1717,1702,916,2469,931,509,449,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,34709,4115,18588,3216,11999,2449,139,168,3212,1343,771,694,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,40779,4953,28959,4801,10366,2791,0,273,624,517,830,516,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,811741,18612,583242,15605,151305,9682,17253,2526,42921,4920,17020,2607,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,45005,4237,33705,3551,7357,2057,1224,732,1528,845,1191,671,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,96967,8816,59891,6825,14901,2963,9177,2902,8218,3166,4780,1962,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,110396,6982,73448,5799,21837,3806,4633,1530,7544,2361,2934,1336,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,39140,3304,27070,2635,7784,1876,624,425,2791,835,871,441,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,117513,5378,91528,4600,12117,1980,3510,1042,8111,1298,2247,712,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
