GEO_ID,C19101F_001E,C19101F_001M,C19101F_002E,C19101F_002M,C19101F_003E,C19101F_003M,C19101F_004E,C19101F_004M,C19101F_005E,C19101F_005M,C19101F_006E,C19101F_006M,C19101F_007E,C19101F_007M,C19101F_008E,C19101F_008M,C19101F_009E,C19101F_009M,C19101F_010E,C19101F_010M,C19101F_011E,C19101F_011M,NAME,C19101F_001EA,C19101F_001MA,C19101F_002EA,C19101F_002MA,C19101F_003EA,C19101F_003MA,C19101F_004EA,C19101F_004MA,C19101F_005EA,C19101F_005MA,C19101F_006EA,C19101F_006MA,C19101F_007MA,C19101F_007EA,C19101F_008EA,C19101F_008MA,C19101F_009EA,C19101F_009MA,C19101F_010EA,C19101F_010MA,C19101F_011EA,C19101F_011MA,state
0400000US01,8627,1393,723,502,271,241,2135,907,1399,668,1606,705,1162,420,933,406,338,341,60,106,0,273,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,85382,5082,7880,1717,6571,1351,12909,1774,13137,2295,15228,2301,14799,2070,9160,1740,4831,1260,591,432,276,229,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12773,1727,902,571,893,500,2857,916,2518,865,3158,962,1425,726,611,451,409,299,0,273,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,983002,15215,73707,4997,61462,4490,139523,6356,128857,6981,171946,7477,189931,8213,102508,6177,83245,4608,22241,2804,9582,1815,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,61896,4498,6053,1308,5709,1160,8192,1449,10628,2150,11766,1868,9816,1836,4495,1252,4151,958,711,488,375,204,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42032,2696,6584,1351,1994,837,7572,1611,6013,1395,7974,1714,6208,1322,3316,1172,1501,646,507,328,363,379,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,94572,5346,9054,1681,6693,1517,16595,2107,16047,2372,14769,2221,17778,2578,6420,1384,5376,1165,823,476,1017,603,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
