GEO_ID,C15010B_001E,C15010B_001M,C15010B_002E,C15010B_002M,C15010B_003E,C15010B_003M,C15010B_004E,C15010B_004M,C15010B_005E,C15010B_005M,C15010B_006E,C15010B_006M,NAME,C15010B_001EA,C15010B_001MA,C15010B_002MA,C15010B_002EA,C15010B_003EA,C15010B_003MA,C15010B_004MA,C15010B_004EA,C15010B_005MA,C15010B_005EA,C15010B_006EA,C15010B_006MA,state
0400000US01,111396,5794,28956,2876,9577,1706,28026,3133,24052,2465,20785,2578,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3336,939,1329,616,227,269,1058,582,180,150,542,321,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,32096,3028,11880,2095,3459,1082,7511,1533,2094,709,7152,1538,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,32531,3130,8700,1401,3701,1071,6457,1333,7456,1411,6217,1318,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,309378,10203,106221,5643,23637,2944,65982,4749,29095,2883,84443,5246,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,23826,2319,8146,1375,2095,808,6029,1558,2032,737,5524,1134,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,37951,3818,11913,2460,3724,1168,9615,2131,3430,894,9269,1932,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21305,2354,7122,1450,1226,488,6528,1469,2784,659,3645,1087,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,45781,3376,16493,1976,2414,970,8413,1706,3956,947,14505,2017,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,278648,10896,74285,5410,30846,3511,69342,4818,46984,4404,57191,4780,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,344897,9935,103819,5005,35108,2969,90937,4998,47215,3653,67818,5602,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,2975,847,773,396,318,301,606,376,209,220,1069,506,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,206520,6468,60101,4631,19465,2474,46968,4083,32800,2464,47186,3401,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,49037,4086,11910,1971,6079,1234,14495,2140,6384,1244,10169,1786,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
