GEO_ID,C19101B_001E,C19101B_001M,C19101B_002E,C19101B_002M,C19101B_003E,C19101B_003M,C19101B_004E,C19101B_004M,C19101B_005E,C19101B_005M,C19101B_006E,C19101B_006M,C19101B_007E,C19101B_007M,C19101B_008E,C19101B_008M,C19101B_009E,C19101B_009M,C19101B_010E,C19101B_010M,C19101B_011E,C19101B_011M,NAME,C19101B_001MA,C19101B_001EA,C19101B_002EA,C19101B_002MA,C19101B_003EA,C19101B_003MA,C19101B_004EA,C19101B_004MA,C19101B_005EA,C19101B_005MA,C19101B_006MA,C19101B_006EA,C19101B_007MA,C19101B_007EA,C19101B_008MA,C19101B_008EA,C19101B_009EA,C19101B_009MA,C19101B_010EA,C19101B_010MA,C19101B_011MA,C19101B_011EA,state
0400000US01,293038,6426,42630,3057,22978,2500,49495,3525,38652,3364,46583,2808,45214,4117,22255,2475,18288,1895,4609,1197,2334,806,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5431,904,71,83,0,246,910,554,304,259,483,326,768,376,629,407,1507,659,265,253,494,394,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,52798,2713,5552,1114,3579,957,4921,1283,6712,1442,6520,1345,10966,1681,6041,1262,6119,1266,1489,621,899,530,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,108325,3281,17024,2253,9113,1366,20035,2227,16506,1881,15616,1660,15240,1935,7694,1252,5718,1278,975,572,404,299,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,501393,7373,45853,3589,27001,2544,55197,3884,51764,4336,67873,4597,88844,4660,62190,4069,63444,3961,23402,2681,15825,1998,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44578,2482,4826,998,2090,830,6682,1256,3693,1015,5813,1313,8555,1548,5472,1177,4048,974,1900,670,1499,878,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,77468,2762,6976,1694,4306,1080,9538,1598,7171,1693,11691,1875,13592,1782,9391,1852,9487,1382,3356,896,1960,781,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,44377,2291,3209,946,2299,892,5933,1495,5664,1443,6703,1461,7687,1490,6041,1240,4680,1108,1715,577,446,309,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,56871,2816,6719,1183,4038,1006,6008,1231,6042,1049,7387,1227,8985,1207,6922,1267,6519,1235,2201,652,2050,648,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,636878,9321,69672,3778,42723,3405,97140,5289,91391,5556,107750,5313,107191,5707,62964,4819,43163,3312,8893,1575,5991,1292,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
