GEO_ID,C17010B_001E,C17010B_001M,C17010B_002E,C17010B_002M,C17010B_003E,C17010B_003M,C17010B_004E,C17010B_004M,C17010B_005E,C17010B_005M,C17010B_006E,C17010B_006M,C17010B_007E,C17010B_007M,C17010B_008E,C17010B_008M,C17010B_009E,C17010B_009M,C17010B_010E,C17010B_010M,C17010B_011E,C17010B_011M,C17010B_012E,C17010B_012M,C17010B_013E,C17010B_013M,C17010B_014E,C17010B_014M,C17010B_015E,C17010B_015M,C17010B_016E,C17010B_016M,C17010B_017E,C17010B_017M,NAME,C17010B_001EA,C17010B_001MA,C17010B_002MA,C17010B_002EA,C17010B_003MA,C17010B_003EA,C17010B_004MA,C17010B_004EA,C17010B_005EA,C17010B_005MA,C17010B_006MA,C17010B_006EA,C17010B_007EA,C17010B_007MA,C17010B_008MA,C17010B_008EA,C17010B_009EA,C17010B_009MA,C17010B_010EA,C17010B_010MA,C17010B_011EA,C17010B_011MA,C17010B_012EA,C17010B_012MA,C17010B_013MA,C17010B_013EA,C17010B_014MA,C17010B_014EA,C17010B_015MA,C17010B_015EA,C17010B_016EA,C17010B_016MA,C17010B_017MA,C17010B_017EA,state
0400000US01,293038,6426,84692,4453,13659,1857,8479,1468,71033,4229,6807,1689,4209,1233,64226,3775,55546,3604,208346,5896,112074,4593,49137,3558,96272,4188,17308,2078,8514,1538,78964,4058,47446,3930,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,52798,2713,10303,1648,1600,674,1155,653,8703,1500,1691,768,1492,743,7012,1365,6202,1315,42495,2633,24234,2169,12141,1452,18261,1994,4895,1141,2865,848,13366,1786,9682,1706,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,108325,3281,33247,2713,5826,1171,3264,931,27421,2600,3296,1154,2792,1103,24125,2343,21623,2234,75078,3337,38655,3015,16818,2039,36423,2847,6548,1402,2837,787,29875,2401,18201,2193,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,501393,7373,92315,4832,14096,1792,9794,1368,78219,4726,10393,1757,8900,1713,67826,4345,57712,4017,409078,7372,210065,6056,101860,4797,199013,5907,43066,3331,23541,2684,155947,5272,93410,5682,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44578,2482,9415,1523,1852,764,1538,730,7563,1389,901,566,522,377,6662,1221,6224,1182,35163,2419,21907,2162,11443,1608,13256,2025,3809,1086,1583,675,9447,1550,5114,1174,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,77468,2762,14900,2539,2440,992,1848,798,12460,2149,1043,641,593,484,11417,2104,10221,1965,62568,2570,32547,2496,18086,2315,30021,2291,5878,1162,3118,899,24143,2100,16348,1879,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,44377,2291,7902,1679,1387,659,795,473,6515,1555,624,380,572,373,5891,1488,5564,1459,36475,2384,21032,1951,9908,1630,15443,1933,2305,746,1272,620,13138,1963,9216,1613,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,56871,2816,12430,1644,910,514,309,220,11520,1597,982,511,722,403,10538,1393,8634,1272,44441,2532,18017,1750,6440,1387,26424,2277,5813,1067,2428,719,20611,1953,10759,1544,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,636878,9321,152772,5417,33412,3711,22062,3242,119360,5438,13985,2270,9681,1804,105375,4894,91012,4937,484106,8966,262234,8755,130595,6439,221872,7666,43427,3334,22283,2238,178445,6615,115561,4543,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
