GEO_ID,C19037I_001E,C19037I_001M,C19037I_002E,C19037I_002M,C19037I_003E,C19037I_003M,C19037I_004E,C19037I_004M,C19037I_005E,C19037I_005M,C19037I_006E,C19037I_006M,C19037I_007E,C19037I_007M,C19037I_008E,C19037I_008M,C19037I_009E,C19037I_009M,C19037I_010E,C19037I_010M,C19037I_011E,C19037I_011M,C19037I_012E,C19037I_012M,C19037I_013E,C19037I_013M,C19037I_014E,C19037I_014M,C19037I_015E,C19037I_015M,C19037I_016E,C19037I_016M,C19037I_017E,C19037I_017M,C19037I_018E,C19037I_018M,C19037I_019E,C19037I_019M,C19037I_020E,C19037I_020M,C19037I_021E,C19037I_021M,C19037I_022E,C19037I_022M,C19037I_023E,C19037I_023M,C19037I_024E,C19037I_024M,C19037I_025E,C19037I_025M,C19037I_026E,C19037I_026M,C19037I_027E,C19037I_027M,C19037I_028E,C19037I_028M,C19037I_029E,C19037I_029M,C19037I_030E,C19037I_030M,C19037I_031E,C19037I_031M,C19037I_032E,C19037I_032M,C19037I_033E,C19037I_033M,C19037I_034E,C19037I_034M,C19037I_035E,C19037I_035M,C19037I_036E,C19037I_036M,C19037I_037E,C19037I_037M,C19037I_038E,C19037I_038M,C19037I_039E,C19037I_039M,C19037I_040E,C19037I_040M,C19037I_041E,C19037I_041M,C19037I_042E,C19037I_042M,C19037I_043E,C19037I_043M,C19037I_044E,C19037I_044M,C19037I_045E,C19037I_045M,NAME,C19037I_001EA,C19037I_001MA,C19037I_002EA,C19037I_002MA,C19037I_003MA,C19037I_003EA,C19037I_004EA,C19037I_004MA,C19037I_005MA,C19037I_005EA,C19037I_006EA,C19037I_006MA,C19037I_007EA,C19037I_007MA,C19037I_008MA,C19037I_008EA,C19037I_009MA,C19037I_009EA,C19037I_010MA,C19037I_010EA,C19037I_011EA,C19037I_011MA,C19037I_012EA,C19037I_012MA,C19037I_013MA,C19037I_013EA,C19037I_014MA,C19037I_014EA,C19037I_015MA,C19037I_015EA,C19037I_016EA,C19037I_016MA,C19037I_017EA,C19037I_017MA,C19037I_018EA,C19037I_018MA,C19037I_019MA,C19037I_019EA,C19037I_020MA,C19037I_020EA,C19037I_021EA,C19037I_021MA,C19037I_022EA,C19037I_022MA,C19037I_023EA,C19037I_023MA,C19037I_024EA,C19037I_024MA,C19037I_025MA,C19037I_025EA,C19037I_026EA,C19037I_026MA,C19037I_027MA,C19037I_027EA,C19037I_028EA,C19037I_028MA,C19037I_029EA,C19037I_029MA,C19037I_030MA,C19037I_030EA,C19037I_031MA,C19037I_031EA,C19037I_032MA,C19037I_032EA,C19037I_033MA,C19037I_033EA,C19037I_034EA,C19037I_034MA,C19037I_035EA,C19037I_035MA,C19037I_036MA,C19037I_036EA,C19037I_037EA,C19037I_037MA,C19037I_038MA,C19037I_038EA,C19037I_039EA,C19037I_039MA,C19037I_040EA,C19037I_040MA,C19037I_041MA,C19037I_041EA,C19037I_042MA,C19037I_042EA,C19037I_043MA,C19037I_043EA,C19037I_044MA,C19037I_044EA,C19037I_045MA,C19037I_045EA,state
0400000US01,40933,2846,5987,1375,1037,553,697,493,796,578,1177,693,1022,599,466,302,680,617,112,192,0,273,0,273,24543,2280,2147,811,2073,844,5262,1476,4604,1211,4226,1160,3759,997,1574,609,820,504,0,273,78,139,8340,1404,893,459,330,235,792,492,977,501,1220,587,1903,690,684,406,957,497,311,243,273,261,2063,744,112,131,284,318,431,323,112,162,391,231,387,323,98,103,248,237,0,273,0,273,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,493461,7081,38855,3319,8374,1448,4176,1229,6833,1631,6817,1390,5656,1212,5344,1528,1170,648,485,383,0,305,0,305,246944,4933,21659,2735,15221,2545,35569,3058,39161,3407,47338,3711,46461,3637,23580,2933,14609,2106,2109,846,1237,580,159145,4487,12705,2142,9916,1923,19901,2271,24111,3231,24087,2570,31467,2756,16081,2148,15236,1822,2981,852,2660,776,48517,2904,7812,1512,5559,1229,9532,1481,7510,1437,6179,1160,6012,1406,3015,843,1877,707,588,385,433,424,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,45099,2447,4360,1416,437,308,755,669,1169,763,240,195,925,764,648,473,40,74,146,271,0,273,0,273,26613,2393,1746,823,2343,1027,5246,1295,5166,1452,4971,1083,4011,1033,1967,874,796,423,170,176,197,182,12063,1703,449,359,311,212,2002,778,2251,920,2774,1017,1878,657,1188,596,663,345,174,222,373,316,2063,766,380,407,186,176,661,414,292,213,92,127,265,240,0,273,140,159,47,96,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3380491,17845,165574,6079,23016,2759,15298,2377,29187,2803,26366,2678,28831,2946,28525,2975,9389,1613,3788,995,886,464,288,242,1682156,14773,93218,5459,89500,5918,227775,7543,225240,6677,292132,10002,336982,10410,190019,7981,162482,6963,42753,3607,22055,2489,1184397,9755,61311,3810,54806,4057,130856,6272,132973,5361,187996,6950,248066,9281,150518,5643,145951,6419,46248,3236,25672,2403,348364,6806,31006,2551,45840,2804,66338,4261,44054,2953,49127,3123,53204,3278,24950,2295,22172,2399,6003,1072,5670,1037,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,293642,5516,23273,2255,4526,1139,2747,865,4495,1035,3568,1200,4027,992,2037,853,1384,661,434,355,0,279,55,92,147081,4813,11486,1700,9789,1770,21153,2383,23572,3009,27597,3241,26049,2604,14023,1852,10200,1726,2090,789,1122,456,92306,3869,8484,1387,5212,1312,12189,1872,9067,1645,14880,1745,16768,2411,9750,1603,10612,1462,3105,773,2239,797,30982,1514,4288,993,4448,880,4878,889,4384,1054,4459,1000,4811,936,2118,840,788,469,493,369,315,279,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,138116,4010,8404,1341,1547,691,925,597,1487,588,1862,845,961,556,1108,538,286,353,228,224,0,281,0,281,73893,3582,7005,1604,5034,1395,11241,2176,9827,2068,11944,2030,13947,2018,7693,1526,4090,905,2102,674,1010,490,44335,2101,6470,1260,3164,885,4051,1185,4529,1134,5984,1381,6477,1221,4789,1224,5021,1255,2051,781,1799,625,11484,1283,3036,892,1838,765,1768,547,1401,582,943,429,1032,512,776,435,635,356,0,281,55,87,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17109,1534,1451,715,285,297,0,292,334,395,0,292,337,298,495,456,0,292,0,292,0,292,0,292,9636,1251,312,331,545,469,952,590,1105,647,616,401,1252,620,1489,609,1043,622,1205,664,1117,556,4524,718,328,211,58,97,376,324,219,222,716,475,703,379,538,309,1150,516,122,119,314,255,1498,393,269,179,59,96,310,293,183,201,122,99,221,195,0,292,55,99,90,141,189,168,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1258735,13404,53496,3667,9678,1936,4612,1394,12274,2000,9769,1754,7604,1563,6691,1363,1402,714,1423,733,43,71,0,310,524369,9296,39789,3482,29100,3151,70942,4683,77937,4840,89060,6353,102202,5363,53187,4230,40492,3569,12237,1918,9423,1590,466834,7453,35101,3023,33229,3300,57976,4222,55971,4407,80177,4756,89512,4821,41116,3403,45490,2837,13836,2110,14426,1933,214036,5068,42117,2813,31639,2694,40362,3498,27570,2922,27656,2909,24303,2155,9373,1691,7436,1247,1602,726,1978,543,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
