B21001C_013M,B21001C_014E,B21001C_014M,B21001C_015E,B21001C_015M,B21001C_016E,B21001C_016M,B21001C_017E,B21001C_017M,B21001C_018E,B21001C_018M,B21001C_019E,B21001C_019M,B21001C_020E,B21001C_020M,B21001C_021E,B21001C_021M,B21001C_022E,B21001C_022M,B21001C_023E,B21001C_023M,B21001C_024E,B21001C_024M,B21001C_025E,B21001C_025M,B21001C_026E,B21001C_026M,B21001C_027E,B21001C_027M,B21001C_028E,B21001C_028M,B21001C_029E,B21001C_029M,B21001C_030E,B21001C_030M,B21001C_031E,B21001C_031M,B21001C_032E,B21001C_032M,B21001C_033E,B21001C_033M,GEO_ID,B21001C_001E,B21001C_001M,B21001C_002E,B21001C_002M,B21001C_003E,B21001C_003M,B21001C_004E,B21001C_004M,B21001C_005E,B21001C_005M,B21001C_006E,B21001C_006M,B21001C_007E,B21001C_007M,B21001C_008E,B21001C_008M,B21001C_009E,B21001C_009M,B21001C_010E,B21001C_010M,B21001C_011E,B21001C_011M,B21001C_012E,B21001C_012M,B21001C_013E,B21001C_013MA,B21001C_014MA,B21001C_014EA,B21001C_015EA,B21001C_015MA,B21001C_016MA,B21001C_016EA,B21001C_017MA,B21001C_017EA,B21001C_018MA,B21001C_018EA,B21001C_019MA,B21001C_019EA,B21001C_020EA,B21001C_020MA,B21001C_021MA,B21001C_021EA,B21001C_022MA,B21001C_022EA,B21001C_023MA,B21001C_023EA,B21001C_024MA,B21001C_024EA,B21001C_025MA,B21001C_025EA,B21001C_026EA,B21001C_026MA,B21001C_027EA,B21001C_027MA,B21001C_028EA,B21001C_028MA,B21001C_029MA,B21001C_029EA,B21001C_030MA,B21001C_030EA,B21001C_031EA,B21001C_031MA,B21001C_032EA,B21001C_032MA,B21001C_033EA,B21001C_033MA,NAME,B21001C_001MA,B21001C_001EA,B21001C_002MA,B21001C_002EA,B21001C_003MA,B21001C_003EA,B21001C_004EA,B21001C_004MA,B21001C_005EA,B21001C_005MA,B21001C_006MA,B21001C_006EA,B21001C_007MA,B21001C_007EA,B21001C_008MA,B21001C_008EA,B21001C_009EA,B21001C_009MA,B21001C_010MA,B21001C_010EA,B21001C_011MA,B21001C_011EA,B21001C_012EA,B21001C_012MA,B21001C_013EA,state
289,158,164,89,105,33,53,56,93,10847,1492,4170,1143,0,273,4170,1143,3881,803,115,180,3766,796,1662,562,0,273,1662,562,537,350,17,29,520,349,597,333,30,49,567,333,0400000US01,19921,2577,9074,1745,3078,1025,59,104,3019,1000,3285,874,591,391,2694,799,2058,637,865,400,1193,478,564,332,406,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
267,992,330,934,186,260,121,674,159,36196,1671,13837,1297,664,618,13173,1237,13809,1169,154,129,13655,1185,4660,527,0,246,4660,527,2504,409,0,246,2504,409,1386,309,0,246,1386,309,0400000US02,68401,2412,32205,1795,12554,1445,673,487,11881,1314,12399,1115,1546,648,10853,1147,4624,564,1546,482,3078,580,1694,397,702,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
608,3090,595,3468,631,1737,605,1731,420,99892,2568,39197,1770,178,162,39019,1776,36356,1690,1040,624,35316,1583,12578,765,43,71,12535,745,7139,782,0,305,7139,782,4622,535,48,83,4574,523,0400000US04,192824,4359,92932,2838,40633,2211,597,443,40036,2252,33276,1558,2862,930,30414,1586,10902,828,2845,665,8057,968,4653,741,1563,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
939,3348,834,3837,792,2418,720,1419,477,105660,5219,36592,3322,621,521,35971,3405,41853,3253,607,345,41246,3171,15579,1743,300,217,15279,1749,6751,1150,116,109,6635,1132,4885,1159,0,294,4885,1159,0400000US06,207425,7919,101765,4595,33523,2779,1265,614,32258,2697,41759,2668,5207,1088,36552,2831,16013,1645,5162,1016,10851,1436,6633,1148,3285,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
211,726,302,490,273,338,205,152,161,18032,2396,5510,1204,0,279,5510,1204,7338,1209,139,160,7199,1205,3666,853,125,124,3541,843,1061,446,0,279,1061,446,457,348,0,279,457,348,0400000US08,37396,3672,19364,2092,7539,1448,88,107,7451,1440,7655,1343,591,316,7064,1280,2628,768,1073,447,1555,700,1052,349,326,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
345,1085,795,653,334,499,319,154,167,23876,3088,7505,1916,485,620,7020,1904,10237,1769,566,464,9671,1719,4325,1108,213,355,4112,1022,1537,569,0,310,1537,569,272,269,0,310,272,269,0400000US12,51212,4856,27336,3326,11542,2318,446,379,11096,2276,9261,1686,1737,806,7524,1558,4133,1040,1689,549,2444,887,1747,836,662,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
