GEO_ID,B15002B_001E,B15002B_001M,B15002B_002E,B15002B_002M,B15002B_003E,B15002B_003M,B15002B_004E,B15002B_004M,B15002B_005E,B15002B_005M,B15002B_006E,B15002B_006M,B15002B_007E,B15002B_007M,B15002B_008E,B15002B_008M,B15002B_009E,B15002B_009M,B15002B_010E,B15002B_010M,B15002B_011E,B15002B_011M,B15002B_012E,B15002B_012M,B15002B_013E,B15002B_013M,B15002B_014E,B15002B_014M,B15002B_015E,B15002B_015M,B15002B_016E,B15002B_016M,B15002B_017E,B15002B_017M,B15002B_018E,B15002B_018M,B15002B_019E,B15002B_019M,NAME,B15002B_001EA,B15002B_001MA,B15002B_002MA,B15002B_002EA,B15002B_003EA,B15002B_003MA,B15002B_004MA,B15002B_004EA,B15002B_005EA,B15002B_005MA,B15002B_006MA,B15002B_006EA,B15002B_007MA,B15002B_007EA,B15002B_008MA,B15002B_008EA,B15002B_009EA,B15002B_009MA,B15002B_010EA,B15002B_010MA,B15002B_011MA,B15002B_011EA,B15002B_012EA,B15002B_012MA,B15002B_013MA,B15002B_013EA,B15002B_014EA,B15002B_014MA,B15002B_015MA,B15002B_015EA,B15002B_016EA,B15002B_016MA,B15002B_017MA,B15002B_017EA,B15002B_018EA,B15002B_018MA,B15002B_019EA,B15002B_019MA,state
0400000US01,759609,3838,335481,2838,23678,2050,56251,4407,113282,4569,17343,2309,67946,5153,16896,1907,26035,2818,14050,1699,424128,2194,27713,2347,62026,3453,116776,4820,10579,1538,101059,5043,34664,3010,43097,3321,28214,2244,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14023,1035,8161,765,116,143,886,558,1280,560,107,65,2607,651,1588,618,1056,556,521,360,5862,588,103,168,364,267,926,484,284,253,1624,631,802,420,1570,546,189,146,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,152212,2450,78354,1817,2218,1011,7362,1310,18487,2264,4688,1147,21420,2236,8057,1616,10359,1731,5763,1204,73858,1532,2325,807,4732,1183,14244,2153,2617,847,24696,2347,9270,1456,8475,1504,7499,1480,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,267714,2785,122420,2237,8483,1519,20702,2424,45116,2880,6422,1292,22066,2127,6529,1508,8801,1574,4301,1161,145294,2122,8780,1346,19589,2203,44669,3130,3896,973,36662,3228,12269,1799,13564,1802,5865,1144,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1428183,7941,690184,4766,24267,2578,68130,4663,161589,5478,23995,2730,211307,7276,60608,4323,94207,4695,46081,3741,737999,5196,24428,2177,61264,4334,148966,6670,14399,2196,240788,8900,79064,5105,106962,5420,62128,4599,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,122003,2730,64824,2542,3650,1078,5965,1187,16055,1926,4060,1022,16205,2284,6037,1326,8551,1530,4301,1104,57179,1964,2713,1018,4644,1308,14111,1626,2879,951,14866,1651,6992,1352,7316,1069,3658,988,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,216746,2605,99413,1850,5460,1166,12643,1955,32978,3263,7018,1343,19917,2197,4951,1231,11444,2431,5002,1167,117333,1975,6432,1336,14229,1814,31889,2974,4252,1169,29797,2324,9229,1616,14233,2336,7272,1354,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,112889,1257,50658,877,2565,622,7547,1654,16989,1861,2417,974,9927,1497,2628,931,5711,1296,2874,691,62231,822,1319,420,5536,1230,19291,2096,2099,713,16210,2221,5056,1350,7891,1425,4829,1082,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,205547,1952,89660,1007,4750,1233,13002,1730,27019,2447,5256,1213,16685,2112,3634,1142,11304,1664,8010,1317,115887,1314,4513,1146,15514,1811,34200,2704,6326,1438,23730,2347,5137,1209,14668,1888,11799,1270,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1768031,9070,818300,4386,65826,4830,139069,7001,242010,9072,43184,3689,163658,6733,54101,4866,76596,4991,33856,3035,949731,7020,74109,5331,111528,5853,252443,7420,35604,3361,219044,8097,88807,6176,109320,6689,58876,4245,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
