B25074_030E,B25074_030M,B25074_031E,B25074_031M,B25074_032E,B25074_032M,B25074_033E,B25074_033M,B25074_034E,B25074_034M,B25074_035E,B25074_035M,B25074_036E,B25074_036M,B25074_037E,B25074_037M,B25074_038E,B25074_038M,B25074_039E,B25074_039M,B25074_040E,B25074_040M,B25074_041E,B25074_041M,B25074_042E,B25074_042M,B25074_043E,B25074_043M,B25074_044E,B25074_044M,B25074_045E,B25074_045M,B25074_046E,B25074_046M,B25074_047E,B25074_047M,B25074_048E,B25074_048M,B25074_049E,B25074_049M,B25074_050E,B25074_050M,GEO_ID,B25074_001E,B25074_001M,B25074_002E,B25074_002M,B25074_003E,B25074_003M,B25074_004E,B25074_004M,B25074_005E,B25074_005M,B25074_006E,B25074_006M,B25074_007E,B25074_007M,B25074_008E,B25074_008M,B25074_009E,B25074_009M,B25074_010E,B25074_010M,B25074_011E,B25074_011M,B25074_012E,B25074_012M,B25074_013E,B25074_013M,B25074_014E,B25074_014M,B25074_015E,B25074_015M,B25074_016E,B25074_016M,B25074_017E,B25074_017M,B25074_018E,B25074_018M,B25074_019E,B25074_019M,B25074_020E,B25074_020M,B25074_021E,B25074_021M,B25074_022E,B25074_022M,B25074_023E,B25074_023M,B25074_024E,B25074_024M,B25074_025E,B25074_025M,B25074_026E,B25074_026M,B25074_027E,B25074_027M,B25074_028E,B25074_028M,B25074_029E,B25074_029M,B25074_030EA,B25074_030MA,B25074_031MA,B25074_031EA,B25074_032EA,B25074_032MA,B25074_033MA,B25074_033EA,B25074_034EA,B25074_034MA,B25074_035EA,B25074_035MA,B25074_036MA,B25074_036EA,B25074_037MA,B25074_037EA,B25074_038EA,B25074_038MA,B25074_039EA,B25074_039MA,B25074_040MA,B25074_040EA,B25074_041MA,B25074_041EA,B25074_042MA,B25074_042EA,B25074_043MA,B25074_043EA,B25074_044EA,B25074_044MA,B25074_045EA,B25074_045MA,B25074_046MA,B25074_046EA,B25074_047EA,B25074_047MA,B25074_048EA,B25074_048MA,B25074_049MA,B25074_049EA,B25074_050EA,B25074_050MA,NAME,B25074_001EA,B25074_001MA,B25074_002MA,B25074_002EA,B25074_003EA,B25074_003MA,B25074_004MA,B25074_004EA,B25074_005MA,B25074_005EA,B25074_006MA,B25074_006EA,B25074_007EA,B25074_007MA,B25074_008EA,B25074_008MA,B25074_009MA,B25074_009EA,B25074_010MA,B25074_010EA,B25074_011MA,B25074_011EA,B25074_012EA,B25074_012MA,B25074_013MA,B25074_013EA,B25074_014MA,B25074_014EA,B25074_015MA,B25074_015EA,B25074_016MA,B25074_016EA,B25074_017EA,B25074_017MA,B25074_018EA,B25074_018MA,B25074_019MA,B25074_019EA,B25074_020MA,B25074_020EA,B25074_021EA,B25074_021MA,B25074_022MA,B25074_022EA,B25074_023MA,B25074_023EA,B25074_024EA,B25074_024MA,B25074_025MA,B25074_025EA,B25074_026MA,B25074_026EA,B25074_027EA,B25074_027MA,B25074_028MA,B25074_028EA,B25074_029MA,B25074_029EA,state
59958,4417,36639,3289,10540,1787,4288,1158,2070,811,1214,597,5207,1342,21849,2841,15827,2294,2020,872,668,444,328,370,746,526,2260,829,16616,2149,13662,2014,430,242,333,220,58,94,0,273,2133,773,0400000US01,542306,10228,117227,5872,710,345,1950,727,4348,977,3317,1003,77511,5134,29391,3024,120479,5812,5130,1131,4945,1073,8902,1523,9603,1610,78780,4399,13119,1667,130201,6460,11331,1477,16995,1999,21098,2837,21026,2623,45798,3379,13953,2269,75976,4675,27295,2814,17190,2066,10911,2105,6467,1373,6229,1556,7884,1508,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
19027,1857,6257,1258,4318,976,2152,640,2201,749,2318,886,1781,676,7901,1550,3925,982,1847,709,839,550,428,369,175,166,687,404,11177,1667,8565,1427,622,372,596,495,90,145,0,246,1304,548,0400000US02,91825,3849,6188,1251,54,96,259,271,70,122,14,23,3951,1036,1840,597,13482,1626,182,101,148,132,703,389,1382,684,9662,1565,1405,542,18551,1870,1302,674,752,398,1971,835,1794,670,10492,1743,2240,728,15499,2085,1561,675,2496,819,3483,910,1556,570,4067,1042,2336,899,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
121433,6120,50931,4039,30487,3341,18266,2504,9685,2362,7763,1685,4301,1175,52699,4327,35964,3657,10672,2134,3256,1150,675,600,954,499,1178,590,52391,4093,45256,3999,2501,886,1496,648,513,392,606,431,2019,855,0400000US04,811112,13574,120266,6088,1263,667,1190,577,3320,824,1187,552,80569,4772,32737,3359,134889,5911,2310,821,2436,719,4231,1184,5530,1231,113066,5726,7316,1247,193370,8041,7092,1293,17823,2521,29902,3432,33493,3550,95084,5891,9976,1614,136064,6684,25609,2865,30883,3524,25341,2829,22037,2718,27019,3050,5175,1144,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
42703,3667,29530,3055,6301,1356,2421,997,724,482,412,328,3315,1023,12913,2194,10626,2015,712,438,51,85,109,143,379,474,1036,405,10137,2080,8861,1989,58,103,131,132,61,103,0,273,1026,580,0400000US05,363334,8761,71237,4705,168,166,1110,504,2933,883,2697,727,47374,3905,16955,2038,84470,4572,3024,966,3012,947,6708,1476,7607,1480,54434,3413,9685,1388,91976,4876,9385,1767,14698,1777,19838,2653,13471,1785,24778,2688,9806,1602,49898,3373,19725,2507,13651,2065,6589,1172,3071,863,2386,783,4476,1148,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
960557,13935,210794,7136,216883,8340,188901,7066,137241,6627,183852,7971,22886,2526,522126,13062,217842,8477,134899,6527,87990,5033,39740,3195,30594,2970,11061,1546,671208,14851,485156,12632,106575,5850,42815,3181,14688,2306,6940,1155,15034,1963,0400000US06,5503300,25377,534236,11770,3972,1091,1915,685,10179,1709,10967,1583,378208,9121,128995,7677,880915,14137,13890,1678,15836,1828,56170,4086,39046,3262,719072,12968,36901,2909,1083944,18032,30785,2626,35316,2949,68949,4487,101605,5396,815278,16188,32011,2692,850314,13565,53701,4252,104366,6596,151032,6667,150214,6450,366590,9877,24411,2691,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
108704,4965,45289,2848,27658,3037,15704,2210,8226,1751,7547,1587,4280,1137,46029,3037,29288,2405,8990,1329,3835,1053,1520,558,881,422,1515,542,44353,3399,38063,3205,2665,818,1331,701,331,383,212,180,1751,545,0400000US08,667793,12023,92545,5146,1045,718,1642,858,4122,990,2374,835,61801,4094,21561,2460,113574,4908,3842,1026,2282,802,5992,1137,5386,1051,92559,4911,3513,852,153473,6970,7348,1436,13049,1755,19870,2296,23992,2834,83443,5256,5771,894,109115,6576,16633,2286,25646,2961,24881,2670,15965,2229,23012,2376,2978,907,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
68304,4177,22778,2196,20504,2723,10252,1654,6149,1450,6508,1297,2113,654,36648,3078,21831,2654,7163,1478,4013,1163,881,504,1068,547,1692,633,36018,3540,28556,3031,4190,1185,948,420,299,360,360,197,1665,672,0400000US09,435192,8295,58615,3862,610,399,1008,521,4185,1011,1988,678,39194,3514,11630,1835,78214,4489,2745,990,2999,847,6206,1136,5238,1140,57416,3578,3610,1059,86006,4776,5577,1465,3048,1128,8678,1598,9456,1807,56112,3847,3135,789,71387,4052,6673,1435,11717,1980,16032,2228,12474,2090,22686,2173,1805,647,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
15097,1873,5494,1360,4238,813,2871,905,1436,621,691,546,367,219,7084,1441,4250,1095,1738,884,545,445,109,126,58,98,384,257,4900,1435,3935,1108,166,169,274,460,41,73,0,265,484,539,0400000US10,88881,3899,11697,1507,34,59,41,71,720,409,455,290,7357,1489,3090,742,15307,2021,1025,608,352,250,678,374,1062,640,11082,1799,1108,489,20663,2976,457,323,779,534,1615,639,2257,903,14763,2328,792,430,14133,1927,826,488,3533,1260,3173,863,3873,969,2080,718,648,323,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
24475,2661,6592,1203,5121,1181,4051,1144,3603,1070,4553,1215,555,358,17062,2361,7293,1681,3805,906,2441,827,1211,504,1856,657,456,358,22954,2136,14301,1843,3925,1058,1860,722,1414,589,708,398,746,548,0400000US11,145195,4932,21497,2434,436,398,338,240,1019,411,676,361,13372,1943,5656,1361,19211,2304,1960,692,649,321,992,535,832,512,14127,2111,651,382,22621,2493,2222,789,982,506,1416,675,2125,786,15116,2177,760,458,17375,1783,1617,583,3398,860,2629,790,2391,758,6960,1291,380,241,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
332647,10486,99548,5594,92499,5520,60416,4975,34847,3739,33140,3522,12197,1781,138555,6179,78512,4847,34937,3261,12124,1852,3094,778,3993,815,5895,1349,125382,6603,99184,6075,12245,2075,4686,1048,1338,547,1878,935,6051,1428,0400000US12,2240938,20709,332548,8907,1794,788,3344,782,11716,1775,8014,1536,218876,7070,88804,5515,417048,9541,10025,1644,8740,1683,13055,2049,14954,2128,346330,9609,23944,2468,525054,13486,12130,1999,24122,2265,48789,4408,72652,4757,342410,10669,24951,2759,369704,12187,36845,4072,67907,5294,83970,5350,65746,6036,99561,6299,15675,1853,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
