GEO_ID,C21001F_001E,C21001F_001M,C21001F_002E,C21001F_002M,C21001F_003E,C21001F_003M,C21001F_004E,C21001F_004M,C21001F_005E,C21001F_005M,C21001F_006E,C21001F_006M,C21001F_007E,C21001F_007M,C21001F_008E,C21001F_008M,C21001F_009E,C21001F_009M,C21001F_010E,C21001F_010M,C21001F_011E,C21001F_011M,C21001F_012E,C21001F_012M,C21001F_013E,C21001F_013M,C21001F_014E,C21001F_014M,C21001F_015E,C21001F_015M,NAME,C21001F_001MA,C21001F_001EA,C21001F_002EA,C21001F_002MA,C21001F_003EA,C21001F_003MA,C21001F_004MA,C21001F_004EA,C21001F_005EA,C21001F_005MA,C21001F_006MA,C21001F_006EA,C21001F_007EA,C21001F_007MA,C21001F_008EA,C21001F_008MA,C21001F_009EA,C21001F_009MA,C21001F_010EA,C21001F_010MA,C21001F_011MA,C21001F_011EA,C21001F_012EA,C21001F_012MA,C21001F_013EA,C21001F_013MA,C21001F_014EA,C21001F_014MA,C21001F_015MA,C21001F_015EA,state
0400000US01,33538,4404,20360,3119,19937,3081,616,359,19321,3074,423,291,163,153,260,301,13178,2085,12690,2064,371,306,12319,2101,488,305,0,273,488,305,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,272034,14487,135882,8025,126551,7680,7401,1417,119150,7718,9331,1545,1798,752,7533,1490,136152,8020,125731,7653,997,570,124734,7559,10421,1612,0,305,10421,1612,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,39008,4211,20522,2821,20122,2803,369,287,19753,2739,400,267,0,273,400,267,18486,2105,17532,1962,0,273,17532,1962,954,577,0,273,954,577,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3299515,46369,1679002,29065,1593151,28507,48332,3703,1544819,27983,85851,4295,12598,1468,73253,4107,1620513,21915,1502206,20127,5874,1494,1496332,20023,118307,4663,149,176,118158,4667,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,182052,9358,96816,5465,91476,5138,4658,1107,86818,4989,5340,1261,1557,716,3783,1112,85236,5082,79533,4837,511,297,79022,4852,5703,1163,0,279,5703,1163,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,134247,7373,68011,4666,65207,4530,1304,594,63903,4470,2804,787,232,237,2572,762,66236,3915,62587,3686,0,281,62587,3686,3649,1086,0,281,3649,1086,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,360116,19925,191028,13006,177929,12837,6302,1330,171627,12879,13099,2448,1954,730,11145,2278,169088,9591,154152,8796,1565,776,152587,8651,14936,2465,0,310,14936,2465,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
