GEO_ID,B10051G_001E,B10051G_001M,B10051G_002E,B10051G_002M,B10051G_003E,B10051G_003M,B10051G_004E,B10051G_004M,B10051G_005E,B10051G_005M,B10051G_006E,B10051G_006M,B10051G_007E,B10051G_007M,NAME,B10051G_001MA,B10051G_001EA,B10051G_002EA,B10051G_002MA,B10051G_003EA,B10051G_003MA,B10051G_004EA,B10051G_004MA,B10051G_005MA,B10051G_005EA,B10051G_006MA,B10051G_006EA,B10051G_007MA,B10051G_007EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2095,682,964,525,490,314,474,441,1131,528,529,397,602,423,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,28194,2701,10203,1759,6317,1497,3886,1045,17991,2221,8313,1636,9678,1671,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2089,909,506,338,387,314,119,128,1583,852,751,663,832,496,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8964,1839,2266,858,1312,738,954,600,6698,1775,3210,1222,3488,1210,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3505,1019,1961,905,1450,761,511,441,1544,779,375,362,1169,685,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,10150,1731,3282,977,1762,621,1520,751,6868,1456,3297,990,3571,900,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2743,828,749,367,155,157,594,322,1994,696,916,454,1078,535,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1309,475,288,190,265,189,23,40,1021,453,367,289,654,345,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1029,402,432,252,241,207,191,182,597,326,239,216,358,227,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1465,579,961,487,758,414,203,195,504,302,355,263,149,141,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,378,233,128,111,128,111,0,230,250,200,190,168,60,63,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2131,857,1092,621,978,605,114,136,1039,447,702,350,337,300,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
