C19037G_015E,C19037G_015M,C19037G_016E,C19037G_016M,C19037G_017E,C19037G_017M,C19037G_018E,C19037G_018M,C19037G_019E,C19037G_019M,C19037G_020E,C19037G_020M,C19037G_021E,C19037G_021M,C19037G_022E,C19037G_022M,C19037G_023E,C19037G_023M,C19037G_024E,C19037G_024M,C19037G_025E,C19037G_025M,C19037G_026E,C19037G_026M,C19037G_027E,C19037G_027M,C19037G_028E,C19037G_028M,C19037G_029E,C19037G_029M,C19037G_030E,C19037G_030M,C19037G_031E,C19037G_031M,C19037G_032E,C19037G_032M,C19037G_033E,C19037G_033M,C19037G_034E,C19037G_034M,C19037G_035E,C19037G_035M,C19037G_036E,C19037G_036M,C19037G_037E,C19037G_037M,C19037G_038E,C19037G_038M,C19037G_039E,C19037G_039M,C19037G_040E,C19037G_040M,C19037G_041E,C19037G_041M,C19037G_042E,C19037G_042M,C19037G_043E,C19037G_043M,C19037G_044E,C19037G_044M,C19037G_045E,C19037G_045M,GEO_ID,C19037G_001E,C19037G_001M,C19037G_002E,C19037G_002M,C19037G_003E,C19037G_003M,C19037G_004E,C19037G_004M,C19037G_005E,C19037G_005M,C19037G_006E,C19037G_006M,C19037G_007E,C19037G_007M,C19037G_008E,C19037G_008M,C19037G_009E,C19037G_009M,C19037G_010E,C19037G_010M,C19037G_011E,C19037G_011M,C19037G_012E,C19037G_012M,C19037G_013E,C19037G_013M,C19037G_014E,C19037G_014M,C19037G_015MA,C19037G_015EA,C19037G_016MA,C19037G_016EA,C19037G_017EA,C19037G_017MA,C19037G_018EA,C19037G_018MA,C19037G_019EA,C19037G_019MA,C19037G_020EA,C19037G_020MA,C19037G_021MA,C19037G_021EA,C19037G_022MA,C19037G_022EA,C19037G_023EA,C19037G_023MA,C19037G_024EA,C19037G_024MA,C19037G_025EA,C19037G_025MA,C19037G_026MA,C19037G_026EA,C19037G_027MA,C19037G_027EA,C19037G_028MA,C19037G_028EA,C19037G_029EA,C19037G_029MA,C19037G_030EA,C19037G_030MA,C19037G_031EA,C19037G_031MA,C19037G_032MA,C19037G_032EA,C19037G_033MA,C19037G_033EA,C19037G_034MA,C19037G_034EA,C19037G_035EA,C19037G_035MA,C19037G_036EA,C19037G_036MA,C19037G_037MA,C19037G_037EA,C19037G_038EA,C19037G_038MA,C19037G_039MA,C19037G_039EA,C19037G_040EA,C19037G_040MA,C19037G_041EA,C19037G_041MA,C19037G_042EA,C19037G_042MA,C19037G_043MA,C19037G_043EA,C19037G_044MA,C19037G_044EA,C19037G_045MA,C19037G_045EA,NAME,C19037G_001EA,C19037G_001MA,C19037G_002EA,C19037G_002MA,C19037G_003MA,C19037G_003EA,C19037G_004MA,C19037G_004EA,C19037G_005MA,C19037G_005EA,C19037G_006EA,C19037G_006MA,C19037G_007EA,C19037G_007MA,C19037G_008EA,C19037G_008MA,C19037G_009EA,C19037G_009MA,C19037G_010EA,C19037G_010MA,C19037G_011EA,C19037G_011MA,C19037G_012EA,C19037G_012MA,C19037G_013EA,C19037G_013MA,C19037G_014EA,C19037G_014MA,state
262,196,778,474,391,301,1007,523,808,373,996,556,115,110,0,273,43,102,5898,1028,962,506,484,349,463,295,834,400,940,434,715,342,414,266,581,403,87,118,418,345,2986,769,494,347,286,205,668,407,447,304,231,229,346,299,217,242,179,225,0,273,118,178,0400000US01,15121,1754,998,532,462,384,156,214,104,176,79,115,48,116,149,198,0,273,0,273,0,273,0,273,5239,1280,839,469,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
473,397,994,467,2535,768,1696,633,4673,1538,2035,780,2129,915,842,513,286,243,11551,1513,878,415,580,324,1007,458,1052,436,2201,757,2674,760,1064,398,1091,580,239,250,765,456,4744,950,525,394,453,356,813,410,973,387,582,314,712,362,268,272,51,83,0,305,367,423,0400000US04,37099,3025,3534,975,372,234,293,290,518,372,1262,696,322,358,218,246,341,391,208,268,0,305,0,305,17270,2284,1607,808,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
831,591,681,434,1119,513,733,590,782,409,147,138,299,325,0,273,99,174,5777,1209,642,436,811,486,933,408,956,469,897,499,925,572,434,317,169,172,0,273,10,24,2005,649,250,209,387,314,292,244,327,325,136,119,41,52,572,337,0,273,0,273,0,273,0400000US05,13926,1754,956,459,358,229,127,179,379,293,34,56,0,273,58,112,0,273,0,273,0,273,0,273,5188,1252,497,304,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
5671,1051,11196,1680,12542,1817,19907,2453,33562,3333,21165,2718,23358,2736,9024,1346,6355,1361,131956,6013,7870,1427,7620,1296,11825,2138,11353,1690,17886,2089,24287,2307,17481,1955,17672,1861,8281,1462,7681,1267,44041,3055,2996,828,6397,1264,8095,1361,5209,898,5211,864,6477,1244,4419,981,3090,820,968,420,1179,430,0400000US06,351034,9243,22921,2554,5078,1085,2049,774,4093,1196,3458,1102,3587,1101,2480,962,1111,609,598,482,211,182,256,341,152116,6227,9336,1601,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
640,403,2652,904,1660,692,3967,1050,3641,921,3370,1083,2677,878,502,393,428,348,13085,1714,1764,671,1126,576,2042,627,1361,601,1707,667,1620,556,1153,480,1322,565,644,336,346,282,4131,825,537,359,420,298,923,444,423,212,715,340,524,408,310,236,185,170,50,88,44,77,0400000US08,43020,3446,4405,1362,1574,844,265,284,846,462,766,478,532,378,415,409,0,279,7,18,0,279,0,279,21399,2283,1862,806,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
509,492,1705,837,1032,592,1320,573,1507,651,727,408,1037,542,267,351,232,203,6875,1327,672,363,275,218,610,365,630,410,569,268,905,410,1295,792,1334,483,399,353,186,171,1424,529,161,158,200,204,220,219,251,226,266,253,97,137,47,76,127,118,0,281,55,87,0400000US09,18896,2252,1693,874,161,233,0,281,103,164,199,327,1002,739,228,285,0,281,0,281,0,281,0,281,8904,1719,568,344,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
1855,787,4425,1413,4466,1192,6630,1416,7831,1530,4852,1158,3041,865,1070,512,141,169,38602,2924,2903,809,2701,810,4853,1208,4967,1270,6621,1272,5686,1097,4213,1017,4437,1142,861,438,1360,608,14118,1882,2231,781,1174,506,3584,969,2186,710,2059,595,1342,454,699,447,702,421,0,310,141,168,0400000US12,96237,5552,6104,1509,1329,665,250,305,1182,530,1173,624,1013,725,728,447,429,413,0,310,0,310,0,310,37413,3485,3102,973,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
