GEO_ID,B11002F_001E,B11002F_001M,B11002F_002E,B11002F_002M,B11002F_003E,B11002F_003M,B11002F_004E,B11002F_004M,B11002F_005E,B11002F_005M,B11002F_006E,B11002F_006M,B11002F_007E,B11002F_007M,B11002F_008E,B11002F_008M,B11002F_009E,B11002F_009M,B11002F_010E,B11002F_010M,B11002F_011E,B11002F_011M,B11002F_012E,B11002F_012M,NAME,B11002F_001EA,B11002F_001MA,B11002F_002EA,B11002F_002MA,B11002F_003EA,B11002F_003MA,B11002F_004MA,B11002F_004EA,B11002F_005MA,B11002F_005EA,B11002F_006MA,B11002F_006EA,B11002F_007EA,B11002F_007MA,B11002F_008EA,B11002F_008MA,B11002F_009EA,B11002F_009MA,B11002F_010MA,B11002F_010EA,B11002F_011MA,B11002F_011EA,B11002F_012EA,B11002F_012MA,state
0400000US01,48910,6440,43201,6653,23397,4421,23208,4417,189,294,11554,4539,10578,4285,976,787,8250,2796,7439,2512,811,575,5709,1985,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,395487,24208,365318,24089,224277,21641,221464,21321,2813,1385,47308,8924,39720,7659,7588,2507,93733,12137,86014,11170,7719,2107,30169,3812,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,58330,6905,53408,6455,32025,5453,31758,5406,267,301,9907,3714,8912,3360,995,627,11476,4224,10622,3812,854,669,4922,1689,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4838981,71302,4540428,70289,2832551,70532,2758772,67664,73779,8490,604393,25168,519741,22764,84652,6764,1103484,42242,1001066,39466,102418,7237,298553,14507,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,274030,15935,247439,16455,148947,13873,147734,13734,1213,843,32515,5960,27568,5204,4947,1478,65977,8802,61217,8081,4760,1571,26591,4442,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,176201,11217,156172,10216,68811,7955,66899,7788,1912,1193,21183,5588,17817,4820,3366,1441,66178,8568,61512,7798,4666,1512,20029,3651,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16655,3995,14971,3825,9154,3204,9154,3204,0,265,2175,1390,1760,1091,415,351,3642,2174,3420,2044,222,293,1684,1450,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,466782,24491,409831,22647,250435,19810,243362,18884,7073,3218,45437,10068,40626,8949,4811,1960,113959,11369,102377,11010,11582,2175,56951,8069,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,309327,17172,275124,16505,169328,13170,163237,12098,6091,2857,52222,9902,41591,7990,10631,2603,53574,8446,48164,7538,5410,1600,34203,7610,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,31136,5059,28739,4747,19487,3660,19349,3652,138,189,2818,1359,2556,1244,262,204,6434,2743,5648,2397,786,658,2397,1260,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,794293,29239,744929,29560,478316,27443,472968,26846,5348,2010,109581,12053,92359,10464,17222,3022,157032,16090,145984,15026,11048,2113,49364,5611,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,119277,11119,105470,11090,65319,8860,64522,8730,797,624,10946,4044,9225,3432,1721,1051,29205,7363,26723,6744,2482,1072,13807,3567,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,41422,5261,37422,5175,25136,5320,23940,5291,1196,1186,5336,2641,4544,2323,792,534,6950,2939,6465,2749,485,427,4000,1840,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,63096,7261,57428,7163,39236,7017,39135,7029,101,165,9016,3818,8350,3448,666,566,9176,2940,8874,2849,302,277,5668,1358,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,34530,5496,26865,5075,17742,3938,17421,3851,321,381,4544,1951,3535,1503,1009,652,4579,2252,4436,2203,143,215,7665,2445,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,56086,6702,47977,7136,35242,5958,34549,5839,693,765,5296,2802,4640,2514,656,489,7439,3396,7042,3319,397,306,8109,2214,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,173705,12320,161734,12349,98706,11284,91668,10676,7038,2453,39329,9205,29123,6492,10206,3577,23699,5844,20601,5063,3098,1700,11971,3033,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
