GEO_ID,C17010D_001E,C17010D_001M,C17010D_002E,C17010D_002M,C17010D_003E,C17010D_003M,C17010D_004E,C17010D_004M,C17010D_005E,C17010D_005M,C17010D_006E,C17010D_006M,C17010D_007E,C17010D_007M,C17010D_008E,C17010D_008M,C17010D_009E,C17010D_009M,C17010D_010E,C17010D_010M,C17010D_011E,C17010D_011M,C17010D_012E,C17010D_012M,C17010D_013E,C17010D_013M,C17010D_014E,C17010D_014M,C17010D_015E,C17010D_015M,C17010D_016E,C17010D_016M,C17010D_017E,C17010D_017M,NAME,C17010D_001EA,C17010D_001MA,C17010D_002MA,C17010D_002EA,C17010D_003MA,C17010D_003EA,C17010D_004EA,C17010D_004MA,C17010D_005EA,C17010D_005MA,C17010D_006EA,C17010D_006MA,C17010D_007MA,C17010D_007EA,C17010D_008MA,C17010D_008EA,C17010D_009MA,C17010D_009EA,C17010D_010EA,C17010D_010MA,C17010D_011EA,C17010D_011MA,C17010D_012EA,C17010D_012MA,C17010D_013MA,C17010D_013EA,C17010D_014EA,C17010D_014MA,C17010D_015MA,C17010D_015EA,C17010D_016EA,C17010D_016MA,C17010D_017MA,C17010D_017EA,state
0400000US01,12562,1426,1216,554,922,493,696,409,294,244,146,184,0,273,148,139,121,127,11346,1470,9007,1293,4898,1056,2339,855,877,659,720,659,1462,593,511,301,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7313,1161,1101,607,490,449,490,449,611,407,55,87,55,87,556,392,556,392,6212,1099,4458,985,1900,576,1754,527,705,301,592,269,1049,423,806,402,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,38131,2452,3202,1072,2045,758,1739,707,1157,668,384,347,248,292,773,550,627,492,34929,2523,29998,2238,16471,1890,4931,1424,2106,825,952,554,2825,1186,1811,767,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,6901,1037,404,289,58,78,29,57,346,287,36,74,0,273,310,277,189,218,6497,1006,5231,1131,2883,783,1266,540,406,274,213,195,860,464,474,321,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1141092,10162,96115,4886,57442,3781,33741,2921,38673,3150,9383,1596,4721,1161,29290,2699,20148,2283,1044977,10719,834912,9982,444780,7892,210065,6778,70466,4215,24822,2337,139599,5287,59778,4140,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30204,2002,2468,719,898,407,641,360,1570,571,312,304,312,304,1258,472,922,407,27736,2014,22228,1847,12968,1299,5508,1528,2571,1167,1351,1121,2937,857,1937,755,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,30918,1961,1858,676,1096,479,693,405,762,521,214,310,214,310,548,406,394,379,29060,2024,23922,1925,15676,1725,5138,1179,1748,654,1073,553,3390,980,2473,912,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,100423,3813,11106,1548,6169,1209,4543,1037,4937,1062,1020,572,562,441,3917,963,2637,871,89317,3628,73658,3570,40630,2663,15659,1921,6040,1336,2447,931,9619,1488,4962,1200,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,72420,2852,6975,1243,4801,1012,2779,741,2174,833,397,296,43,79,1777,791,1409,713,65445,3049,58316,2863,37944,2768,7129,1459,3641,1018,1143,538,3488,925,2033,731,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,128003,3773,5531,1242,2715,913,1330,627,2816,809,486,314,352,257,2330,752,1737,639,122472,3523,93562,3726,38107,2866,28910,2383,10051,1575,2408,714,18859,1668,7800,1472,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
