GEO_ID,B05003G_001E,B05003G_001M,B05003G_002E,B05003G_002M,B05003G_003E,B05003G_003M,B05003G_004E,B05003G_004M,B05003G_005E,B05003G_005M,B05003G_006E,B05003G_006M,B05003G_007E,B05003G_007M,B05003G_008E,B05003G_008M,B05003G_009E,B05003G_009M,B05003G_010E,B05003G_010M,B05003G_011E,B05003G_011M,B05003G_012E,B05003G_012M,B05003G_013E,B05003G_013M,B05003G_014E,B05003G_014M,B05003G_015E,B05003G_015M,B05003G_016E,B05003G_016M,B05003G_017E,B05003G_017M,B05003G_018E,B05003G_018M,B05003G_019E,B05003G_019M,B05003G_020E,B05003G_020M,B05003G_021E,B05003G_021M,B05003G_022E,B05003G_022M,B05003G_023E,B05003G_023M,NAME,B05003G_001MA,B05003G_001EA,B05003G_002MA,B05003G_002EA,B05003G_003MA,B05003G_003EA,B05003G_004MA,B05003G_004EA,B05003G_005MA,B05003G_005EA,B05003G_006MA,B05003G_006EA,B05003G_007MA,B05003G_007EA,B05003G_008MA,B05003G_008EA,B05003G_009MA,B05003G_009EA,B05003G_010EA,B05003G_010MA,B05003G_011MA,B05003G_011EA,B05003G_012EA,B05003G_012MA,B05003G_013EA,B05003G_013MA,B05003G_014EA,B05003G_014MA,B05003G_015EA,B05003G_015MA,B05003G_016MA,B05003G_016EA,B05003G_017EA,B05003G_017MA,B05003G_018EA,B05003G_018MA,B05003G_019MA,B05003G_019EA,B05003G_020MA,B05003G_020EA,B05003G_021EA,B05003G_021MA,B05003G_022EA,B05003G_022MA,B05003G_023EA,B05003G_023MA,state
0400000US01,65186,4432,33839,3107,16266,2703,16176,2688,90,150,90,150,0,273,17573,2233,16029,2099,1544,880,350,269,1194,828,31347,3120,15370,2360,15218,2343,152,232,152,232,0,273,15977,1966,14966,1866,1011,456,700,365,311,315,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,50037,4222,26924,2495,14259,2105,14259,2105,0,246,0,246,0,246,12665,1415,12020,1391,645,373,364,234,281,288,23113,2746,10151,1633,9960,1601,191,229,18,28,173,230,12962,1745,12325,1731,637,370,322,246,315,263,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,169557,10122,83500,6851,44770,4952,44282,4865,488,394,0,305,488,394,38730,3869,32468,3371,6262,1527,3233,1201,3029,970,86057,5390,42946,4102,42473,4069,473,313,52,85,421,290,43111,3115,36065,2778,7046,1556,4321,1231,2725,827,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,49157,4194,23719,2810,10800,1730,10705,1725,95,166,0,273,95,166,12919,1798,12587,1822,332,259,284,239,48,79,25438,2596,13051,1982,13006,1983,45,73,0,273,45,73,12387,1621,11701,1612,686,476,478,426,208,202,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1568280,32388,790889,18531,362465,12581,356257,12319,6208,1520,1241,635,4967,1300,428424,10473,326073,9180,102351,5705,54908,4032,47443,4294,777391,18919,331241,10748,323863,10695,7378,1521,1169,666,6209,1444,446150,13538,342486,11063,103664,5687,61934,4360,41730,3309,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,172237,8592,86747,5150,42774,3461,42345,3439,429,249,123,152,306,198,43973,3320,38942,3102,5031,1143,2653,791,2378,859,85490,5164,40454,3375,39672,3313,782,516,292,224,490,442,45036,3593,41337,3468,3699,1057,1712,694,1987,732,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,90987,6379,42823,4067,23436,2726,23040,2757,396,313,112,134,284,271,19387,2407,14971,2041,4416,1239,2270,851,2146,663,48164,4140,23113,2498,22321,2463,792,551,314,261,478,493,25051,2638,19911,2657,5140,1376,2725,1022,2415,808,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23096,3436,11564,1983,6521,1571,6521,1571,0,265,0,265,0,265,5043,964,4106,865,937,575,486,339,451,403,11532,2143,5568,1444,5443,1435,125,127,49,81,76,97,5964,1455,4887,1297,1077,488,345,267,732,493,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11790,2050,5718,1104,1468,585,1468,585,0,292,0,292,0,292,4250,917,3174,808,1076,423,564,349,512,221,6072,1403,1762,766,1762,766,0,292,0,292,0,292,4310,982,3377,860,933,469,416,366,517,289,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,406999,16059,201204,9495,94260,7081,91789,7090,2471,1011,681,520,1790,785,106944,5957,72836,4896,34108,3374,18992,2399,15116,2112,205795,10163,82801,6070,80281,6005,2520,825,727,492,1793,663,122994,6660,79887,4893,43107,3980,24460,2720,18647,2730,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
