GEO_ID,B10051I_001E,B10051I_001M,B10051I_002E,B10051I_002M,B10051I_003E,B10051I_003M,B10051I_004E,B10051I_004M,B10051I_005E,B10051I_005M,B10051I_006E,B10051I_006M,B10051I_007E,B10051I_007M,NAME,B10051I_001EA,B10051I_001MA,B10051I_002EA,B10051I_002MA,B10051I_003MA,B10051I_003EA,B10051I_004MA,B10051I_004EA,B10051I_005MA,B10051I_005EA,B10051I_006EA,B10051I_006MA,B10051I_007MA,B10051I_007EA,state
0400000US01,2610,1145,1562,878,966,786,596,398,1048,681,414,323,634,638,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,69430,5204,26668,3453,19431,2963,7237,1634,42762,3963,25455,2777,17307,2748,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3776,1059,1837,659,1128,549,709,371,1939,805,1370,702,569,324,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,579522,16176,142753,8767,103350,7428,39403,3561,436769,13866,243300,11065,193469,8864,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,32869,3762,13968,2715,9069,1948,4899,1681,18901,2561,10862,1999,8039,1854,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,15356,2512,5717,1451,4185,1301,1532,601,9639,2203,5234,1510,4405,1246,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,150401,8490,36954,4135,24227,3350,12727,2427,113447,7274,48224,5147,65223,5698,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,20767,3216,6949,1978,5472,1737,1477,798,13818,2776,8679,2386,5139,1339,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3274,883,999,511,572,454,427,388,2275,767,970,493,1305,592,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,5109,1217,1497,726,1410,713,87,106,3612,988,2206,925,1406,608,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,71038,5627,18162,2823,13919,2437,4243,1136,52876,5363,26643,3610,26233,3844,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6013,1178,2035,725,1750,640,285,237,3978,960,2399,851,1579,636,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3538,971,1674,735,1370,734,304,151,1864,633,1050,476,814,496,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,7815,1673,4392,1178,3452,1178,940,703,3423,964,2216,912,1207,524,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2483,1039,1183,580,952,517,231,240,1300,725,605,544,695,465,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,5157,1456,2491,1045,1991,899,500,374,2666,1171,1693,985,973,502,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,16831,2466,3302,1144,2833,1039,469,400,13529,2103,8119,1708,5410,1204,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,18589,2359,6418,1819,5241,1693,1177,501,12171,2012,7573,1698,4598,1220,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,11467,2063,4585,1341,3036,1208,1549,669,6882,1592,4005,1220,2877,823,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4700,1090,1496,672,1291,663,205,170,3204,867,2177,782,1027,452,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
