GEO_ID,B08105F_001E,B08105F_001M,B08105F_002E,B08105F_002M,B08105F_003E,B08105F_003M,B08105F_004E,B08105F_004M,B08105F_005E,B08105F_005M,B08105F_006E,B08105F_006M,B08105F_007E,B08105F_007M,NAME,B08105F_001EA,B08105F_001MA,B08105F_002EA,B08105F_002MA,B08105F_003EA,B08105F_003MA,B08105F_004MA,B08105F_004EA,B08105F_005MA,B08105F_005EA,B08105F_006EA,B08105F_006MA,B08105F_007MA,B08105F_007EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3658,1014,1956,614,1037,617,0,246,252,273,230,168,183,226,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,154253,11060,116623,9745,22783,3476,3221,1100,3751,1399,4323,1370,3552,1037,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26188,3309,16338,2377,8962,2222,119,194,223,288,424,293,122,163,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1999850,37197,1371586,28479,288343,11028,166295,9843,64234,5730,56155,4438,53237,5154,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,116462,7351,82269,6371,21358,3036,6378,1408,2792,1092,1104,530,2561,1108,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,79319,6292,46857,4634,15096,3409,8297,2202,5097,1258,3277,1741,695,425,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8090,1866,2011,828,428,322,4288,1390,971,770,206,239,186,165,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,223845,14989,150723,9683,41304,5379,14962,7990,5316,1899,7800,2458,3740,1141,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,136716,8410,76905,6213,32935,4258,3672,1450,3512,1638,16142,3716,3550,1190,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,7237,1685,4398,1053,734,376,268,261,591,704,701,755,545,446,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,14541,2277,11449,2060,2133,689,107,137,571,466,188,153,93,143,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
