GEO_ID,B13002B_001E,B13002B_001M,B13002B_002E,B13002B_002M,B13002B_003E,B13002B_003M,B13002B_004E,B13002B_004M,B13002B_005E,B13002B_005M,B13002B_006E,B13002B_006M,B13002B_007E,B13002B_007M,NAME,B13002B_001EA,B13002B_001MA,B13002B_002EA,B13002B_002MA,B13002B_003MA,B13002B_003EA,B13002B_004EA,B13002B_004MA,B13002B_005MA,B13002B_005EA,B13002B_006EA,B13002B_006MA,B13002B_007EA,B13002B_007MA,state
0400000US01,350114,2994,24444,2720,7262,1517,17182,2484,325670,3776,90576,4578,235094,5823,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6384,751,153,239,153,239,0,246,6231,752,1691,633,4540,800,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,69345,2120,4524,1141,1501,675,3023,1091,64821,2071,18120,1759,46701,2437,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,124039,2340,8649,1689,2165,964,6484,1431,115390,2794,33878,3018,81512,3327,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,597253,6786,25103,3017,9101,1713,16002,2510,572150,7233,148634,6215,423516,8286,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,50352,2581,3306,956,1206,519,2100,789,47046,2618,16659,1712,30387,2404,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,101971,2339,5745,1371,1969,703,3776,1143,96226,2652,25635,2517,70591,3155,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,53388,1100,2814,1088,870,560,1944,914,50574,1632,14703,1772,35871,2297,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,83671,1006,4911,1118,937,414,3974,1089,78760,1479,11556,1686,67204,2071,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,830583,7154,48073,4672,18485,2636,29588,3645,782510,8905,234515,7087,547995,9569,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,862345,5704,51640,4640,17176,2719,34464,3628,810705,7192,244403,6384,566302,7936,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,4932,728,123,160,123,160,0,275,4809,714,2260,735,2549,794,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,511516,4940,29256,2928,7283,1493,21973,2572,482260,4936,108796,5123,373464,6082,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,158974,3230,8421,1737,2619,979,5802,1310,150553,3871,34778,2960,115775,4067,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,25280,1898,2998,1018,1224,612,1774,823,22282,1941,4440,1147,17842,1996,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,42201,1789,2988,1040,930,693,2058,729,39213,1876,10166,1492,29047,2068,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,88268,2472,4668,1182,1588,575,3080,1073,83600,2311,21444,2421,62156,3041,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,391501,3142,27375,2755,7912,1569,19463,2347,364126,4141,97623,4810,266503,5452,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3389,685,382,306,248,267,134,173,3007,747,1202,375,1805,663,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,484098,3682,25792,2621,10871,1773,14921,1951,458306,4392,132970,5258,325336,6361,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,125030,3404,7568,1538,3464,1025,4104,1226,117462,3666,34223,3243,83239,3977,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
