GEO_ID,B17001D_001E,B17001D_001M,B17001D_002E,B17001D_002M,B17001D_003E,B17001D_003M,B17001D_004E,B17001D_004M,B17001D_005E,B17001D_005M,B17001D_006E,B17001D_006M,B17001D_007E,B17001D_007M,B17001D_008E,B17001D_008M,B17001D_009E,B17001D_009M,B17001D_010E,B17001D_010M,B17001D_011E,B17001D_011M,B17001D_012E,B17001D_012M,B17001D_013E,B17001D_013M,B17001D_014E,B17001D_014M,B17001D_015E,B17001D_015M,B17001D_016E,B17001D_016M,B17001D_017E,B17001D_017M,B17001D_018E,B17001D_018M,B17001D_019E,B17001D_019M,B17001D_020E,B17001D_020M,B17001D_021E,B17001D_021M,B17001D_022E,B17001D_022M,B17001D_023E,B17001D_023M,B17001D_024E,B17001D_024M,B17001D_025E,B17001D_025M,B17001D_026E,B17001D_026M,B17001D_027E,B17001D_027M,B17001D_028E,B17001D_028M,B17001D_029E,B17001D_029M,B17001D_030E,B17001D_030M,B17001D_031E,B17001D_031M,B17001D_032E,B17001D_032M,B17001D_033E,B17001D_033M,B17001D_034E,B17001D_034M,B17001D_035E,B17001D_035M,B17001D_036E,B17001D_036M,B17001D_037E,B17001D_037M,B17001D_038E,B17001D_038M,B17001D_039E,B17001D_039M,B17001D_040E,B17001D_040M,B17001D_041E,B17001D_041M,B17001D_042E,B17001D_042M,B17001D_043E,B17001D_043M,B17001D_044E,B17001D_044M,B17001D_045E,B17001D_045M,B17001D_046E,B17001D_046M,B17001D_047E,B17001D_047M,B17001D_048E,B17001D_048M,B17001D_049E,B17001D_049M,B17001D_050E,B17001D_050M,B17001D_051E,B17001D_051M,B17001D_052E,B17001D_052M,B17001D_053E,B17001D_053M,B17001D_054E,B17001D_054M,B17001D_055E,B17001D_055M,B17001D_056E,B17001D_056M,B17001D_057E,B17001D_057M,B17001D_058E,B17001D_058M,B17001D_059E,B17001D_059M,NAME,B17001D_001EA,B17001D_001MA,B17001D_002EA,B17001D_002MA,B17001D_003MA,B17001D_003EA,B17001D_004MA,B17001D_004EA,B17001D_005EA,B17001D_005MA,B17001D_006MA,B17001D_006EA,B17001D_007MA,B17001D_007EA,B17001D_008EA,B17001D_008MA,B17001D_009EA,B17001D_009MA,B17001D_010MA,B17001D_010EA,B17001D_011EA,B17001D_011MA,B17001D_012EA,B17001D_012MA,B17001D_013MA,B17001D_013EA,B17001D_014EA,B17001D_014MA,B17001D_015EA,B17001D_015MA,B17001D_016MA,B17001D_016EA,B17001D_017EA,B17001D_017MA,B17001D_018MA,B17001D_018EA,B17001D_019MA,B17001D_019EA,B17001D_020EA,B17001D_020MA,B17001D_021EA,B17001D_021MA,B17001D_022EA,B17001D_022MA,B17001D_023EA,B17001D_023MA,B17001D_024EA,B17001D_024MA,B17001D_025EA,B17001D_025MA,B17001D_026EA,B17001D_026MA,B17001D_027EA,B17001D_027MA,B17001D_028EA,B17001D_028MA,B17001D_029EA,B17001D_029MA,B17001D_030EA,B17001D_030MA,B17001D_031EA,B17001D_031MA,B17001D_032EA,B17001D_032MA,B17001D_033EA,B17001D_033MA,B17001D_034EA,B17001D_034MA,B17001D_035EA,B17001D_035MA,B17001D_036MA,B17001D_036EA,B17001D_037MA,B17001D_037EA,B17001D_038EA,B17001D_038MA,B17001D_039EA,B17001D_039MA,B17001D_040EA,B17001D_040MA,B17001D_041MA,B17001D_041EA,B17001D_042EA,B17001D_042MA,B17001D_043MA,B17001D_043EA,B17001D_044EA,B17001D_044MA,B17001D_045MA,B17001D_045EA,B17001D_046EA,B17001D_046MA,B17001D_047EA,B17001D_047MA,B17001D_048MA,B17001D_048EA,B17001D_049EA,B17001D_049MA,B17001D_050MA,B17001D_050EA,B17001D_051MA,B17001D_051EA,B17001D_052EA,B17001D_052MA,B17001D_053MA,B17001D_053EA,B17001D_054EA,B17001D_054MA,B17001D_055MA,B17001D_055EA,B17001D_056MA,B17001D_056EA,B17001D_057MA,B17001D_057EA,B17001D_058MA,B17001D_058EA,B17001D_059EA,B17001D_059MA,state
0400000US01,52045,2785,7516,2429,3377,1296,671,466,0,273,250,285,220,270,0,273,0,273,767,432,565,355,359,306,189,192,220,195,91,150,45,74,4139,1340,274,267,32,62,152,194,46,56,0,273,435,531,917,561,1189,557,413,262,189,228,305,293,131,215,56,90,44529,3218,21378,2142,2257,836,367,257,1765,856,887,649,82,137,689,421,1569,750,5225,993,3419,1053,2598,911,1489,413,846,376,185,172,23151,1782,1612,508,178,193,1758,507,540,417,132,186,648,443,1877,818,4953,1073,3462,845,3632,774,2410,542,1235,541,714,327,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38773,3271,4941,1906,2708,1087,697,458,239,237,158,149,200,167,49,88,0,246,340,318,0,246,192,186,367,209,466,386,0,246,0,246,2233,1004,363,300,42,65,280,237,146,128,49,83,137,150,203,208,433,383,250,232,182,160,82,115,66,112,0,246,33832,3725,15347,2171,806,572,57,99,1481,709,477,304,198,193,508,180,1321,667,2153,643,2748,602,2370,520,2238,586,706,421,284,226,18485,1835,982,401,128,136,1390,674,900,443,368,183,580,230,1515,577,1817,600,2848,582,2913,479,3168,545,984,232,892,282,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,170460,4870,20311,4491,9471,2642,469,327,340,360,739,597,514,424,94,114,40,66,2171,1270,1121,705,1089,524,1004,591,1052,800,749,438,89,114,10840,2669,529,444,267,314,1126,649,0,305,64,106,382,361,2019,901,2144,866,1796,880,701,412,631,375,972,580,209,205,150149,6211,70285,3651,4623,1021,1500,724,4684,1108,2842,1021,640,336,1841,536,6120,1154,13462,1481,12709,1036,10375,1038,6391,1026,3505,674,1593,324,79864,3607,3643,1040,729,400,5558,1226,2931,933,1014,616,1319,472,5117,948,14540,1384,15411,1140,12037,954,9870,914,4605,997,3090,574,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4833377,15813,561821,20361,253763,12232,12766,1929,3503,1065,20955,2729,12398,1814,5181,1001,11194,1848,53072,4770,29922,3272,27323,3093,27304,2882,22828,2412,14135,1790,13182,1955,308058,11876,13105,2118,3191,888,18017,2719,8999,1584,5097,1153,9981,1357,57663,4468,38368,3176,38952,4198,36944,2882,28919,2803,20689,2406,28133,2522,4271556,23791,2027377,13133,119217,3576,25829,2632,145413,4890,77587,4617,27582,2848,50596,2759,172572,5508,320971,4829,335867,4308,305213,3755,233352,3155,127794,1965,85384,2246,2244179,14206,117216,3439,23341,2493,146898,5336,70119,3774,25037,2371,47466,2700,160261,5193,357174,4676,382658,4899,355911,4060,284483,3076,154459,3060,119156,2491,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,131414,4194,13982,2852,6299,1754,440,374,0,279,458,386,252,191,119,121,220,172,1556,808,1123,648,588,418,464,307,449,327,386,257,244,242,7683,1623,399,293,0,279,546,444,116,118,63,106,84,94,1676,702,1149,550,1236,531,703,356,920,482,507,306,284,194,117432,4537,51963,2929,3244,833,1281,615,4095,888,1897,680,203,160,1703,1031,4042,1168,10009,1095,10276,1383,7257,1100,4803,738,1935,565,1218,524,65469,2668,3858,775,1002,453,5529,1079,2367,613,666,375,1372,532,5346,1109,9722,1188,13393,1192,9707,944,7041,827,2749,819,2717,713,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,129913,2842,11225,2750,5189,1372,586,404,90,103,447,380,37,62,46,70,0,281,729,482,995,609,580,416,867,418,290,212,442,360,80,135,6036,1736,0,281,60,101,178,171,46,75,0,281,90,107,898,471,1942,896,1070,712,558,360,422,244,430,333,342,320,118688,3597,57381,2192,4379,623,916,479,5295,926,2585,817,668,308,937,529,4112,713,11713,1062,11622,791,7573,462,4454,506,2240,648,887,459,61307,2338,5564,624,1103,418,5124,934,2803,741,628,448,1656,573,3462,714,12387,1231,12128,994,7946,748,5117,470,2353,651,1036,438,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27425,1360,2423,1020,1007,696,25,47,0,265,37,61,37,61,0,265,0,265,690,679,163,186,0,265,21,33,0,265,34,59,0,265,1416,647,0,265,0,265,0,265,0,265,0,265,0,265,880,496,119,136,56,74,257,395,34,54,35,66,35,60,25002,1665,12341,1166,1228,271,277,209,879,320,286,196,252,154,165,145,633,680,2441,502,2738,446,1374,384,1146,221,706,228,216,142,12661,996,935,208,250,196,929,295,292,203,157,154,314,231,475,419,2890,275,2209,250,1715,174,1278,237,723,290,494,323,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,447390,7805,59226,5580,26954,3474,1793,637,365,291,2646,1013,1291,636,94,147,414,292,6471,1815,4297,1154,3240,1057,2232,694,2475,811,920,437,716,374,32272,3164,1654,685,839,527,2264,730,1127,606,257,211,793,421,6591,1369,4885,1328,4438,1168,4196,1097,2349,640,2370,602,509,309,388164,7951,180213,5282,11818,1420,1510,561,14438,2022,5923,1186,2832,909,5538,1292,17652,2352,26246,1975,32645,2166,27547,1638,17832,1083,11920,1241,4312,960,207951,4996,10209,1299,2786,1009,13956,1701,6948,1191,1784,608,4666,1108,15115,1668,33298,2427,38367,2428,32836,1805,26858,1408,14475,1558,6653,1181,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
