GEO_ID,B15002F_001E,B15002F_001M,B15002F_002E,B15002F_002M,B15002F_003E,B15002F_003M,B15002F_004E,B15002F_004M,B15002F_005E,B15002F_005M,B15002F_006E,B15002F_006M,B15002F_007E,B15002F_007M,B15002F_008E,B15002F_008M,B15002F_009E,B15002F_009M,B15002F_010E,B15002F_010M,B15002F_011E,B15002F_011M,B15002F_012E,B15002F_012M,B15002F_013E,B15002F_013M,B15002F_014E,B15002F_014M,B15002F_015E,B15002F_015M,B15002F_016E,B15002F_016M,B15002F_017E,B15002F_017M,B15002F_018E,B15002F_018M,B15002F_019E,B15002F_019M,NAME,B15002F_001MA,B15002F_001EA,B15002F_002EA,B15002F_002MA,B15002F_003EA,B15002F_003MA,B15002F_004MA,B15002F_004EA,B15002F_005MA,B15002F_005EA,B15002F_006EA,B15002F_006MA,B15002F_007MA,B15002F_007EA,B15002F_008MA,B15002F_008EA,B15002F_009EA,B15002F_009MA,B15002F_010MA,B15002F_010EA,B15002F_011MA,B15002F_011EA,B15002F_012EA,B15002F_012MA,B15002F_013MA,B15002F_013EA,B15002F_014MA,B15002F_014EA,B15002F_015EA,B15002F_015MA,B15002F_016MA,B15002F_016EA,B15002F_017EA,B15002F_017MA,B15002F_018MA,B15002F_018EA,B15002F_019MA,B15002F_019EA,state
0400000US01,26693,3548,16348,2870,5863,1857,3636,1500,3513,1057,326,345,1273,757,210,202,1051,635,476,389,10345,1553,2890,966,1612,807,1704,639,37,76,1721,767,781,472,1407,611,193,173,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4350,1149,1762,694,240,191,549,453,235,183,50,54,240,200,62,101,169,213,217,275,2588,763,179,182,624,585,423,273,49,87,324,232,395,284,285,181,309,355,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,218406,11917,108307,6724,22444,2601,18088,2214,27640,3698,6040,1222,20752,3041,5057,1604,6687,1552,1599,643,110099,6508,20791,2634,18914,2292,26691,3142,4542,1202,23110,2768,6712,1591,6691,1694,2648,851,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30943,3169,15696,2041,5114,1239,4047,1154,2392,872,412,313,1513,714,349,308,1520,1085,349,351,15247,1733,5059,1446,3865,1032,1723,909,766,523,2076,683,586,502,1172,726,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2665685,39001,1348431,23541,381818,11444,247022,9284,316221,11589,35978,4041,213392,8303,53405,4528,71189,3981,29406,2951,1317254,19064,371683,11822,217296,9667,293039,11026,28083,2706,221043,8104,65375,4743,85468,5800,35267,3184,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,153408,8205,81449,4980,17939,2598,16187,2531,17854,2579,4415,1265,15588,2459,3530,1077,4448,1204,1488,548,71959,4451,15758,2289,13393,1931,16220,2391,3375,891,13096,1919,3046,997,4926,1115,2145,846,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,108376,6496,53805,4022,12777,2379,10158,1866,15481,2482,2986,979,6326,1766,1198,726,3529,1318,1350,710,54571,3569,9181,1582,10348,1502,15315,2125,2823,959,8115,1549,2331,781,4469,1106,1989,1065,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9428,2050,5101,1260,984,697,1332,729,1164,544,205,221,777,563,310,308,45,75,284,284,4327,1097,1501,728,788,465,760,468,0,265,544,485,207,247,382,366,145,186,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9197,1840,4904,1193,1301,869,580,447,1294,659,193,319,425,256,91,154,379,248,641,597,4293,1020,749,446,195,202,1007,583,0,292,630,449,345,354,565,655,802,468,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,289662,14961,152285,9663,35817,5373,22551,3259,37826,4419,6035,1297,20564,2953,9016,2036,11898,2146,8578,1891,137377,7622,26172,3368,13672,2316,29634,3783,5766,1547,24873,2998,12624,2270,15975,2489,8661,1787,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
