GEO_ID,C19037B_001E,C19037B_001M,C19037B_002E,C19037B_002M,C19037B_003E,C19037B_003M,C19037B_004E,C19037B_004M,C19037B_005E,C19037B_005M,C19037B_006E,C19037B_006M,C19037B_007E,C19037B_007M,C19037B_008E,C19037B_008M,C19037B_009E,C19037B_009M,C19037B_010E,C19037B_010M,C19037B_011E,C19037B_011M,C19037B_012E,C19037B_012M,C19037B_013E,C19037B_013M,C19037B_014E,C19037B_014M,C19037B_015E,C19037B_015M,C19037B_016E,C19037B_016M,C19037B_017E,C19037B_017M,C19037B_018E,C19037B_018M,C19037B_019E,C19037B_019M,C19037B_020E,C19037B_020M,C19037B_021E,C19037B_021M,C19037B_022E,C19037B_022M,C19037B_023E,C19037B_023M,C19037B_024E,C19037B_024M,C19037B_025E,C19037B_025M,C19037B_026E,C19037B_026M,C19037B_027E,C19037B_027M,C19037B_028E,C19037B_028M,C19037B_029E,C19037B_029M,C19037B_030E,C19037B_030M,C19037B_031E,C19037B_031M,C19037B_032E,C19037B_032M,C19037B_033E,C19037B_033M,C19037B_034E,C19037B_034M,C19037B_035E,C19037B_035M,C19037B_036E,C19037B_036M,C19037B_037E,C19037B_037M,C19037B_038E,C19037B_038M,C19037B_039E,C19037B_039M,C19037B_040E,C19037B_040M,C19037B_041E,C19037B_041M,C19037B_042E,C19037B_042M,C19037B_043E,C19037B_043M,C19037B_044E,C19037B_044M,C19037B_045E,C19037B_045M,NAME,C19037B_001MA,C19037B_001EA,C19037B_002EA,C19037B_002MA,C19037B_003MA,C19037B_003EA,C19037B_004MA,C19037B_004EA,C19037B_005EA,C19037B_005MA,C19037B_006EA,C19037B_006MA,C19037B_007EA,C19037B_007MA,C19037B_008EA,C19037B_008MA,C19037B_009EA,C19037B_009MA,C19037B_010MA,C19037B_010EA,C19037B_011EA,C19037B_011MA,C19037B_012MA,C19037B_012EA,C19037B_013EA,C19037B_013MA,C19037B_014EA,C19037B_014MA,C19037B_015MA,C19037B_015EA,C19037B_016MA,C19037B_016EA,C19037B_017EA,C19037B_017MA,C19037B_018EA,C19037B_018MA,C19037B_019EA,C19037B_019MA,C19037B_020MA,C19037B_020EA,C19037B_021EA,C19037B_021MA,C19037B_022EA,C19037B_022MA,C19037B_023EA,C19037B_023MA,C19037B_024EA,C19037B_024MA,C19037B_025EA,C19037B_025MA,C19037B_026MA,C19037B_026EA,C19037B_027EA,C19037B_027MA,C19037B_028EA,C19037B_028MA,C19037B_029EA,C19037B_029MA,C19037B_030EA,C19037B_030MA,C19037B_031EA,C19037B_031MA,C19037B_032MA,C19037B_032EA,C19037B_033EA,C19037B_033MA,C19037B_034EA,C19037B_034MA,C19037B_035EA,C19037B_035MA,C19037B_036MA,C19037B_036EA,C19037B_037EA,C19037B_037MA,C19037B_038MA,C19037B_038EA,C19037B_039EA,C19037B_039MA,C19037B_040EA,C19037B_040MA,C19037B_041MA,C19037B_041EA,C19037B_042EA,C19037B_042MA,C19037B_043MA,C19037B_043EA,C19037B_044EA,C19037B_044MA,C19037B_045MA,C19037B_045EA,state
0400000US01,450206,6620,25094,2788,11073,1989,3011,857,5496,1174,2478,1019,1986,821,836,553,198,255,0,273,0,273,16,27,166205,5035,28962,3293,14030,2176,30104,3096,21188,2531,26426,2614,24792,2863,11168,1938,7810,1421,1159,707,566,411,182076,4211,29430,2545,16656,1932,28023,2784,23974,2589,28102,2424,27036,2610,12706,1519,10982,1541,3826,1035,1341,548,76831,2659,15743,1984,13013,1635,15003,1894,10742,1302,10665,1254,6761,1232,2302,600,1719,540,285,214,598,393,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,92299,3213,6912,1351,1734,695,1185,670,2482,923,955,638,273,258,50,86,0,305,233,268,0,305,0,305,41188,2608,5573,1449,2785,894,3665,1074,6526,1458,5833,1195,7795,1626,4600,1237,2924,931,1063,624,424,270,33285,1842,3059,1042,2566,972,4679,1152,3636,885,4047,1079,7967,1372,2734,848,3381,931,686,332,530,449,10914,904,1361,500,1219,464,1760,620,1696,755,1807,640,1356,480,612,285,798,398,190,195,115,130,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,163728,3787,12360,2071,4641,1329,1847,804,3661,1080,814,525,984,597,304,312,109,147,0,273,0,273,0,273,62659,2854,11219,1813,5397,1381,12563,1938,9538,1773,8424,1571,9541,1623,3633,1003,1764,642,404,390,176,188,63141,2949,9351,1708,6171,1138,10750,1642,9349,1448,9793,1404,7568,1333,5293,1122,3747,978,517,397,602,612,25568,1433,5140,992,4155,1029,5808,909,3281,810,3133,766,2102,823,1119,484,698,326,132,211,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,818644,8988,39076,3421,12166,2287,4282,1310,7854,1687,5670,1388,2951,1031,2434,945,2129,886,1297,747,0,294,293,329,290938,6844,33817,3111,19738,2481,34934,3671,32166,3277,45583,3608,52418,4037,30372,3320,27499,3062,9866,1980,4545,1025,342750,6152,30973,2830,28791,2960,34520,3418,26620,2982,46762,3649,61321,3350,43722,3292,41933,3069,16201,1960,11907,1886,145880,3461,14033,2034,21466,2208,23004,2145,17840,1863,18506,1952,21799,2237,12008,1568,10346,1588,3619,905,3259,846,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,73238,2714,4498,1238,1404,622,314,369,1109,549,389,354,765,546,264,349,86,135,0,279,0,279,167,173,29801,2213,4046,969,1204,577,5613,1224,2934,1118,4320,1384,6001,1433,2489,852,1870,670,707,497,617,585,29532,2042,3372,978,1744,784,4813,1218,1900,711,5369,1105,4590,1001,3179,732,2530,807,1169,439,866,608,9407,932,950,445,1590,677,766,355,1760,616,1183,431,1770,562,604,370,607,309,133,135,44,70,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,120392,3375,3813,960,812,486,430,336,1701,754,459,351,145,165,89,108,177,278,0,281,0,281,0,281,47946,2797,5305,1287,3384,1090,5965,1568,5791,1465,7238,1605,7244,1459,6180,1736,4927,1281,1024,499,888,609,49218,2281,6135,1261,3190,919,4824,1105,4505,1282,6629,1240,9085,1311,5409,1032,5471,1124,2841,896,1129,442,19415,1414,2044,685,3509,890,4383,1155,1768,651,3482,989,2258,844,725,361,976,396,124,149,146,173,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,64340,2369,3856,1061,1183,712,263,269,1176,730,58,72,887,801,118,100,171,211,0,265,0,265,0,265,25480,1908,2291,708,1881,777,3229,1092,4355,1176,3561,1312,5073,1117,2634,776,1657,728,593,443,206,176,24627,1704,1218,584,1776,785,3121,909,2517,855,3507,919,4249,1094,3901,992,2953,912,1145,476,240,198,10377,895,1445,525,1400,501,2468,716,1155,547,1312,409,1155,443,542,249,666,353,234,195,0,265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,121175,3683,4968,1182,1324,668,972,557,662,456,580,428,407,268,772,503,50,80,201,238,0,292,0,292,37348,2214,4776,1312,2853,897,2973,937,4848,1297,6148,1099,5045,1215,4592,1183,2816,834,1836,820,1461,671,48512,2352,7062,1261,3560,958,5815,1303,4556,1021,5939,1219,8845,1260,5253,1053,5304,1114,871,465,1307,574,30347,1252,5029,1159,3398,876,4889,999,2957,733,4331,831,4323,801,2477,599,1875,569,580,354,488,249,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,943114,10383,50916,3967,12876,2132,6445,1363,12475,1708,8458,1711,5974,1615,3428,1073,865,512,395,347,0,310,0,310,373676,7700,53431,4109,25045,3026,58566,4462,60278,4212,65190,4289,59166,4112,30891,3168,16067,2259,3058,944,1984,802,375396,7062,42720,3671,30399,3142,49665,3454,49134,3892,62003,4733,68308,4865,35398,3174,27581,2620,6222,1247,3966,1086,143126,4142,23992,2084,20638,2348,27248,2422,18025,2321,19092,2099,17243,1735,9454,1487,4989,1061,1514,641,931,425,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
