GEO_ID,B16003_001E,B16003_001M,B16003_002E,B16003_002M,B16003_003E,B16003_003M,B16003_004E,B16003_004M,B16003_005E,B16003_005M,B16003_006E,B16003_006M,B16003_007E,B16003_007M,B16003_008E,B16003_008M,B16003_009E,B16003_009M,B16003_010E,B16003_010M,B16003_011E,B16003_011M,B16003_012E,B16003_012M,NAME,B16003_001MA,B16003_001EA,B16003_002EA,B16003_002MA,B16003_003MA,B16003_003EA,B16003_004MA,B16003_004EA,B16003_005EA,B16003_005MA,B16003_006MA,B16003_006EA,B16003_007MA,B16003_007EA,B16003_008EA,B16003_008MA,B16003_009EA,B16003_009MA,B16003_010MA,B16003_010EA,B16003_011EA,B16003_011MA,B16003_012MA,B16003_012EA,state
0400000US01,70382,6158,13273,2738,470,450,10192,2351,75,144,2336,1231,200,331,57109,4523,46481,4123,1829,819,8697,1999,102,166,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16179,3219,3520,1187,741,567,281,357,152,262,1619,1000,727,275,12659,2464,2595,1252,771,537,6048,1866,3245,727,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,325284,17912,85260,6504,6482,2004,71725,6011,256,231,3710,1261,3087,1347,240024,13161,194024,11968,9047,2278,18055,3227,18898,2685,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,51678,7259,12109,2519,1068,654,9689,2202,252,295,997,724,103,171,39569,5528,30681,5055,1414,868,7083,2445,391,478,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3608408,60707,790392,20544,36074,3754,608272,18990,24910,3884,112061,6266,9075,2142,2818016,46264,1799249,40302,222683,13811,744620,17631,51464,6520,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,184971,11604,42731,4988,1649,731,35350,4466,1291,679,3229,1191,1212,960,142240,8558,103490,7801,11965,2359,17397,3208,9388,2823,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,177451,12244,30993,3917,2745,1015,17076,3014,7580,1937,3488,1129,104,172,146458,9798,78028,8635,47515,4453,17498,2616,3417,978,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23816,4829,5868,1653,260,259,5044,1424,183,319,381,278,0,265,17948,3651,13082,3028,2061,962,2662,1153,143,227,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11640,3164,2020,1120,109,184,1352,954,0,292,236,337,323,372,9620,2521,5341,2075,1169,806,1535,662,1575,751,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1225996,32739,192669,11387,11455,2367,145877,10009,24730,3150,9597,1903,1010,562,1033327,25021,816184,22604,149573,9360,54723,5375,12847,3065,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,324564,15903,74556,5568,4910,1135,53381,4826,3532,1128,11437,2132,1296,1014,250008,12494,174550,10015,21087,3137,48833,5324,5538,2328,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,61353,8816,9607,2861,2502,1479,273,326,390,522,6442,2504,0,275,51746,6566,1972,898,2017,877,47690,6393,67,106,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,30246,4438,9207,2091,895,958,6658,1597,1087,664,567,489,0,267,21039,2971,16106,2657,2638,1211,1532,766,763,564,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,663252,23241,140045,9014,6720,1567,108448,7600,14155,2909,8437,1763,2285,1235,523207,17376,317521,15333,126423,7918,66387,5743,12876,2932,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,117543,8422,31388,3683,1676,902,19945,3197,5628,1409,4041,1329,98,134,86155,5844,53843,4672,16504,2968,14220,2524,1588,779,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,54191,6178,11948,2539,747,500,8144,2116,1208,538,1086,556,763,581,42243,4488,25125,3525,5148,1653,9110,1592,2860,1146,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,70641,6992,16920,2763,958,530,13457,2624,736,541,1769,891,0,248,53721,5362,40585,4922,2397,938,9117,1857,1622,992,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,53121,5803,12260,2391,2335,1093,5993,1678,1601,926,2059,804,272,282,40861,4405,23980,3179,6270,2484,7835,2094,2776,1304,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,69695,6991,9597,1916,1386,792,5046,1423,563,399,2529,740,73,121,60098,6204,34719,4588,12225,2068,12253,2139,901,972,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,11867,2010,2224,782,567,408,189,321,52,88,183,207,1233,470,9643,1700,283,238,5791,1222,2260,977,1309,530,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,173664,13606,30613,3800,3232,1302,14426,2888,4466,1666,7202,1714,1287,807,143051,10780,70026,9096,27625,4097,36879,4230,8521,2423,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,330829,14878,56082,5253,4930,1634,28967,3920,12976,2693,8605,2060,604,381,274747,11496,106786,7498,98330,7489,60019,5630,9612,2951,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,155746,11570,36465,4612,4171,1311,13682,2340,5078,1404,4919,1525,8615,2316,119281,8361,38230,4335,29396,3311,26067,3309,25588,3951,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
