GEO_ID,C12002E_001E,C12002E_001M,C12002E_002E,C12002E_002M,C12002E_003E,C12002E_003M,C12002E_004E,C12002E_004M,C12002E_005E,C12002E_005M,C12002E_006E,C12002E_006M,NAME,C12002E_001MA,C12002E_001EA,C12002E_002EA,C12002E_002MA,C12002E_003EA,C12002E_003MA,C12002E_004MA,C12002E_004EA,C12002E_005EA,C12002E_005MA,C12002E_006EA,C12002E_006MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,9156,1287,3742,1093,3928,1435,0,305,547,264,939,622,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2704,285,1059,385,1485,432,0,273,0,273,160,132,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,113115,4251,45661,3437,51288,2799,2656,1018,4636,892,8874,1559,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4305,1065,2005,742,1596,596,252,277,0,279,452,279,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9357,1924,3182,1012,4336,1342,265,327,235,161,1339,680,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2154,643,555,409,1148,451,0,300,64,108,387,235,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,101058,3736,40360,2695,46621,3430,1942,634,5442,1029,6693,1337,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3289,1032,2124,858,918,414,0,267,69,114,178,163,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
