GEO_ID,C19101D_001E,C19101D_001M,C19101D_002E,C19101D_002M,C19101D_003E,C19101D_003M,C19101D_004E,C19101D_004M,C19101D_005E,C19101D_005M,C19101D_006E,C19101D_006M,C19101D_007E,C19101D_007M,C19101D_008E,C19101D_008M,C19101D_009E,C19101D_009M,C19101D_010E,C19101D_010M,C19101D_011E,C19101D_011M,NAME,C19101D_001MA,C19101D_001EA,C19101D_002MA,C19101D_002EA,C19101D_003EA,C19101D_003MA,C19101D_004EA,C19101D_004MA,C19101D_005EA,C19101D_005MA,C19101D_006EA,C19101D_006MA,C19101D_007MA,C19101D_007EA,C19101D_008EA,C19101D_008MA,C19101D_009EA,C19101D_009MA,C19101D_010EA,C19101D_010MA,C19101D_011MA,C19101D_011EA,state
0400000US01,12562,1426,679,383,295,244,1147,534,2064,864,1754,569,2149,725,1905,754,820,340,805,460,944,486,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7313,1161,163,159,498,452,760,363,830,426,877,449,1587,575,1124,518,994,427,329,271,151,151,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,38131,2452,1836,857,879,585,2274,727,3168,972,3399,828,7486,1621,6256,1270,7630,1349,2151,641,3052,743,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,6901,1037,173,202,110,113,325,230,1216,724,957,553,1576,609,975,459,653,418,282,254,634,306,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1141092,10162,42910,3217,28488,2799,84139,4563,72989,4398,116861,5415,184140,6084,157802,6212,223776,6414,121165,4582,108822,3815,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30204,2002,1007,419,530,288,2569,757,2833,1063,4153,992,5461,1124,3766,991,5488,1210,2202,752,2195,850,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,30918,1961,494,345,888,539,1648,725,1417,594,3481,971,6020,1261,4194,1186,5955,1321,2934,713,3887,857,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7088,645,96,93,81,122,252,264,39,68,222,196,1326,587,1584,546,1781,489,796,430,911,359,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,2635,614,0,292,0,292,206,167,57,96,128,146,585,359,341,244,358,281,368,254,592,295,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,100423,3813,4939,1080,2487,936,9529,1788,8994,1521,13258,1983,20284,2204,14296,1766,14300,1870,6017,1443,6319,1117,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
