GEO_ID,B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,NAME,B19101F_001MA,B19101F_001EA,B19101F_002EA,B19101F_002MA,B19101F_003MA,B19101F_003EA,B19101F_004MA,B19101F_004EA,B19101F_005EA,B19101F_005MA,B19101F_006MA,B19101F_006EA,B19101F_007EA,B19101F_007MA,B19101F_008EA,B19101F_008MA,B19101F_009EA,B19101F_009MA,B19101F_010EA,B19101F_010MA,B19101F_011EA,B19101F_011MA,B19101F_012EA,B19101F_012MA,B19101F_013EA,B19101F_013MA,B19101F_014MA,B19101F_014EA,B19101F_015EA,B19101F_015MA,B19101F_016MA,B19101F_016EA,B19101F_017MA,B19101F_017EA,state
0400000US01,8627,1393,723,502,271,241,729,506,1406,732,616,450,783,506,325,320,846,548,435,409,537,295,625,334,933,406,338,341,0,273,60,106,0,273,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,85382,5082,7880,1717,6571,1351,5570,1199,7339,1431,6225,1597,6912,1666,6507,1430,5460,1586,3261,983,7386,1593,7413,1592,9160,1740,2850,930,1981,832,591,432,276,229,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12773,1727,902,571,893,500,1693,713,1164,664,1851,854,667,359,1279,614,861,622,1018,632,744,488,681,530,611,451,255,209,154,239,0,273,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,983002,15215,73707,4997,61462,4490,65501,3652,74022,4603,64806,4883,64051,4838,60177,4168,59180,4201,52589,4610,88519,5800,101412,5898,102508,6177,56830,3571,26415,3014,22241,2804,9582,1815,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,61896,4498,6053,1308,5709,1160,3846,1072,4346,1088,5001,1530,5627,1524,4793,1209,4598,1284,2375,983,2961,1034,6855,1415,4495,1252,2928,850,1223,557,711,488,375,204,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42032,2696,6584,1351,1994,837,4326,1224,3246,1253,3109,1054,2904,1037,3029,1203,3155,914,1790,805,2966,1009,3242,1083,3316,1172,1112,558,389,273,507,328,363,379,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,94572,5346,9054,1681,6693,1517,7980,1503,8615,1542,8431,1854,7616,1715,6447,1588,4209,1005,4113,1106,8166,1677,9612,1790,6420,1384,3138,900,2238,885,823,476,1017,603,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,59117,4277,8787,1843,5594,1467,6725,1678,5225,1729,4358,1131,5695,1643,3388,1175,3763,1259,2413,886,3686,1079,3416,1056,3266,915,947,581,587,394,726,522,541,455,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7138,1421,730,513,711,537,687,490,590,365,358,299,999,449,493,323,423,318,220,174,417,257,1072,572,248,203,118,126,0,267,36,60,36,63,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
