GEO_ID,B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,NAME,B10051D_001MA,B10051D_001EA,B10051D_002EA,B10051D_002MA,B10051D_003EA,B10051D_003MA,B10051D_004EA,B10051D_004MA,B10051D_005EA,B10051D_005MA,B10051D_006MA,B10051D_006EA,B10051D_007EA,B10051D_007MA,state
0400000US01,1028,483,325,276,273,237,52,86,703,371,288,187,415,256,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3907,1161,997,585,450,347,547,442,2910,1074,365,293,2545,1043,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,192770,7774,29307,3152,11121,1947,18186,2668,163463,7581,33492,4171,129971,5944,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3714,1095,149,155,46,80,103,128,3565,1093,1197,692,2368,836,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,5215,1512,315,266,143,169,172,212,4900,1476,813,522,4087,1378,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19586,2474,3862,1266,1748,795,2114,785,15724,2415,4807,1137,10917,2103,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,11906,2247,1931,1269,1023,843,908,578,9975,1929,2894,1319,7081,1291,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,26851,3193,4328,1281,2488,835,1840,875,22523,2794,5212,1307,17311,2314,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,18834,2721,2016,724,1112,579,904,445,16818,2681,3338,1067,13480,2255,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
