GEO_ID,B21001D_001E,B21001D_001M,B21001D_002E,B21001D_002M,B21001D_003E,B21001D_003M,B21001D_004E,B21001D_004M,B21001D_005E,B21001D_005M,B21001D_006E,B21001D_006M,B21001D_007E,B21001D_007M,B21001D_008E,B21001D_008M,B21001D_009E,B21001D_009M,B21001D_010E,B21001D_010M,B21001D_011E,B21001D_011M,B21001D_012E,B21001D_012M,B21001D_013E,B21001D_013M,B21001D_014E,B21001D_014M,B21001D_015E,B21001D_015M,B21001D_016E,B21001D_016M,B21001D_017E,B21001D_017M,B21001D_018E,B21001D_018M,B21001D_019E,B21001D_019M,B21001D_020E,B21001D_020M,B21001D_021E,B21001D_021M,B21001D_022E,B21001D_022M,B21001D_023E,B21001D_023M,B21001D_024E,B21001D_024M,B21001D_025E,B21001D_025M,B21001D_026E,B21001D_026M,B21001D_027E,B21001D_027M,B21001D_028E,B21001D_028M,B21001D_029E,B21001D_029M,B21001D_030E,B21001D_030M,B21001D_031E,B21001D_031M,B21001D_032E,B21001D_032M,B21001D_033E,B21001D_033M,NAME,B21001D_001EA,B21001D_001MA,B21001D_002MA,B21001D_002EA,B21001D_003MA,B21001D_003EA,B21001D_004EA,B21001D_004MA,B21001D_005EA,B21001D_005MA,B21001D_006MA,B21001D_006EA,B21001D_007MA,B21001D_007EA,B21001D_008MA,B21001D_008EA,B21001D_009EA,B21001D_009MA,B21001D_010EA,B21001D_010MA,B21001D_011MA,B21001D_011EA,B21001D_012MA,B21001D_012EA,B21001D_013MA,B21001D_013EA,B21001D_014MA,B21001D_014EA,B21001D_015EA,B21001D_015MA,B21001D_016EA,B21001D_016MA,B21001D_017MA,B21001D_017EA,B21001D_018MA,B21001D_018EA,B21001D_019EA,B21001D_019MA,B21001D_020EA,B21001D_020MA,B21001D_021EA,B21001D_021MA,B21001D_022MA,B21001D_022EA,B21001D_023EA,B21001D_023MA,B21001D_024EA,B21001D_024MA,B21001D_025MA,B21001D_025EA,B21001D_026EA,B21001D_026MA,B21001D_027MA,B21001D_027EA,B21001D_028EA,B21001D_028MA,B21001D_029MA,B21001D_029EA,B21001D_030MA,B21001D_030EA,B21001D_031EA,B21001D_031MA,B21001D_032EA,B21001D_032MA,B21001D_033MA,B21001D_033EA,state
0400000US01,39511,1883,17760,1258,8319,1198,359,369,7960,1231,6565,1050,0,273,6565,1050,1709,460,111,102,1598,465,937,390,136,182,801,359,230,191,0,273,230,191,21751,1316,9201,1156,399,488,8802,987,7660,1062,0,273,7660,1062,2715,633,0,273,2715,633,1405,559,0,273,1405,559,770,349,0,273,770,349,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28437,2138,12980,1425,3794,794,73,122,3721,760,5492,580,201,188,5291,632,2704,503,290,262,2414,411,706,421,0,246,706,421,284,226,0,246,284,226,15457,1120,4025,791,108,135,3917,781,6193,648,56,93,6137,654,3274,556,0,246,3274,556,1050,268,0,246,1050,268,915,277,0,246,915,277,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,136869,3215,62896,2137,23744,1603,714,459,23030,1596,25773,1294,1566,672,24207,1489,7443,853,554,304,6889,824,4254,604,252,239,4002,665,1682,309,613,273,1069,409,73973,1986,24650,1286,183,232,24467,1275,29946,1292,613,497,29333,1387,10501,851,0,305,10501,851,5577,818,0,305,5577,818,3299,543,0,305,3299,543,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3883446,10466,1793958,5967,597256,4560,10321,1643,586935,4864,697063,4362,24409,2802,672654,4850,257042,2185,21272,2100,235770,2669,142366,1571,16829,1695,125537,2229,100231,1531,22244,1888,77987,2002,2089488,7158,632170,4697,1304,623,630866,4805,815423,4155,2729,802,812694,4194,313987,2271,930,559,313057,2339,175626,1828,440,344,175186,1856,152282,1554,356,271,151926,1538,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,102883,2840,45308,2029,17371,1685,696,450,16675,1715,18902,1450,717,503,18185,1439,5252,763,443,288,4809,755,2321,604,583,307,1738,568,1462,550,391,252,1071,526,57575,1815,18318,1224,0,279,18318,1224,25039,1041,458,383,24581,1058,7961,798,150,172,7811,823,3256,824,0,279,3256,824,3001,720,0,279,3001,720,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,100502,1674,48202,1121,19124,1057,152,180,18972,1068,20685,829,189,156,20496,841,4744,485,199,203,4545,485,2682,601,158,197,2524,564,967,465,0,281,967,465,52300,1122,20723,925,0,281,20723,925,21804,839,56,93,21748,841,5539,432,56,104,5483,448,2783,598,0,281,2783,598,1451,474,0,281,1451,474,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21386,958,10129,659,3894,500,0,265,3894,500,4133,370,91,173,4042,331,1146,221,59,76,1087,211,740,223,17,27,723,217,216,142,0,265,216,142,11257,566,4421,321,0,265,4421,321,4237,486,0,265,4237,486,1312,234,0,265,1312,234,758,287,0,265,758,287,529,326,0,265,529,326,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,354719,4608,160147,3252,56344,2501,1673,996,54671,2139,65553,2413,2832,1018,62721,2482,20346,1110,1207,572,19139,1243,12876,1150,1320,477,11556,1079,5028,1027,967,472,4061,852,194572,2918,61057,2653,333,288,60724,2646,80007,2375,419,344,79588,2413,29207,1479,0,310,29207,1479,16930,1573,32,61,16898,1567,7371,1124,30,51,7341,1128,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
