GEO_ID,B21001G_001E,B21001G_001M,B21001G_002E,B21001G_002M,B21001G_003E,B21001G_003M,B21001G_004E,B21001G_004M,B21001G_005E,B21001G_005M,B21001G_006E,B21001G_006M,B21001G_007E,B21001G_007M,B21001G_008E,B21001G_008M,B21001G_009E,B21001G_009M,B21001G_010E,B21001G_010M,B21001G_011E,B21001G_011M,B21001G_012E,B21001G_012M,B21001G_013E,B21001G_013M,B21001G_014E,B21001G_014M,B21001G_015E,B21001G_015M,B21001G_016E,B21001G_016M,B21001G_017E,B21001G_017M,B21001G_018E,B21001G_018M,B21001G_019E,B21001G_019M,B21001G_020E,B21001G_020M,B21001G_021E,B21001G_021M,B21001G_022E,B21001G_022M,B21001G_023E,B21001G_023M,B21001G_024E,B21001G_024M,B21001G_025E,B21001G_025M,B21001G_026E,B21001G_026M,B21001G_027E,B21001G_027M,B21001G_028E,B21001G_028M,B21001G_029E,B21001G_029M,B21001G_030E,B21001G_030M,B21001G_031E,B21001G_031M,B21001G_032E,B21001G_032M,B21001G_033E,B21001G_033M,NAME,B21001G_001EA,B21001G_001MA,B21001G_002MA,B21001G_002EA,B21001G_003MA,B21001G_003EA,B21001G_004EA,B21001G_004MA,B21001G_005EA,B21001G_005MA,B21001G_006EA,B21001G_006MA,B21001G_007MA,B21001G_007EA,B21001G_008MA,B21001G_008EA,B21001G_009EA,B21001G_009MA,B21001G_010EA,B21001G_010MA,B21001G_011EA,B21001G_011MA,B21001G_012EA,B21001G_012MA,B21001G_013MA,B21001G_013EA,B21001G_014MA,B21001G_014EA,B21001G_015MA,B21001G_015EA,B21001G_016EA,B21001G_016MA,B21001G_017EA,B21001G_017MA,B21001G_018MA,B21001G_018EA,B21001G_019MA,B21001G_019EA,B21001G_020MA,B21001G_020EA,B21001G_021EA,B21001G_021MA,B21001G_022EA,B21001G_022MA,B21001G_023MA,B21001G_023EA,B21001G_024MA,B21001G_024EA,B21001G_025EA,B21001G_025MA,B21001G_026EA,B21001G_026MA,B21001G_027EA,B21001G_027MA,B21001G_028MA,B21001G_028EA,B21001G_029MA,B21001G_029EA,B21001G_030EA,B21001G_030MA,B21001G_031EA,B21001G_031MA,B21001G_032EA,B21001G_032MA,B21001G_033EA,B21001G_033MA,state
0400000US01,33176,2884,17322,2225,6823,1446,833,492,5990,1326,6886,1338,1299,562,5587,1226,1573,572,490,267,1083,511,1309,566,613,368,696,441,731,362,423,240,308,251,15854,1951,6722,1269,75,99,6647,1275,4555,988,299,263,4256,994,2384,685,0,273,2384,685,1324,436,0,273,1324,436,869,415,0,273,869,415,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25149,2431,12209,1360,6631,1003,132,122,6499,994,3556,732,734,410,2822,619,1271,461,813,380,458,260,482,303,276,258,206,187,269,225,252,225,17,27,12940,1748,6523,1248,298,308,6225,1168,5109,1174,103,137,5006,1162,939,416,0,246,939,416,211,160,0,246,211,160,158,101,0,246,158,101,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,81485,5221,38490,3840,19301,2943,983,686,18318,2900,13555,2106,1998,1010,11557,2041,3370,775,1351,442,2019,653,1250,519,778,385,472,326,1014,462,698,387,316,226,42995,3128,21272,2112,449,354,20823,2164,12986,1864,259,215,12727,1886,4443,968,142,173,4301,951,2797,723,20,36,2777,728,1497,560,0,305,1497,560,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25248,2596,12861,1789,4437,1190,179,296,4258,1162,4378,1116,1121,593,3257,963,2663,907,1159,576,1504,659,1223,629,486,358,737,455,160,140,160,140,0,273,12387,1621,5123,1292,0,273,5123,1292,4306,1008,128,134,4178,1004,1490,495,0,273,1490,495,907,496,0,273,907,496,561,303,0,273,561,303,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,869510,19990,423782,10526,199611,7729,8775,1641,190836,7649,147580,4737,17226,2335,130354,5033,42970,2705,10792,1520,32178,2511,19753,2168,6753,1278,13000,1831,13868,1810,5968,1019,7900,1471,445728,13493,195556,8039,1864,836,193692,8019,158861,6265,2535,850,156326,6236,46531,3609,811,405,45720,3507,26641,2403,327,225,26314,2394,18139,2052,60,98,18079,2064,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,87557,5744,42852,3350,20171,2327,1100,542,19071,2304,15196,2046,2693,906,12503,1711,4847,971,1788,670,3059,869,1927,642,538,305,1389,557,711,248,678,243,33,62,44705,3591,20729,2175,225,184,20504,2214,16353,2283,630,369,15723,2257,4272,981,0,279,4272,981,2072,567,24,40,2048,567,1279,544,0,279,1279,544,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44193,3745,19181,2407,9127,1611,324,352,8803,1603,6745,1400,318,274,6427,1354,2120,605,642,339,1478,568,864,436,262,273,602,381,325,227,98,114,227,194,25012,2629,11637,1953,129,168,11508,1958,9452,1491,86,109,9366,1499,2427,725,0,281,2427,725,784,376,0,281,784,376,712,386,0,281,712,386,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10948,1817,4984,977,2358,749,244,272,2114,678,1693,565,102,143,1591,576,514,295,377,252,137,150,364,226,110,112,254,204,55,92,0,265,55,92,5964,1455,2509,946,318,422,2191,831,1801,643,340,270,1461,557,903,420,34,62,869,423,197,190,0,265,197,190,554,434,0,265,554,434,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,227025,10021,105066,5920,46499,3774,1317,768,45182,3695,36145,3402,5289,1433,30856,2924,12459,1720,4050,938,8409,1614,5048,1025,1719,598,3329,828,4915,1055,2626,761,2289,801,121959,6593,45740,3964,199,175,45541,3982,45678,3334,1265,642,44413,3262,16063,2176,66,86,15997,2174,9240,1637,80,133,9160,1619,5238,1136,71,114,5167,1113,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
