GEO_ID,B17020F_001E,B17020F_001M,B17020F_002E,B17020F_002M,B17020F_003E,B17020F_003M,B17020F_004E,B17020F_004M,B17020F_005E,B17020F_005M,B17020F_006E,B17020F_006M,B17020F_007E,B17020F_007M,B17020F_008E,B17020F_008M,B17020F_009E,B17020F_009M,B17020F_010E,B17020F_010M,B17020F_011E,B17020F_011M,B17020F_012E,B17020F_012M,B17020F_013E,B17020F_013M,B17020F_014E,B17020F_014M,B17020F_015E,B17020F_015M,B17020F_016E,B17020F_016M,B17020F_017E,B17020F_017M,NAME,B17020F_001MA,B17020F_001EA,B17020F_002EA,B17020F_002MA,B17020F_003MA,B17020F_003EA,B17020F_004EA,B17020F_004MA,B17020F_005MA,B17020F_005EA,B17020F_006EA,B17020F_006MA,B17020F_007EA,B17020F_007MA,B17020F_008EA,B17020F_008MA,B17020F_009EA,B17020F_009MA,B17020F_010MA,B17020F_010EA,B17020F_011EA,B17020F_011MA,B17020F_012EA,B17020F_012MA,B17020F_013EA,B17020F_013MA,B17020F_014MA,B17020F_014EA,B17020F_015EA,B17020F_015MA,B17020F_016EA,B17020F_016MA,B17020F_017MA,B17020F_017EA,state
0400000US01,50521,6457,11388,2889,2628,1056,274,293,1759,900,997,631,5721,1559,0,273,9,19,39133,6589,5619,1819,821,730,3460,1309,2072,1008,26259,4314,146,141,756,547,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,401931,22473,105420,13143,14577,2862,2735,1022,14712,3339,13805,2819,55825,6471,2805,1099,961,357,296511,20497,23523,3451,4472,1668,30317,3855,33729,4093,188697,12543,10665,2134,5108,1096,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,60434,6408,20348,5441,3035,1197,864,579,2651,1376,1940,905,11652,3004,0,273,206,382,40086,6228,3398,1163,1112,783,4226,1208,4679,1095,25523,4162,977,563,171,215,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4795639,67358,1214427,34062,154937,7865,30047,3164,171429,7657,168309,9404,651792,16560,22959,2868,14954,2229,3581212,70055,279701,11334,62436,4650,320977,12107,359855,11568,2398123,45190,98619,5920,61501,4130,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,277997,15835,76624,7682,11837,2319,2823,1102,10782,1953,8962,1813,40019,4188,1355,666,846,393,201373,14698,16678,2721,4205,1274,22559,3794,19514,3331,129634,8590,5840,1509,2943,798,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,181980,10640,52933,6748,5718,1470,1060,614,6124,1532,6729,1842,32048,4010,584,380,670,435,129047,10190,9941,1935,1924,846,11709,2132,10613,1994,90255,7223,3944,1185,661,534,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16290,3707,2472,1524,220,278,0,292,138,225,536,526,1422,840,107,131,49,77,13818,3321,1145,699,472,410,947,638,776,673,10112,2239,307,252,59,96,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,487468,25149,136316,12152,15319,3079,3507,1031,13774,2801,15782,2930,82448,9326,2332,1110,3154,1628,351152,21310,25898,4106,3860,1393,26588,3455,28442,3307,244313,15142,15828,2852,6223,1601,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,312807,16706,122316,14986,20442,3695,3988,1492,19937,3388,13189,3020,64016,8126,282,335,462,385,190491,13730,16058,2818,3843,1427,16386,2867,14528,2564,136255,9723,2747,974,674,464,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,13683,2606,3230,1442,395,425,0,275,523,513,173,200,1805,944,183,185,151,203,10453,2456,502,302,237,257,1067,818,476,343,7267,1773,705,394,199,169,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,33587,4693,10721,3251,1879,881,660,434,1259,568,1422,843,5417,1661,71,107,13,25,22866,3416,1810,662,538,302,2447,806,2247,787,15173,2327,505,297,146,142,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,797244,28383,179647,16038,24941,3853,5443,1478,28308,3878,24634,4000,92925,7821,2187,1098,1209,734,617597,25579,57021,4484,11629,1946,70591,5605,61249,4755,397072,15696,13829,1965,6206,1375,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,128155,9823,36022,6665,5692,1494,1246,646,5877,1604,4032,1447,18588,3320,304,255,283,242,92133,8457,8096,1592,1992,733,9885,1907,11218,2158,58332,5593,1641,663,969,558,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,44722,4805,14114,4381,3001,1333,136,108,1983,880,1712,1150,7182,2247,100,141,0,228,30608,3613,2486,803,490,495,2378,1028,3469,1034,21394,2556,339,241,52,93,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,69294,6791,19231,5914,3460,1719,214,173,3594,2125,1792,1001,9759,2702,356,317,56,67,50063,5598,4970,1323,1549,834,4871,1187,4005,1199,31933,3391,1435,632,1300,634,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,39258,5080,14144,3125,1832,806,575,454,1232,597,1728,883,8608,2027,90,137,79,129,25114,4011,3106,1110,422,267,2655,957,2113,873,16130,2773,242,257,446,536,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,57255,6201,11594,2533,2266,838,167,136,813,389,569,435,7659,1751,0,281,120,203,45661,5840,4376,1170,849,396,4127,1405,2979,1116,31160,3704,1295,603,875,448,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,171872,11412,23825,4592,2169,935,623,401,2966,1206,1575,830,16355,3242,137,165,0,289,148047,10265,13098,2489,2388,863,11906,1939,11361,1644,105367,7832,3337,905,590,330,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
