GEO_ID,B17010D_001E,B17010D_001M,B17010D_002E,B17010D_002M,B17010D_003E,B17010D_003M,B17010D_004E,B17010D_004M,B17010D_005E,B17010D_005M,B17010D_006E,B17010D_006M,B17010D_007E,B17010D_007M,B17010D_008E,B17010D_008M,B17010D_009E,B17010D_009M,B17010D_010E,B17010D_010M,B17010D_011E,B17010D_011M,B17010D_012E,B17010D_012M,B17010D_013E,B17010D_013M,B17010D_014E,B17010D_014M,B17010D_015E,B17010D_015M,B17010D_016E,B17010D_016M,B17010D_017E,B17010D_017M,B17010D_018E,B17010D_018M,B17010D_019E,B17010D_019M,B17010D_020E,B17010D_020M,B17010D_021E,B17010D_021M,B17010D_022E,B17010D_022M,B17010D_023E,B17010D_023M,B17010D_024E,B17010D_024M,B17010D_025E,B17010D_025M,B17010D_026E,B17010D_026M,B17010D_027E,B17010D_027M,B17010D_028E,B17010D_028M,B17010D_029E,B17010D_029M,B17010D_030E,B17010D_030M,B17010D_031E,B17010D_031M,B17010D_032E,B17010D_032M,B17010D_033E,B17010D_033M,B17010D_034E,B17010D_034M,B17010D_035E,B17010D_035M,B17010D_036E,B17010D_036M,B17010D_037E,B17010D_037M,B17010D_038E,B17010D_038M,B17010D_039E,B17010D_039M,B17010D_040E,B17010D_040M,B17010D_041E,B17010D_041M,NAME,B17010D_001MA,B17010D_001EA,B17010D_002EA,B17010D_002MA,B17010D_003MA,B17010D_003EA,B17010D_004EA,B17010D_004MA,B17010D_005EA,B17010D_005MA,B17010D_006EA,B17010D_006MA,B17010D_007EA,B17010D_007MA,B17010D_008EA,B17010D_008MA,B17010D_009EA,B17010D_009MA,B17010D_010EA,B17010D_010MA,B17010D_011MA,B17010D_011EA,B17010D_012MA,B17010D_012EA,B17010D_013MA,B17010D_013EA,B17010D_014MA,B17010D_014EA,B17010D_015MA,B17010D_015EA,B17010D_016MA,B17010D_016EA,B17010D_017MA,B17010D_017EA,B17010D_018EA,B17010D_018MA,B17010D_019MA,B17010D_019EA,B17010D_020EA,B17010D_020MA,B17010D_021MA,B17010D_021EA,B17010D_022EA,B17010D_022MA,B17010D_023MA,B17010D_023EA,B17010D_024EA,B17010D_024MA,B17010D_025MA,B17010D_025EA,B17010D_026EA,B17010D_026MA,B17010D_027MA,B17010D_027EA,B17010D_028EA,B17010D_028MA,B17010D_029MA,B17010D_029EA,B17010D_030EA,B17010D_030MA,B17010D_031MA,B17010D_031EA,B17010D_032MA,B17010D_032EA,B17010D_033MA,B17010D_033EA,B17010D_034MA,B17010D_034EA,B17010D_035MA,B17010D_035EA,B17010D_036MA,B17010D_036EA,B17010D_037MA,B17010D_037EA,B17010D_038MA,B17010D_038EA,B17010D_039MA,B17010D_039EA,B17010D_040MA,B17010D_040EA,B17010D_041EA,B17010D_041MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,38131,2452,3202,1072,2045,758,1739,707,532,426,296,298,911,489,306,252,1157,668,384,347,248,292,57,94,0,305,191,278,136,182,773,550,627,492,119,144,0,305,508,455,146,234,34929,2523,29998,2238,16471,1890,4132,1455,1953,623,10386,1781,13527,1744,4931,1424,2106,825,952,554,79,130,453,423,420,362,1154,616,2825,1186,1811,767,0,305,0,305,1811,767,1014,743,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1141092,10162,96115,4886,57442,3781,33741,2921,4655,1233,7077,1392,22009,2242,23701,2550,38673,3150,9383,1596,4721,1161,1126,505,855,583,2740,836,4662,1177,29290,2699,20148,2283,2440,841,3185,889,14523,2143,9142,1472,1044977,10719,834912,9982,444780,7892,96700,4233,76523,4211,271557,6046,390132,8499,210065,6778,70466,4215,24822,2337,5009,1388,4023,945,15790,1705,45644,3760,139599,5287,59778,4140,10251,1840,6525,1335,43002,3521,79821,3772,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30204,2002,2468,719,898,407,641,360,168,199,105,124,368,307,257,239,1570,571,312,304,312,304,0,279,149,245,163,170,0,279,1258,472,922,407,154,179,174,185,594,329,336,204,27736,2014,22228,1847,12968,1299,2935,856,2696,841,7337,1121,9260,1240,5508,1528,2571,1167,1351,1121,94,151,258,331,999,1007,1220,502,2937,857,1937,755,698,445,0,279,1239,571,1000,490,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,30918,1961,1858,676,1096,479,693,405,153,190,210,180,330,263,403,295,762,521,214,310,214,310,214,310,0,281,0,281,0,281,548,406,394,379,0,281,0,281,394,379,154,145,29060,2024,23922,1925,15676,1725,3942,942,2812,845,8922,1330,8246,1206,5138,1179,1748,654,1073,553,122,201,358,267,593,457,675,343,3390,980,2473,912,855,609,450,537,1168,493,917,503,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,100423,3813,11106,1548,6169,1209,4543,1037,780,479,724,426,3039,918,1626,650,4937,1062,1020,572,562,441,203,322,153,154,206,210,458,378,3917,963,2637,871,807,497,299,285,1531,645,1280,609,89317,3628,73658,3570,40630,2663,8209,1380,8149,1595,24272,2064,33028,2531,15659,1921,6040,1336,2447,931,337,293,429,421,1681,808,3593,921,9619,1488,4962,1200,719,398,889,570,3354,1156,4657,1039,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
