GEO_ID,B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,NAME,B25032F_001MA,B25032F_001EA,B25032F_002EA,B25032F_002MA,B25032F_003MA,B25032F_003EA,B25032F_004EA,B25032F_004MA,B25032F_005MA,B25032F_005EA,B25032F_006MA,B25032F_006EA,B25032F_007EA,B25032F_007MA,B25032F_008MA,B25032F_008EA,B25032F_009EA,B25032F_009MA,B25032F_010MA,B25032F_010EA,B25032F_011MA,B25032F_011EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,107890,5669,68073,4947,3566,1061,2418,867,4394,1280,4188,1275,5175,1567,3592,1138,4812,1124,11273,1651,399,410,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14838,1766,7918,1509,248,227,468,465,696,548,709,550,1345,635,0,273,282,312,3172,936,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1168222,16233,593351,13068,84871,4444,39227,3530,91224,5113,89335,5533,78863,4844,81724,5070,66916,4476,41876,3755,835,477,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,78968,4655,39670,3468,4337,1198,3144,998,4089,1107,5291,1375,7268,1700,5173,1111,3166,950,6830,1663,0,279,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56052,3611,10841,1591,1852,569,10427,1911,15654,2512,6111,1471,3952,1280,4311,1226,2741,846,163,185,0,281,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,126755,6622,61925,4393,9357,1602,3455,1044,6716,1533,6847,1527,8416,1716,10560,2030,8085,1566,11394,2124,0,310,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,74993,5160,31072,3121,1815,846,2558,851,5406,1370,8588,1968,8801,1778,4262,1290,800,452,11644,2201,47,82,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,196529,6462,85711,5361,6227,1289,32918,3421,34757,3302,15776,2516,8623,1926,5662,1368,3542,1094,3313,1192,0,267,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,34693,2798,20068,2227,942,444,2333,888,2015,674,2202,956,2674,1117,1872,929,640,531,1891,723,56,94,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,10623,1587,5756,1177,84,104,434,414,1084,673,973,475,229,231,594,516,70,88,1399,643,0,228,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,18528,1833,11521,1720,1214,697,1423,758,429,328,629,511,664,323,92,165,603,394,1953,711,0,248,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,9755,1684,2940,956,327,297,393,303,613,416,1118,545,1474,722,1015,542,158,263,1717,981,0,271,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,16560,1966,7267,1432,704,472,1172,616,1841,819,1329,632,768,467,331,395,544,388,2562,826,42,73,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
