GEO_ID,B17010I_001E,B17010I_001M,B17010I_002E,B17010I_002M,B17010I_003E,B17010I_003M,B17010I_004E,B17010I_004M,B17010I_005E,B17010I_005M,B17010I_006E,B17010I_006M,B17010I_007E,B17010I_007M,B17010I_008E,B17010I_008M,B17010I_009E,B17010I_009M,B17010I_010E,B17010I_010M,B17010I_011E,B17010I_011M,B17010I_012E,B17010I_012M,B17010I_013E,B17010I_013M,B17010I_014E,B17010I_014M,B17010I_015E,B17010I_015M,B17010I_016E,B17010I_016M,B17010I_017E,B17010I_017M,B17010I_018E,B17010I_018M,B17010I_019E,B17010I_019M,B17010I_020E,B17010I_020M,B17010I_021E,B17010I_021M,B17010I_022E,B17010I_022M,B17010I_023E,B17010I_023M,B17010I_024E,B17010I_024M,B17010I_025E,B17010I_025M,B17010I_026E,B17010I_026M,B17010I_027E,B17010I_027M,B17010I_028E,B17010I_028M,B17010I_029E,B17010I_029M,B17010I_030E,B17010I_030M,B17010I_031E,B17010I_031M,B17010I_032E,B17010I_032M,B17010I_033E,B17010I_033M,B17010I_034E,B17010I_034M,B17010I_035E,B17010I_035M,B17010I_036E,B17010I_036M,B17010I_037E,B17010I_037M,B17010I_038E,B17010I_038M,B17010I_039E,B17010I_039M,B17010I_040E,B17010I_040M,B17010I_041E,B17010I_041M,NAME,B17010I_001MA,B17010I_001EA,B17010I_002EA,B17010I_002MA,B17010I_003MA,B17010I_003EA,B17010I_004EA,B17010I_004MA,B17010I_005MA,B17010I_005EA,B17010I_006EA,B17010I_006MA,B17010I_007EA,B17010I_007MA,B17010I_008EA,B17010I_008MA,B17010I_009EA,B17010I_009MA,B17010I_010EA,B17010I_010MA,B17010I_011MA,B17010I_011EA,B17010I_012MA,B17010I_012EA,B17010I_013MA,B17010I_013EA,B17010I_014MA,B17010I_014EA,B17010I_015EA,B17010I_015MA,B17010I_016MA,B17010I_016EA,B17010I_017EA,B17010I_017MA,B17010I_018MA,B17010I_018EA,B17010I_019EA,B17010I_019MA,B17010I_020MA,B17010I_020EA,B17010I_021EA,B17010I_021MA,B17010I_022MA,B17010I_022EA,B17010I_023EA,B17010I_023MA,B17010I_024EA,B17010I_024MA,B17010I_025EA,B17010I_025MA,B17010I_026MA,B17010I_026EA,B17010I_027EA,B17010I_027MA,B17010I_028MA,B17010I_028EA,B17010I_029EA,B17010I_029MA,B17010I_030EA,B17010I_030MA,B17010I_031MA,B17010I_031EA,B17010I_032EA,B17010I_032MA,B17010I_033MA,B17010I_033EA,B17010I_034MA,B17010I_034EA,B17010I_035MA,B17010I_035EA,B17010I_036MA,B17010I_036EA,B17010I_037EA,B17010I_037MA,B17010I_038MA,B17010I_038EA,B17010I_039MA,B17010I_039EA,B17010I_040MA,B17010I_040EA,B17010I_041MA,B17010I_041EA,state
0400000US01,29359,2421,8667,1570,4165,1126,3926,1096,1021,509,1059,493,1846,848,239,238,4502,1237,949,637,892,643,388,419,473,454,31,56,57,95,3553,1064,3411,1069,449,350,1930,838,1032,520,142,218,20692,2091,14268,1983,10585,1846,1994,968,3102,1096,5489,1277,3683,852,6424,1301,3850,975,1667,765,774,593,329,362,564,441,2183,807,2574,951,1820,832,554,343,199,194,1067,695,754,406,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,387510,7414,90358,4579,40653,3380,34022,2939,4423,1196,15529,2066,14070,2180,6631,1220,49705,3644,11114,1795,8931,1607,2323,906,2837,963,3771,1130,2183,826,38591,3459,35988,3454,4785,1493,15037,2132,16166,2460,2603,831,297152,7226,199068,7058,125506,6702,18912,2657,35525,3811,71069,4328,73562,4429,98084,5512,37196,3946,22372,3099,5438,1546,3771,1104,13163,2506,14824,2348,60888,3958,44143,3795,6061,1418,8979,1817,29103,3044,16745,1914,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36213,2135,9527,1709,4869,1412,4531,1376,663,742,2552,1152,1316,705,338,337,4658,1286,2296,1003,2238,1013,359,307,1318,717,561,454,58,87,2362,799,2323,801,132,143,819,502,1372,600,39,92,26686,2110,19562,2175,14317,1969,3044,1108,3685,1092,7588,1357,5245,1166,7124,1360,3951,1071,2511,848,369,339,781,490,1361,612,1440,628,3173,935,2118,774,275,277,358,297,1485,651,1055,613,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2780828,18665,567626,12510,254641,7919,223823,7549,26265,2785,95119,4881,102439,5781,30818,2848,312985,9854,70108,4867,59857,4651,13286,2088,23393,2953,23178,2615,10251,1704,242877,8487,221025,8262,35094,3599,83824,4819,102107,6048,21852,2483,2213202,20469,1516803,16359,1001322,15483,153485,6673,273175,8820,574662,11437,515481,10521,696399,14054,261602,8514,155746,6359,39426,3570,37904,3372,78416,4914,105856,5802,434797,11725,286290,9737,41072,3777,61642,4129,183576,8256,148507,6778,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,220714,5163,50622,3428,18992,2188,16154,2149,3736,1132,7777,1659,4641,1215,2838,846,31630,3153,6555,1474,5866,1340,1215,574,1953,989,2698,854,689,490,25075,2806,23370,2646,6257,1284,6378,1654,10735,1792,1705,694,170092,4836,114969,5056,70718,4277,11877,2115,21491,2730,37350,2882,44251,2870,55123,3657,18719,2591,11372,1852,2145,913,1483,838,7744,1559,7347,1816,36404,2806,26254,2457,3203,869,4601,1185,18450,1920,10150,1676,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,103604,3223,23229,2524,4988,1088,3957,1085,513,558,1572,645,1872,719,1031,548,18241,2285,2199,982,1605,796,461,439,290,333,854,553,594,500,16042,2159,14726,2031,2416,751,5188,1119,7122,1327,1316,612,80375,3341,47217,3210,31181,2527,5608,1173,8478,1426,17095,2192,16036,1982,33158,3362,8496,1524,4680,1284,1812,852,1323,720,1545,592,3816,1100,24662,3008,18969,2561,3407,1111,2317,881,13245,2116,5693,1333,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,13926,1331,2334,894,1000,566,936,605,0,265,782,596,154,130,64,114,1334,653,380,200,380,200,40,68,259,166,81,95,0,265,954,634,954,634,97,159,190,247,667,534,0,265,11592,1543,7911,1481,5628,1208,537,356,1564,746,3527,844,2283,749,3681,1062,1388,672,819,462,126,210,505,394,188,149,569,448,2293,773,1905,729,284,311,75,124,1546,653,388,319,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,927551,12109,170622,6667,79227,5423,54294,4392,9647,1985,17989,2555,26658,3177,24933,2986,91395,4463,18922,2651,13252,2474,4164,1430,3502,1221,5586,1417,5670,1387,72473,4584,60417,4414,9080,1984,13255,2069,38082,3227,12056,2068,756929,13018,526293,11377,274618,8758,49705,4210,54666,4543,170247,7239,251675,8673,230636,7155,68292,4331,35837,3218,9044,1823,6932,1584,19861,2430,32455,3194,162344,6055,94928,5754,13642,1905,9654,1981,71632,4698,67416,4328,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
