GEO_ID,C21001B_001E,C21001B_001M,C21001B_002E,C21001B_002M,C21001B_003E,C21001B_003M,C21001B_004E,C21001B_004M,C21001B_005E,C21001B_005M,C21001B_006E,C21001B_006M,C21001B_007E,C21001B_007M,C21001B_008E,C21001B_008M,C21001B_009E,C21001B_009M,C21001B_010E,C21001B_010M,C21001B_011E,C21001B_011M,C21001B_012E,C21001B_012M,C21001B_013E,C21001B_013M,C21001B_014E,C21001B_014M,C21001B_015E,C21001B_015M,NAME,C21001B_001MA,C21001B_001EA,C21001B_002EA,C21001B_002MA,C21001B_003EA,C21001B_003MA,C21001B_004MA,C21001B_004EA,C21001B_005MA,C21001B_005EA,C21001B_006MA,C21001B_006EA,C21001B_007MA,C21001B_007EA,C21001B_008MA,C21001B_008EA,C21001B_009MA,C21001B_009EA,C21001B_010MA,C21001B_010EA,C21001B_011MA,C21001B_011EA,C21001B_012MA,C21001B_012EA,C21001B_013EA,C21001B_013MA,C21001B_014EA,C21001B_014MA,C21001B_015EA,C21001B_015MA,state
0400000US01,857591,3150,387203,2077,345629,2404,55281,3567,290348,4208,41574,1369,14044,1469,27530,1790,470388,2284,401586,2176,8720,1608,392866,2688,68802,1063,103,110,68699,1052,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15728,1013,7954,755,7620,806,2631,856,4989,1079,334,275,326,275,8,14,7774,737,7086,798,811,608,6275,985,688,470,0,235,688,470,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,143998,2496,75221,1577,69065,1499,15395,1606,53670,2163,6156,440,4068,705,2088,565,68777,1640,61000,1667,1985,778,59015,1820,7777,434,0,291,7777,434,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,301206,2671,137491,1908,124437,1853,21827,2433,102610,2783,13054,762,3653,689,9401,797,163715,2083,140442,1908,3607,903,136835,2077,23273,1033,229,192,23044,1057,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1605812,8417,771312,5762,690234,5364,111814,5121,578420,6587,81078,1295,47128,2447,33950,2259,834500,4841,716197,4515,15040,2222,701157,5143,118303,1570,2554,665,115749,1686,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,125766,3006,65593,2141,61095,2091,16030,2036,45065,2635,4498,530,3617,639,881,579,60173,1913,53323,1890,1979,668,51344,1817,6850,333,0,271,6850,333,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,233318,3206,107411,2222,97063,2164,12025,1684,85038,2665,10348,397,4208,702,6140,730,125907,1834,109929,1768,2098,861,107831,2122,15978,529,0,269,15978,529,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,124495,1272,57693,742,52033,736,9229,1528,42804,1660,5660,88,2808,509,2852,504,66802,924,58827,869,976,477,57851,982,7975,251,98,121,7877,274,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,240796,1800,103253,798,86696,797,12496,1525,74200,1650,16557,173,8685,970,7872,953,137543,1442,107558,1324,986,544,106572,1464,29985,370,240,175,29745,392,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1919073,9132,902296,5679,814581,5394,107165,5335,707416,7558,87715,1744,25613,1930,62102,2300,1016777,5911,885980,5338,18118,2874,867862,5575,130797,1941,1111,446,129686,1970,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
