GEO_ID,B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,NAME,B19101F_001MA,B19101F_001EA,B19101F_002MA,B19101F_002EA,B19101F_003MA,B19101F_003EA,B19101F_004MA,B19101F_004EA,B19101F_005EA,B19101F_005MA,B19101F_006EA,B19101F_006MA,B19101F_007MA,B19101F_007EA,B19101F_008EA,B19101F_008MA,B19101F_009MA,B19101F_009EA,B19101F_010EA,B19101F_010MA,B19101F_011EA,B19101F_011MA,B19101F_012MA,B19101F_012EA,B19101F_013EA,B19101F_013MA,B19101F_014MA,B19101F_014EA,B19101F_015MA,B19101F_015EA,B19101F_016EA,B19101F_016MA,B19101F_017EA,B19101F_017MA,state
0400000US01,6478,1205,904,576,764,447,939,465,139,136,736,361,578,324,184,163,256,215,514,316,258,263,103,104,512,304,289,281,80,109,140,122,82,136,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,136845,5388,7902,1774,7995,1841,9700,1615,10978,1823,8824,1688,10491,1654,10346,1700,9517,1762,8103,1434,11342,1978,16001,2119,14015,1936,6776,1333,2411,789,1395,515,1049,424,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14253,1694,822,529,922,528,2270,924,1571,636,1786,687,1836,831,865,513,854,523,680,356,1106,533,875,399,438,377,88,133,111,134,0,257,29,50,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1306489,14997,74030,4070,74824,4534,86723,5644,96991,5638,90597,6094,90419,5153,80702,4449,80828,5218,72278,4477,118931,5886,142926,6614,139147,6271,78820,5261,36517,3012,27376,3076,15380,2052,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,79018,3686,6567,1355,6217,1349,4579,1541,5535,1305,5702,1583,5805,1417,4971,1156,6126,1243,4268,1042,6056,1176,7886,1593,8308,1617,3633,1076,1469,541,1315,589,581,321,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41946,2773,5429,1252,3289,1031,2921,972,4493,1194,2627,915,2529,999,1428,639,2419,954,1560,657,3286,1004,4294,1101,3750,1152,1632,555,1149,526,417,309,723,388,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3990,798,507,389,144,126,115,135,282,257,122,139,163,174,303,306,455,329,477,368,254,217,314,210,352,339,451,395,0,261,0,261,51,85,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5230,1111,145,144,442,340,232,267,601,514,143,236,432,326,455,348,125,145,495,489,410,400,542,407,316,273,0,292,436,445,314,264,142,213,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,170279,7394,9493,1570,9573,1651,12551,2027,10817,1808,14001,2042,11597,1862,12742,2223,10108,1931,10061,1635,16425,2190,20557,2710,17112,2194,6699,1394,3647,1228,2466,790,2430,955,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,67548,3990,5066,1446,5440,1683,4974,1454,7141,1554,4492,1105,5497,1482,5428,1227,5168,1295,2998,830,4769,1461,6419,1457,5043,1142,2386,842,1524,765,566,339,637,492,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8609,1344,218,155,695,301,227,208,462,355,819,393,544,380,771,359,687,399,494,291,1260,496,1054,516,994,539,358,243,0,253,0,253,26,47,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,234232,6590,15006,2412,12857,2182,15119,2608,17124,2422,15054,1986,16831,2246,15778,1863,17809,2320,14056,1996,25458,2637,24324,2780,24421,2480,11746,1717,4314,1051,3499,1031,836,538,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,32116,2527,3751,935,1564,640,1464,552,3135,936,2020,682,3045,918,1397,602,2018,731,1828,682,3440,1094,2506,721,3738,963,1299,513,561,327,240,235,110,142,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,10576,1410,333,291,742,476,399,245,1244,686,1085,555,1260,668,2195,871,450,279,285,327,1037,447,636,321,513,314,260,193,137,173,0,221,0,221,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,21818,1968,1497,630,1361,527,1616,681,2251,840,1768,696,2522,966,1129,494,1393,539,666,384,2162,786,2167,781,2116,700,610,312,156,151,354,323,50,87,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,6991,1306,707,473,332,284,667,625,922,538,656,415,588,559,878,597,542,531,280,214,222,168,174,177,715,498,96,118,141,133,71,119,0,267,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,9316,1320,650,359,568,338,1126,587,249,203,1068,535,652,463,423,257,601,342,251,268,935,571,1181,579,794,388,266,248,183,191,288,275,81,109,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
