GEO_ID,B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,NAME,B19101D_001EA,B19101D_001MA,B19101D_002MA,B19101D_002EA,B19101D_003EA,B19101D_003MA,B19101D_004MA,B19101D_004EA,B19101D_005MA,B19101D_005EA,B19101D_006EA,B19101D_006MA,B19101D_007EA,B19101D_007MA,B19101D_008MA,B19101D_008EA,B19101D_009MA,B19101D_009EA,B19101D_010MA,B19101D_010EA,B19101D_011EA,B19101D_011MA,B19101D_012EA,B19101D_012MA,B19101D_013MA,B19101D_013EA,B19101D_014MA,B19101D_014EA,B19101D_015MA,B19101D_015EA,B19101D_016EA,B19101D_016MA,B19101D_017EA,B19101D_017MA,state
0400000US01,10784,1119,881,491,426,307,208,203,777,488,351,179,325,216,449,336,1276,554,743,432,602,273,1414,632,1277,577,739,344,627,316,588,284,101,105,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6413,765,257,285,98,141,389,330,206,202,424,389,177,215,291,239,326,277,157,202,667,381,751,521,1096,504,647,367,522,322,305,203,100,111,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,32996,1836,1352,632,930,432,1197,487,1335,703,949,570,1551,664,1989,673,1700,683,1059,447,2788,700,3963,1029,4758,1121,3881,1034,1620,607,1997,623,1927,638,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,5956,975,63,122,293,297,380,289,172,161,169,256,197,190,230,183,582,373,208,202,409,272,1044,558,958,498,660,396,221,196,324,252,46,79,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1052382,10361,37488,3380,27979,2852,38199,2917,37172,3008,32289,2487,38096,3466,35045,2916,36842,3077,39034,2828,68705,3708,113378,5131,159827,5420,129390,6036,81963,4137,93341,4915,83634,4350,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30669,1921,2018,783,716,491,1053,523,1422,785,661,508,1498,523,1595,772,1790,654,1132,461,2295,792,3396,1013,4141,1047,3824,964,1565,549,2718,791,845,407,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,29787,1797,870,450,239,259,184,158,689,405,423,315,907,422,946,517,1128,583,930,465,1865,663,4140,1281,4913,1028,4042,1015,2423,760,2838,759,3250,913,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6655,605,303,238,55,90,235,204,173,166,64,88,225,221,133,166,463,348,229,183,542,282,916,453,1348,492,485,395,409,243,487,334,588,373,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,95541,2758,3683,1062,2125,726,3585,943,4128,1101,4633,1204,3982,1069,4578,997,5955,1276,3958,944,8921,1233,11741,1483,14114,1735,8299,1231,5151,1029,4930,1003,5758,1110,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
