GEO_ID,B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,NAME,B10051D_001EA,B10051D_001MA,B10051D_002EA,B10051D_002MA,B10051D_003EA,B10051D_003MA,B10051D_004MA,B10051D_004EA,B10051D_005MA,B10051D_005EA,B10051D_006EA,B10051D_006MA,B10051D_007EA,B10051D_007MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,1920,714,780,544,121,111,659,535,1140,498,179,231,961,500,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3735,906,558,417,75,127,483,404,3177,772,531,315,2646,611,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,171541,7547,27878,3513,11919,2093,15959,2515,143663,6744,34735,3178,108928,6087,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2957,1045,400,332,76,84,324,330,2557,1060,961,928,1596,715,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3556,1121,639,478,422,344,217,362,2917,996,733,498,2184,799,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11508,1890,2038,943,842,493,1196,799,9470,1613,2832,904,6638,1195,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8939,1840,1477,802,799,620,678,467,7462,1624,2604,1019,4858,1403,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,25629,3052,4333,1163,2182,705,2151,717,21296,2684,5534,1619,15762,2040,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,14523,2081,2966,1082,1898,801,1068,522,11557,1853,2227,978,9330,1523,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,817,469,553,428,349,293,204,208,264,205,0,267,264,205,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2356,811,484,381,274,198,210,333,1872,778,937,445,935,486,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,9898,1767,970,385,206,182,764,381,8928,1772,2020,948,6908,1366,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,7266,1700,1367,819,911,618,456,433,5899,1491,1903,873,3996,1098,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7123,1357,779,398,226,168,553,365,6344,1252,1345,588,4999,1087,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,7024,1782,966,516,693,468,273,234,6058,1659,3416,1439,2642,673,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1659,675,233,218,233,218,0,253,1426,645,229,220,1197,599,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,5454,1623,1054,424,410,276,644,336,4400,1589,1847,1007,2553,1003,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,27001,2598,1910,708,936,444,974,520,25091,2563,4921,1282,20170,2269,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,45082,4342,6445,1591,2721,823,3724,1158,38637,4137,10678,2055,27959,3154,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3960,1165,705,501,456,334,249,244,3255,1072,405,343,2850,1045,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2900,809,272,258,184,203,88,148,2628,770,665,364,1963,707,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3493,1214,304,234,194,197,110,127,3189,1185,817,597,2372,913,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,7217,1711,1482,753,857,491,625,436,5735,1573,1493,655,4242,1263,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
