GEO_ID,B19101B_001E,B19101B_001M,B19101B_002E,B19101B_002M,B19101B_003E,B19101B_003M,B19101B_004E,B19101B_004M,B19101B_005E,B19101B_005M,B19101B_006E,B19101B_006M,B19101B_007E,B19101B_007M,B19101B_008E,B19101B_008M,B19101B_009E,B19101B_009M,B19101B_010E,B19101B_010M,B19101B_011E,B19101B_011M,B19101B_012E,B19101B_012M,B19101B_013E,B19101B_013M,B19101B_014E,B19101B_014M,B19101B_015E,B19101B_015M,B19101B_016E,B19101B_016M,B19101B_017E,B19101B_017M,NAME,B19101B_001EA,B19101B_001MA,B19101B_002EA,B19101B_002MA,B19101B_003MA,B19101B_003EA,B19101B_004MA,B19101B_004EA,B19101B_005MA,B19101B_005EA,B19101B_006EA,B19101B_006MA,B19101B_007EA,B19101B_007MA,B19101B_008MA,B19101B_008EA,B19101B_009MA,B19101B_009EA,B19101B_010MA,B19101B_010EA,B19101B_011EA,B19101B_011MA,B19101B_012EA,B19101B_012MA,B19101B_013MA,B19101B_013EA,B19101B_014MA,B19101B_014EA,B19101B_015EA,B19101B_015MA,B19101B_016MA,B19101B_016EA,B19101B_017EA,B19101B_017MA,state
0400000US01,295964,6428,42485,3475,24372,2621,28717,2510,24339,2522,22823,2182,21504,2472,15012,1968,15311,1876,11632,1500,23182,2582,25992,2710,22622,2581,10154,1750,3675,1009,2562,708,1582,562,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,43981,2362,2959,863,1981,771,2417,861,2602,1116,2997,971,2623,1030,3277,982,2610,1043,2111,702,3687,1026,5637,1209,4798,1047,3292,1050,915,374,1283,513,792,482,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,110351,3388,19291,2182,9614,1569,10248,1662,7923,1498,8186,1512,7815,1303,6593,1318,5754,1665,4214,1181,9572,2006,8611,1534,8849,1558,1993,710,758,414,930,514,0,257,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,487115,7021,43839,3291,27446,2543,27378,2688,27039,2465,25315,2634,27931,3285,23729,2587,21262,2659,19409,2058,42337,3657,49242,4075,68677,4232,34776,3232,20241,2090,16923,1875,11571,1869,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41991,2472,4463,1208,2346,895,1856,806,2806,976,2936,1197,3342,1286,1925,771,2428,918,1830,785,3590,1224,4313,999,4080,1009,2862,986,1237,541,1220,554,757,514,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,77221,2919,6699,1169,2889,911,3448,976,5266,1646,4214,1172,5047,1333,4247,1071,3343,999,4015,1182,8668,1287,7624,1434,9784,1520,5243,957,3639,868,1921,742,1174,401,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40801,2067,2802,1004,1727,739,2160,734,3775,965,1495,601,1931,654,3353,1179,1972,864,2376,705,3919,1254,4518,1065,4956,1178,2795,782,1415,603,798,445,809,440,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,66868,2894,9330,1574,4462,1079,3687,1047,4065,1047,3318,881,4150,917,3751,1043,2978,758,2332,628,5658,1117,4978,1069,7102,1124,3727,929,2637,806,2843,1010,1850,673,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,630118,8122,58041,4664,43960,3634,45578,4387,49657,4619,47505,3764,47860,4296,36729,2844,32892,3770,29855,3128,58056,4218,62471,3688,62709,4359,27389,2479,12790,1856,9956,1571,4670,1096,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,631584,10545,67605,4648,45925,3586,46512,3980,43919,3760,44692,4147,37195,3072,36309,3366,34314,3383,32483,3513,51690,3655,63522,4569,67086,4724,29132,2675,14116,2060,10024,1892,7060,1341,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,6081,1240,178,307,305,265,112,170,55,89,402,323,578,563,258,265,684,647,555,582,229,271,579,506,821,554,829,525,435,360,61,100,0,267,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,413898,6570,54975,4110,27796,2997,33492,3062,27730,2719,22855,2705,23672,2549,20334,2646,18086,1958,18545,2069,33606,3485,43321,3756,42740,3617,22202,2086,10545,1581,8450,1513,5549,1300,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,131760,3579,19465,2701,9692,1616,11245,1905,9917,1729,8171,1736,9372,1855,6160,1242,7674,1528,5419,1097,9537,1547,12934,1914,13553,1649,4481,1099,1521,663,1872,741,747,487,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,16916,1450,2725,899,1060,627,1631,652,1532,763,1586,815,1652,907,1132,541,886,455,586,397,1004,721,811,444,1591,704,318,265,168,168,234,296,0,221,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,35209,2029,4877,1086,1983,847,2964,849,1167,499,3262,890,2152,687,1966,647,2992,916,1550,642,3475,899,2442,683,3467,859,1741,634,650,386,432,281,89,99,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,74145,3125,9329,1757,6666,1370,6564,1452,6373,1202,5563,1209,4743,1199,4746,1172,3732,901,4034,1028,5462,1222,5830,1151,5990,946,3297,927,956,582,631,397,229,203,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,300668,6020,47112,3748,31603,3031,27392,2660,26381,2517,18716,2473,21711,2518,15984,2124,14058,2354,13710,1790,21618,2259,23818,2392,19661,2124,9483,1460,4622,1306,3214,991,1585,756,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
