GEO_ID,C19037B_001E,C19037B_001M,C19037B_002E,C19037B_002M,C19037B_003E,C19037B_003M,C19037B_004E,C19037B_004M,C19037B_005E,C19037B_005M,C19037B_006E,C19037B_006M,C19037B_007E,C19037B_007M,C19037B_008E,C19037B_008M,C19037B_009E,C19037B_009M,C19037B_010E,C19037B_010M,C19037B_011E,C19037B_011M,C19037B_012E,C19037B_012M,C19037B_013E,C19037B_013M,C19037B_014E,C19037B_014M,C19037B_015E,C19037B_015M,C19037B_016E,C19037B_016M,C19037B_017E,C19037B_017M,C19037B_018E,C19037B_018M,C19037B_019E,C19037B_019M,C19037B_020E,C19037B_020M,C19037B_021E,C19037B_021M,C19037B_022E,C19037B_022M,C19037B_023E,C19037B_023M,C19037B_024E,C19037B_024M,C19037B_025E,C19037B_025M,C19037B_026E,C19037B_026M,C19037B_027E,C19037B_027M,C19037B_028E,C19037B_028M,C19037B_029E,C19037B_029M,C19037B_030E,C19037B_030M,C19037B_031E,C19037B_031M,C19037B_032E,C19037B_032M,C19037B_033E,C19037B_033M,C19037B_034E,C19037B_034M,C19037B_035E,C19037B_035M,C19037B_036E,C19037B_036M,C19037B_037E,C19037B_037M,C19037B_038E,C19037B_038M,C19037B_039E,C19037B_039M,C19037B_040E,C19037B_040M,C19037B_041E,C19037B_041M,C19037B_042E,C19037B_042M,C19037B_043E,C19037B_043M,C19037B_044E,C19037B_044M,C19037B_045E,C19037B_045M,NAME,C19037B_001EA,C19037B_001MA,C19037B_002EA,C19037B_002MA,C19037B_003EA,C19037B_003MA,C19037B_004EA,C19037B_004MA,C19037B_005EA,C19037B_005MA,C19037B_006MA,C19037B_006EA,C19037B_007MA,C19037B_007EA,C19037B_008MA,C19037B_008EA,C19037B_009MA,C19037B_009EA,C19037B_010MA,C19037B_010EA,C19037B_011EA,C19037B_011MA,C19037B_012MA,C19037B_012EA,C19037B_013MA,C19037B_013EA,C19037B_014MA,C19037B_014EA,C19037B_015MA,C19037B_015EA,C19037B_016EA,C19037B_016MA,C19037B_017MA,C19037B_017EA,C19037B_018MA,C19037B_018EA,C19037B_019MA,C19037B_019EA,C19037B_020MA,C19037B_020EA,C19037B_021MA,C19037B_021EA,C19037B_022EA,C19037B_022MA,C19037B_023MA,C19037B_023EA,C19037B_024MA,C19037B_024EA,C19037B_025MA,C19037B_025EA,C19037B_026MA,C19037B_026EA,C19037B_027EA,C19037B_027MA,C19037B_028MA,C19037B_028EA,C19037B_029MA,C19037B_029EA,C19037B_030MA,C19037B_030EA,C19037B_031MA,C19037B_031EA,C19037B_032MA,C19037B_032EA,C19037B_033EA,C19037B_033MA,C19037B_034MA,C19037B_034EA,C19037B_035MA,C19037B_035EA,C19037B_036MA,C19037B_036EA,C19037B_037MA,C19037B_037EA,C19037B_038EA,C19037B_038MA,C19037B_039MA,C19037B_039EA,C19037B_040MA,C19037B_040EA,C19037B_041MA,C19037B_041EA,C19037B_042MA,C19037B_042EA,C19037B_043EA,C19037B_043MA,C19037B_044EA,C19037B_044MA,C19037B_045MA,C19037B_045EA,state
0400000US01,448887,5986,27383,2849,10110,1821,4087,1164,6481,1603,3018,985,1905,820,1269,704,302,391,161,183,0,265,50,89,178697,4506,34127,3161,14551,2126,32536,3203,25294,2299,25024,2596,28203,3653,12690,1978,4827,1318,967,547,478,304,167070,4207,27665,2937,15322,2151,27794,2462,24473,2175,23561,2231,25407,2576,10539,1458,9859,1445,1605,451,845,350,75737,1987,21594,1872,12111,1799,16681,1935,8869,1284,8485,1308,4638,988,2249,626,692,335,85,100,333,302,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,68262,2992,5523,1176,1402,584,477,414,478,383,872,526,1187,743,710,419,146,204,251,231,0,291,0,291,31360,2435,2093,799,1107,650,3602,1241,4541,1298,5648,1237,8600,1492,2829,960,2361,965,316,248,263,299,23789,1819,2330,857,1415,505,2618,914,3510,1039,3304,933,4727,1146,2208,572,2248,693,985,419,444,327,7590,986,875,431,897,451,1620,625,609,281,1323,536,1128,424,755,353,137,141,86,102,160,159,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,168141,3490,16878,2048,8300,1768,1903,725,3886,1146,1055,672,1099,686,635,520,0,257,0,257,0,257,0,257,65628,2633,12220,1780,5712,1291,11629,1907,10495,1980,10005,1734,9938,1557,4551,1264,973,496,105,181,0,257,61164,2503,11005,1733,7442,1381,8029,1072,8123,1340,9956,1459,9895,1740,4293,929,1570,516,851,489,0,257,24471,1475,8792,1207,3538,677,4938,896,2334,597,2150,610,1286,442,599,296,803,444,31,60,0,257,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,787029,8861,37093,3654,6814,1376,3215,1130,8861,1709,7373,1870,4612,1352,3583,936,1750,969,708,602,177,288,0,289,323765,6415,37530,3166,19544,2460,38038,4376,39419,3844,49159,4191,63725,4500,35611,3721,27764,2922,8288,1764,4687,1087,300523,5155,31433,2512,22004,2487,28114,2944,28392,2530,39969,2994,54487,3796,43312,3600,34018,2533,11355,1704,7439,1540,125648,3259,19918,2240,19631,1853,19903,1832,15052,2033,16099,1620,16573,1710,8823,1366,6883,1167,1656,530,1110,460,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,70402,2919,5945,1236,1426,699,978,693,1292,717,1069,792,668,468,307,359,205,243,0,271,0,271,0,271,30550,2218,3824,1172,1721,754,3673,1048,5531,1292,5150,1225,5532,1219,2451,950,2087,802,516,358,65,114,26621,1372,3355,1009,1610,573,2978,936,3048,1047,5078,1305,3949,1093,2559,767,2625,746,727,434,692,505,7286,783,1411,558,1062,438,1513,616,1121,428,697,332,887,430,343,226,166,199,86,153,0,271,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,115178,2783,5238,1067,1159,527,534,420,821,448,1026,498,847,574,523,481,89,150,239,245,0,269,0,269,51659,2366,5336,1118,2374,776,5916,1420,6132,1294,8639,1694,10514,1781,5385,1250,5666,1471,1189,743,508,239,41879,1826,5331,1283,1939,739,3348,975,4558,951,5884,1097,9226,1418,5503,1311,4473,930,943,403,674,331,16402,1493,2900,1133,2074,639,2696,775,2132,726,2597,756,2226,638,655,338,836,365,152,150,134,153,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,60254,2390,3270,1055,575,533,506,465,516,391,935,567,311,305,272,362,155,210,0,261,0,261,0,261,26479,1783,1919,782,974,520,4366,1221,2610,1028,6133,1473,5052,1230,2894,978,1828,708,522,434,181,175,21818,1404,2314,712,933,413,1799,625,1630,532,3844,981,4663,1013,2671,821,2724,719,629,299,611,372,8687,680,1413,622,1414,517,1462,470,1015,412,1344,545,1039,453,406,281,526,352,0,261,68,114,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,128356,2912,4519,1091,1896,797,318,379,477,363,714,445,624,429,362,332,128,148,0,292,0,292,0,292,41626,2234,7109,1538,2457,788,4587,1395,5210,1312,6943,1379,6279,1261,3654,990,3002,905,1397,680,988,507,50247,2104,9210,1708,2922,747,5599,1334,5298,990,6724,1209,8163,1245,5206,1217,4584,1008,1125,480,1416,671,31964,1475,6582,1159,3491,838,5744,1092,3207,757,4544,778,3597,699,1965,601,1710,569,723,414,401,375,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,927344,10134,70871,5050,18304,2390,8317,1883,16968,2260,11420,2481,8257,1777,5624,1257,1357,740,339,288,126,204,159,299,395253,6604,39197,3669,25529,2805,64789,4002,66988,5206,64002,4552,74286,4899,35838,3310,18324,2577,4259,990,2041,967,326262,6746,35788,3439,24264,2147,41899,3565,45710,3434,53571,3973,61470,3670,32249,2965,21940,2238,5884,1287,3487,922,134958,3304,32411,2915,18510,2218,23808,2515,16583,1945,19720,2050,13435,1746,5568,1108,3566,778,930,458,427,210,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
