GEO_ID,B05003B_001E,B05003B_001M,B05003B_002E,B05003B_002M,B05003B_003E,B05003B_003M,B05003B_004E,B05003B_004M,B05003B_005E,B05003B_005M,B05003B_006E,B05003B_006M,B05003B_007E,B05003B_007M,B05003B_008E,B05003B_008M,B05003B_009E,B05003B_009M,B05003B_010E,B05003B_010M,B05003B_011E,B05003B_011M,B05003B_012E,B05003B_012M,B05003B_013E,B05003B_013M,B05003B_014E,B05003B_014M,B05003B_015E,B05003B_015M,B05003B_016E,B05003B_016M,B05003B_017E,B05003B_017M,B05003B_018E,B05003B_018M,B05003B_019E,B05003B_019M,B05003B_020E,B05003B_020M,B05003B_021E,B05003B_021M,B05003B_022E,B05003B_022M,B05003B_023E,B05003B_023M,NAME,B05003B_001EA,B05003B_001MA,B05003B_002EA,B05003B_002MA,B05003B_003MA,B05003B_003EA,B05003B_004MA,B05003B_004EA,B05003B_005MA,B05003B_005EA,B05003B_006EA,B05003B_006MA,B05003B_007EA,B05003B_007MA,B05003B_008MA,B05003B_008EA,B05003B_009MA,B05003B_009EA,B05003B_010MA,B05003B_010EA,B05003B_011MA,B05003B_011EA,B05003B_012EA,B05003B_012MA,B05003B_013EA,B05003B_013MA,B05003B_014MA,B05003B_014EA,B05003B_015MA,B05003B_015EA,B05003B_016MA,B05003B_016EA,B05003B_017EA,B05003B_017MA,B05003B_018EA,B05003B_018MA,B05003B_019MA,B05003B_019EA,B05003B_020MA,B05003B_020EA,B05003B_021MA,B05003B_021EA,B05003B_022MA,B05003B_022EA,B05003B_023EA,B05003B_023MA,state
0400000US01,1209321,4826,566563,3790,178192,2846,177248,2843,944,505,278,317,666,393,388371,1913,382805,2608,5566,1646,1968,786,3598,1423,642758,3787,171749,2803,171377,2798,372,297,144,184,228,238,471009,2318,467255,2575,3754,1228,1664,649,2090,788,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,207837,5456,109303,3007,32943,2584,30878,2365,2065,1660,119,138,1946,1663,76360,1543,68058,2323,8302,2194,2247,753,6055,2137,98534,3649,29289,2853,27179,2580,2110,1012,396,375,1714,946,69245,1628,61620,2179,7625,2038,2751,822,4874,1881,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,437680,4670,208321,3124,70562,2722,70467,2728,95,122,52,86,43,86,137759,1861,137056,1898,703,358,309,208,394,304,229359,3878,65499,2627,65454,2616,45,91,0,257,45,91,163860,2088,162650,2063,1210,593,386,263,824,532,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2260648,14374,1113564,8663,330619,5192,326249,5139,4370,1308,799,533,3571,1207,782945,5532,719498,7046,63447,5152,31203,3546,32244,3585,1147084,8743,309528,5943,304663,6087,4865,1413,850,432,4015,1332,837556,4968,778810,5570,58746,4267,31760,2585,26986,3165,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,177902,4693,93178,3177,25960,2401,24311,2374,1649,890,188,183,1461,868,67218,2081,58667,2504,8551,1817,2270,838,6281,1456,84724,2823,24097,1693,22431,1965,1666,913,145,172,1521,913,60627,1965,52241,2302,8386,2185,2625,905,5761,1855,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,332711,4745,159398,3032,51666,1913,48792,2365,2874,1082,830,547,2044,938,107732,2212,81697,3236,26035,2574,13449,2056,12586,2063,173313,2829,47406,1637,45141,1858,2265,923,514,363,1751,855,125907,1834,96850,2934,29057,2644,15725,2109,13332,2197,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,176845,1971,83314,1050,25336,905,24646,1401,690,943,0,261,690,943,57978,687,52168,1713,5810,1574,2814,1054,2996,1111,93531,1357,26321,942,25255,1173,1066,754,617,711,449,370,67210,825,61779,1911,5431,1763,2494,1482,2937,1108,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,322105,2958,143744,1540,40161,1184,39771,1176,390,407,0,292,390,407,103583,773,96296,1792,7287,1690,2149,894,5138,1286,178361,2175,40623,997,40540,996,83,135,0,292,83,135,137738,1434,127986,2178,9752,1879,4125,1140,5627,1480,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2778549,13414,1340405,7461,432493,4144,405857,4413,26636,2723,4101,1167,22535,2741,907912,5340,665302,8587,242610,8473,112333,6371,130277,6438,1438144,8936,419791,4955,397281,5247,22510,2933,5010,1456,17500,2835,1018353,5755,748518,8427,269835,8639,135751,6484,134084,7644,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
