GEO_ID,C19101D_001E,C19101D_001M,C19101D_002E,C19101D_002M,C19101D_003E,C19101D_003M,C19101D_004E,C19101D_004M,C19101D_005E,C19101D_005M,C19101D_006E,C19101D_006M,C19101D_007E,C19101D_007M,C19101D_008E,C19101D_008M,C19101D_009E,C19101D_009M,C19101D_010E,C19101D_010M,C19101D_011E,C19101D_011M,NAME,C19101D_001EA,C19101D_001MA,C19101D_002EA,C19101D_002MA,C19101D_003MA,C19101D_003EA,C19101D_004MA,C19101D_004EA,C19101D_005EA,C19101D_005MA,C19101D_006EA,C19101D_006MA,C19101D_007EA,C19101D_007MA,C19101D_008MA,C19101D_008EA,C19101D_009MA,C19101D_009EA,C19101D_010EA,C19101D_010MA,C19101D_011EA,C19101D_011MA,state
0400000US01,10784,1119,881,491,426,307,985,566,676,295,2468,727,2016,735,1277,577,1366,479,588,284,101,105,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6413,765,257,285,98,141,595,425,601,433,774,419,1418,616,1096,504,1169,510,305,203,100,111,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,32996,1836,1352,632,930,432,2532,830,2500,862,4748,1073,6751,1250,4758,1121,5501,1132,1997,623,1927,638,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,5956,975,63,122,293,297,552,331,366,325,1020,429,1453,595,958,498,881,428,324,252,46,79,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1052382,10361,37488,3380,27979,2852,75371,4404,70385,4231,110921,5242,182083,5895,159827,5420,211353,7018,93341,4915,83634,4350,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30669,1921,2018,783,716,491,2475,882,2159,710,4517,1126,5691,1167,4141,1047,5389,1049,2718,791,845,407,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,29787,1797,870,450,239,259,873,458,1330,586,3004,884,6005,1420,4913,1028,6465,1242,2838,759,3250,913,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6655,605,303,238,55,90,408,257,289,234,825,371,1458,510,1348,492,894,436,487,334,588,373,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,2917,740,320,300,79,130,436,354,76,128,437,423,508,549,355,267,377,331,0,292,329,275,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,95541,2758,3683,1062,2125,726,7713,1358,8615,1726,14491,1759,20662,1820,14114,1735,13450,1510,4930,1003,5758,1110,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,57634,2440,2353,910,1246,575,3084,1161,4708,1082,8052,1400,13071,1522,9229,1434,8582,1329,3927,972,3382,782,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,131933,3888,3269,953,2261,651,7483,1262,8929,1426,15977,1906,27965,2365,24089,2045,26480,2052,8988,1333,6492,1144,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,128178,3307,4364,1070,2254,787,7599,1432,8496,1457,13261,1723,26320,2394,20749,1840,26571,2238,10268,1501,8296,1232,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,17732,1629,960,506,260,224,1524,661,1840,709,2441,881,3356,958,1980,484,2068,604,1509,571,1794,650,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,10968,1069,382,292,258,220,689,346,1073,528,1454,634,2759,802,1767,644,1824,585,369,288,393,240,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,15032,1259,366,234,361,272,1792,748,1179,462,2427,699,3155,777,2288,613,2514,825,575,269,375,239,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,9334,1077,747,532,386,240,802,457,749,453,929,526,1802,544,1518,462,1483,570,433,263,485,314,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,12884,1176,1006,677,540,318,1248,536,479,359,2811,764,2485,765,1741,805,1353,479,497,438,724,360,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2363,587,250,171,327,299,514,473,299,226,220,177,351,228,110,113,145,125,147,155,0,223,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,69562,2321,1420,566,606,421,3405,926,4610,1151,5863,1086,11552,1495,9788,1523,18162,1911,8117,1209,6039,1057,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,77021,2822,4124,1181,3918,1115,4714,1215,4045,934,8596,1382,14961,1965,9410,1667,13731,2051,6979,1465,6543,1293,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,56149,2301,2066,695,1185,454,2924,681,3261,818,6626,1176,10212,1312,10298,1638,10163,1350,5759,1114,3655,851,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,39066,1776,1616,604,1618,651,2607,733,2497,711,5659,947,9872,1374,6045,1030,6015,948,1344,639,1793,601,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
