B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,GEO_ID,B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010MA,B25032F_010EA,B25032F_011MA,B25032F_011EA,NAME,B25032F_001MA,B25032F_001EA,B25032F_002EA,B25032F_002MA,B25032F_003EA,B25032F_003MA,B25032F_004MA,B25032F_004EA,B25032F_005MA,B25032F_005EA,B25032F_006MA,B25032F_006EA,B25032F_007EA,B25032F_007MA,B25032F_008EA,B25032F_008MA,B25032F_009EA,B25032F_009MA,state
2562,915,0,265,0400000US01,8554,1371,3415,821,435,399,305,232,416,315,939,380,352,285,48,82,82,136,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
20508,2186,416,379,0400000US04,172718,6117,108120,4619,6877,1179,3953,1148,6522,1564,7903,1475,6545,1607,6246,1338,5628,924,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1882,683,0,257,0400000US05,17266,2153,10368,1756,777,429,236,234,713,511,977,679,1877,755,315,316,121,123,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
52677,4422,1128,561,0400000US06,1550822,15040,850019,13387,104916,5011,44103,3597,114551,5729,117006,6191,97959,5163,93222,5257,75241,4643,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
6412,1478,41,77,0400000US08,99784,3771,55409,3220,4859,1087,2901,991,4747,1327,4854,1274,7181,1569,9184,1778,4196,1014,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
312,322,0,269,0400000US09,54207,2915,13282,1723,3767,1078,8218,1465,14365,2019,5723,1246,2926,971,2647,832,2967,946,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1003,584,0,261,0400000US10,5112,860,1805,567,670,362,585,497,367,362,68,109,469,296,0,261,145,177,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0,292,0,292,0400000US11,8410,1304,929,553,1730,623,141,223,602,467,746,571,681,458,1374,749,2207,996,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
16274,2325,28,46,0400000US12,222371,8260,105723,5708,18068,2192,8323,1649,12829,2222,16857,2556,16531,2176,15638,2616,12100,1989,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
