GEO_ID,B17020B_001E,B17020B_001M,B17020B_002E,B17020B_002M,B17020B_003E,B17020B_003M,B17020B_004E,B17020B_004M,B17020B_005E,B17020B_005M,B17020B_006E,B17020B_006M,B17020B_007E,B17020B_007M,B17020B_008E,B17020B_008M,B17020B_009E,B17020B_009M,B17020B_010E,B17020B_010M,B17020B_011E,B17020B_011M,B17020B_012E,B17020B_012M,B17020B_013E,B17020B_013M,B17020B_014E,B17020B_014M,B17020B_015E,B17020B_015M,B17020B_016E,B17020B_016M,B17020B_017E,B17020B_017M,NAME,B17020B_001MA,B17020B_001EA,B17020B_002MA,B17020B_002EA,B17020B_003MA,B17020B_003EA,B17020B_004MA,B17020B_004EA,B17020B_005EA,B17020B_005MA,B17020B_006EA,B17020B_006MA,B17020B_007EA,B17020B_007MA,B17020B_008MA,B17020B_008EA,B17020B_009MA,B17020B_009EA,B17020B_010EA,B17020B_010MA,B17020B_011EA,B17020B_011MA,B17020B_012EA,B17020B_012MA,B17020B_013MA,B17020B_013EA,B17020B_014MA,B17020B_014EA,B17020B_015MA,B17020B_015EA,B17020B_016EA,B17020B_016MA,B17020B_017EA,B17020B_017MA,state
0400000US01,1161844,5111,343838,14837,39200,3059,7364,1319,47877,4088,46693,4030,174500,7895,13954,1743,14250,1641,818006,15987,46961,3147,8863,1886,68587,4848,79998,4330,537304,8794,43593,2164,32700,2105,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,198951,5551,37201,6431,5384,1985,1394,727,5113,1799,4268,1304,19239,3177,913,555,890,438,161750,7266,10787,2020,1980,862,14218,2480,17593,2557,105680,3567,7347,831,4145,599,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,418728,4771,138090,8413,19742,2679,3467,1011,18339,2405,15041,2017,71203,4882,4061,876,6237,1033,280638,8533,17768,2232,3727,1016,23613,2468,31190,3050,181189,5411,13757,1134,9394,1125,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2145122,14707,442259,17467,49189,5041,9128,1662,55489,5291,64305,4873,239210,9554,14300,1865,10638,1574,1702863,19566,110457,5744,23638,2823,144445,5938,168337,6008,1092998,11117,97273,2682,65715,2199,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,170117,4885,38584,5289,5330,1426,952,566,5692,1641,4185,1222,20200,2730,1397,625,828,519,131533,6793,8240,2161,1517,683,10576,1961,12815,1945,89513,3999,5604,809,3268,658,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,316092,5001,51549,5668,5808,1389,987,588,6554,1751,7865,1554,27250,3129,1789,718,1296,747,264543,7243,17856,1584,3058,1053,22717,1982,31253,2407,167879,4674,13782,808,7998,795,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,169331,2194,31927,5342,3986,1561,764,509,4870,1701,5122,1557,15181,2304,887,459,1117,479,137404,5558,9561,1789,2093,715,10988,1848,12827,1628,90601,2414,7063,622,4271,557,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,310793,2978,83376,7145,8726,1812,1754,696,11121,2061,11487,1914,41826,4092,4117,918,4345,900,227417,7687,12678,2079,1845,837,13673,2013,18153,1962,144941,4360,18154,943,17973,1083,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2664315,14335,623982,23665,85177,5585,17231,2582,76155,6005,88250,6958,308077,11513,25296,2879,23796,2275,2040333,25089,150341,5403,29833,2833,177026,7641,209936,8898,1314424,12949,99414,3256,59359,2973,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
