GEO_ID,B19101G_001E,B19101G_001M,B19101G_002E,B19101G_002M,B19101G_003E,B19101G_003M,B19101G_004E,B19101G_004M,B19101G_005E,B19101G_005M,B19101G_006E,B19101G_006M,B19101G_007E,B19101G_007M,B19101G_008E,B19101G_008M,B19101G_009E,B19101G_009M,B19101G_010E,B19101G_010M,B19101G_011E,B19101G_011M,B19101G_012E,B19101G_012M,B19101G_013E,B19101G_013M,B19101G_014E,B19101G_014M,B19101G_015E,B19101G_015M,B19101G_016E,B19101G_016M,B19101G_017E,B19101G_017M,NAME,B19101G_001MA,B19101G_001EA,B19101G_002EA,B19101G_002MA,B19101G_003MA,B19101G_003EA,B19101G_004EA,B19101G_004MA,B19101G_005EA,B19101G_005MA,B19101G_006MA,B19101G_006EA,B19101G_007EA,B19101G_007MA,B19101G_008MA,B19101G_008EA,B19101G_009MA,B19101G_009EA,B19101G_010EA,B19101G_010MA,B19101G_011EA,B19101G_011MA,B19101G_012MA,B19101G_012EA,B19101G_013MA,B19101G_013EA,B19101G_014MA,B19101G_014EA,B19101G_015EA,B19101G_015MA,B19101G_016EA,B19101G_016MA,B19101G_017MA,B19101G_017EA,state
0400000US01,8417,1374,653,343,383,215,816,408,474,276,730,476,661,375,596,297,184,138,374,266,455,267,886,343,1325,549,539,340,205,166,54,70,82,119,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7128,1277,262,270,460,337,110,95,401,314,368,246,459,254,268,187,453,317,332,330,1020,535,377,281,1381,581,640,338,288,217,143,118,166,175,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,21341,2291,1683,883,944,411,646,300,1038,546,989,453,1194,606,1182,534,1151,599,1399,729,1670,695,2686,878,2696,787,1857,731,824,466,903,515,479,367,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,8244,1310,564,374,575,294,1080,503,686,579,901,508,667,308,550,509,354,173,529,379,633,321,749,439,544,282,263,237,78,95,18,35,53,79,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,161405,5599,7633,1513,5802,1357,7014,1579,7259,1194,6710,1249,7492,1355,8076,1259,7317,1378,6617,1268,15776,2145,17971,2097,24292,2525,15575,2071,7542,1287,9494,1238,6835,1342,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,18154,2002,2025,852,713,455,760,342,1275,469,707,454,651,362,764,469,1629,657,701,313,1382,547,2166,890,3088,948,1096,451,660,333,263,260,274,230,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,9135,1643,738,533,365,328,226,178,349,363,194,221,548,512,766,475,527,361,491,371,490,315,1288,620,1162,608,833,358,255,231,511,267,392,269,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,59614,3805,3025,884,2162,620,3263,952,3277,952,3489,1035,4785,1114,3569,1185,4295,1111,2911,880,5621,1224,6497,1107,8132,1350,4709,1104,1037,422,1082,447,1760,601,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,18600,1963,1145,472,1018,474,881,479,1277,610,1213,502,1196,474,928,514,789,500,891,517,2818,948,2232,1025,1871,760,1087,409,851,413,255,194,148,129,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,44400,3071,3298,827,623,288,1196,568,2256,858,2094,769,1989,700,2082,700,2658,839,2005,670,3662,928,5106,1165,5608,1165,5383,1045,2831,773,2066,674,1543,645,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,5751,983,432,305,699,437,322,314,228,202,581,402,579,316,308,247,303,218,344,267,595,334,383,230,616,375,284,205,0,253,0,253,77,128,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,27824,2484,1833,716,1388,628,1015,486,1483,610,1150,513,1833,767,1634,577,1116,591,1449,507,2168,688,3664,859,4076,1041,2233,665,1309,566,461,324,1012,434,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,13148,1686,1260,565,680,398,569,380,791,427,1197,638,1070,577,724,335,666,336,805,403,1133,426,1478,471,1703,462,560,385,302,242,159,180,51,92,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,4883,1153,357,260,654,391,712,512,51,65,409,229,277,221,114,92,66,104,388,353,377,301,768,411,215,166,122,147,306,295,0,221,67,68,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
