GEO_ID,C24010B_001E,C24010B_001M,C24010B_002E,C24010B_002M,C24010B_003E,C24010B_003M,C24010B_004E,C24010B_004M,C24010B_005E,C24010B_005M,C24010B_006E,C24010B_006M,C24010B_007E,C24010B_007M,C24010B_008E,C24010B_008M,C24010B_009E,C24010B_009M,C24010B_010E,C24010B_010M,C24010B_011E,C24010B_011M,C24010B_012E,C24010B_012M,C24010B_013E,C24010B_013M,C24010B_014E,C24010B_014M,C24010B_015E,C24010B_015M,NAME,C24010B_001MA,C24010B_001EA,C24010B_002EA,C24010B_002MA,C24010B_003MA,C24010B_003EA,C24010B_004MA,C24010B_004EA,C24010B_005EA,C24010B_005MA,C24010B_006EA,C24010B_006MA,C24010B_007EA,C24010B_007MA,C24010B_008MA,C24010B_008EA,C24010B_009MA,C24010B_009EA,C24010B_010MA,C24010B_010EA,C24010B_011MA,C24010B_011EA,C24010B_012MA,C24010B_012EA,C24010B_013MA,C24010B_013EA,C24010B_014MA,C24010B_014EA,C24010B_015EA,C24010B_015MA,state
0400000US01,458028,7234,212347,4979,31863,2888,43342,3465,29697,2899,2123,763,32633,2781,72689,4745,245681,5113,69370,3668,61499,3788,80320,4524,930,553,2628,848,30934,2440,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10623,1611,5470,1115,1397,830,1083,598,843,609,0,235,888,699,1259,663,5153,1016,1193,708,1539,1044,2191,843,0,235,54,100,176,234,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,91230,3593,48238,2400,14812,2149,10223,1669,11224,2037,0,291,6074,1698,5905,1484,42992,2207,15942,2234,6734,1773,18377,2399,0,291,103,128,1836,775,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,166132,5091,78347,3250,11196,1814,17154,1946,11862,1978,2643,842,9251,1728,26241,2417,87785,3843,24841,2480,25906,2257,22656,2812,424,311,466,431,13492,1747,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,896252,12544,432488,8451,127557,6494,83537,5399,98430,5924,1047,613,46050,4119,75867,4951,463764,7946,173925,5878,93409,4961,171203,6979,211,213,2694,868,22322,2282,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,81973,3894,44442,2611,11864,1591,7314,1598,10742,1991,0,271,4086,1157,10436,1747,37531,2704,10986,1738,10290,2343,14800,2231,0,271,23,38,1432,688,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,154058,4870,70729,3084,16186,2201,14746,2216,14955,1993,250,328,8323,1629,16269,2006,83329,3309,22430,2383,26901,3332,28477,2460,0,269,147,143,5374,1094,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,79204,3156,35757,2011,9977,1564,5722,1145,5887,1508,151,173,5773,1336,8247,1769,43447,2138,12193,1784,12139,1712,16278,2240,0,261,471,349,2366,832,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,121878,3999,54766,2406,16788,2267,12312,1680,12259,1877,155,186,6012,1120,7240,1420,67112,2960,29545,2258,13464,1825,22247,2035,0,292,314,270,1542,681,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1193228,12844,571409,8026,103553,5990,132458,6584,111560,6561,5267,1604,95453,5810,123118,7022,621819,10232,186681,7615,191722,6999,200025,7328,1015,572,4531,1328,37845,3739,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1183361,13920,555580,8358,110152,6060,90981,5474,110674,6590,4305,1344,72637,5441,166831,7499,627781,9228,188626,7884,150766,6295,213364,7344,1295,553,5460,1304,68270,4549,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,10247,1855,5446,1234,2296,945,1208,638,1105,816,0,267,325,265,512,393,4801,1122,2772,985,259,312,1443,746,0,267,254,238,73,123,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,696595,8074,304826,6166,66438,4476,67000,4904,61221,4264,218,227,26693,3169,83256,4339,391769,6038,131045,5378,91419,5026,139096,5896,179,222,2726,815,27304,2685,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,212633,6424,98295,3737,17720,2352,19902,2607,16444,2574,132,164,11077,1965,33020,3195,114338,4385,31081,3548,29714,2621,40590,3618,0,263,438,279,12515,1500,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,25856,1646,11920,1383,2137,768,2842,786,2311,947,0,221,828,411,3802,939,13936,1398,2394,911,4252,1161,5650,1385,37,68,205,382,1398,504,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,61652,2867,28879,1963,6664,1237,4938,1269,4971,929,15,31,3039,919,9252,1563,32773,1814,9959,1430,9095,1355,10719,1334,13,24,193,153,2794,857,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,129328,4524,60857,3055,10392,1571,14532,2154,9645,1711,145,161,5011,1281,21132,2276,68471,3234,19942,2642,18102,2095,20606,2434,27,55,187,175,9607,1498,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,492511,10041,223839,5429,25708,2566,50483,3925,32594,3274,2293,844,43360,4043,69401,4195,268672,6896,66976,4070,90711,4551,90976,4957,343,267,2588,1117,17078,2178,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5543,1111,3118,730,636,485,844,373,463,366,32,58,560,408,583,347,2425,769,773,454,935,463,638,529,0,223,0,223,79,104,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,774411,9141,352603,5851,107427,5688,66361,5107,70892,4829,136,166,41077,4714,66710,4613,421808,5880,165328,5825,90450,4736,146492,5838,0,277,2533,1011,17005,2383,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,169946,4985,82181,3160,21213,2049,20690,2867,15093,2124,37,66,11489,2232,13659,1995,87765,3515,27064,2680,31556,2797,24459,2550,0,277,324,187,4362,1025,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
