GEO_ID,B17001C_001E,B17001C_001M,B17001C_002E,B17001C_002M,B17001C_003E,B17001C_003M,B17001C_004E,B17001C_004M,B17001C_005E,B17001C_005M,B17001C_006E,B17001C_006M,B17001C_007E,B17001C_007M,B17001C_008E,B17001C_008M,B17001C_009E,B17001C_009M,B17001C_010E,B17001C_010M,B17001C_011E,B17001C_011M,B17001C_012E,B17001C_012M,B17001C_013E,B17001C_013M,B17001C_014E,B17001C_014M,B17001C_015E,B17001C_015M,B17001C_016E,B17001C_016M,B17001C_017E,B17001C_017M,B17001C_018E,B17001C_018M,B17001C_019E,B17001C_019M,B17001C_020E,B17001C_020M,B17001C_021E,B17001C_021M,B17001C_022E,B17001C_022M,B17001C_023E,B17001C_023M,B17001C_024E,B17001C_024M,B17001C_025E,B17001C_025M,B17001C_026E,B17001C_026M,B17001C_027E,B17001C_027M,B17001C_028E,B17001C_028M,B17001C_029E,B17001C_029M,B17001C_030E,B17001C_030M,B17001C_031E,B17001C_031M,B17001C_032E,B17001C_032M,B17001C_033E,B17001C_033M,B17001C_034E,B17001C_034M,B17001C_035E,B17001C_035M,B17001C_036E,B17001C_036M,B17001C_037E,B17001C_037M,B17001C_038E,B17001C_038M,B17001C_039E,B17001C_039M,B17001C_040E,B17001C_040M,B17001C_041E,B17001C_041M,B17001C_042E,B17001C_042M,B17001C_043E,B17001C_043M,B17001C_044E,B17001C_044M,B17001C_045E,B17001C_045M,B17001C_046E,B17001C_046M,B17001C_047E,B17001C_047M,B17001C_048E,B17001C_048M,B17001C_049E,B17001C_049M,B17001C_050E,B17001C_050M,B17001C_051E,B17001C_051M,B17001C_052E,B17001C_052M,B17001C_053E,B17001C_053M,B17001C_054E,B17001C_054M,B17001C_055E,B17001C_055M,B17001C_056E,B17001C_056M,B17001C_057E,B17001C_057M,B17001C_058E,B17001C_058M,B17001C_059E,B17001C_059M,NAME,B17001C_001EA,B17001C_001MA,B17001C_002EA,B17001C_002MA,B17001C_003EA,B17001C_003MA,B17001C_004MA,B17001C_004EA,B17001C_005MA,B17001C_005EA,B17001C_006EA,B17001C_006MA,B17001C_007EA,B17001C_007MA,B17001C_008EA,B17001C_008MA,B17001C_009MA,B17001C_009EA,B17001C_010MA,B17001C_010EA,B17001C_011EA,B17001C_011MA,B17001C_012EA,B17001C_012MA,B17001C_013EA,B17001C_013MA,B17001C_014MA,B17001C_014EA,B17001C_015MA,B17001C_015EA,B17001C_016EA,B17001C_016MA,B17001C_017EA,B17001C_017MA,B17001C_018EA,B17001C_018MA,B17001C_019MA,B17001C_019EA,B17001C_020MA,B17001C_020EA,B17001C_021EA,B17001C_021MA,B17001C_022EA,B17001C_022MA,B17001C_023EA,B17001C_023MA,B17001C_024MA,B17001C_024EA,B17001C_025MA,B17001C_025EA,B17001C_026EA,B17001C_026MA,B17001C_027EA,B17001C_027MA,B17001C_028EA,B17001C_028MA,B17001C_029MA,B17001C_029EA,B17001C_030MA,B17001C_030EA,B17001C_031MA,B17001C_031EA,B17001C_032EA,B17001C_032MA,B17001C_033EA,B17001C_033MA,B17001C_034EA,B17001C_034MA,B17001C_035MA,B17001C_035EA,B17001C_036MA,B17001C_036EA,B17001C_037EA,B17001C_037MA,B17001C_038EA,B17001C_038MA,B17001C_039EA,B17001C_039MA,B17001C_040MA,B17001C_040EA,B17001C_041MA,B17001C_041EA,B17001C_042MA,B17001C_042EA,B17001C_043EA,B17001C_043MA,B17001C_044EA,B17001C_044MA,B17001C_045EA,B17001C_045MA,B17001C_046MA,B17001C_046EA,B17001C_047MA,B17001C_047EA,B17001C_048MA,B17001C_048EA,B17001C_049MA,B17001C_049EA,B17001C_050MA,B17001C_050EA,B17001C_051EA,B17001C_051MA,B17001C_052EA,B17001C_052MA,B17001C_053EA,B17001C_053MA,B17001C_054MA,B17001C_054EA,B17001C_055MA,B17001C_055EA,B17001C_056EA,B17001C_056MA,B17001C_057EA,B17001C_057MA,B17001C_058EA,B17001C_058MA,B17001C_059MA,B17001C_059EA,state
0400000US01,20390,2429,4482,1726,1655,1001,144,140,0,265,439,278,154,180,68,93,27,49,110,140,180,201,281,358,80,154,105,111,67,109,0,265,2827,893,147,165,0,265,398,377,0,265,128,129,88,123,571,332,401,298,543,359,477,290,0,265,74,96,0,265,15908,1870,8274,1223,289,152,22,39,1035,366,431,258,176,133,416,243,650,338,813,283,1484,505,1492,461,1026,339,379,292,61,85,7634,1254,218,178,6,13,752,300,409,188,64,86,74,81,762,411,923,342,1066,386,2056,643,721,279,384,343,199,156,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,84846,2826,21858,2320,10674,1035,1176,285,291,148,1710,416,709,217,193,105,267,140,1550,416,1152,389,1434,447,1556,399,474,196,143,84,19,28,11184,1651,1317,304,141,72,1136,303,751,356,368,143,437,174,1511,434,1481,410,2194,641,986,284,413,201,319,247,130,87,62988,3046,30774,1645,2720,472,486,225,2762,459,1367,300,668,271,1600,452,3863,799,3251,515,4628,844,4274,543,2871,501,1755,354,529,107,32214,2242,1717,334,632,245,2535,761,1204,304,706,354,1381,462,3910,907,3974,760,5170,774,4179,545,3287,359,1925,434,1594,436,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,268555,6598,92293,8558,42646,4246,5536,1174,840,536,5919,1426,3449,994,1790,695,2202,771,6176,1618,4058,1478,5880,1337,3162,913,1682,558,1488,620,464,386,49647,5239,6491,1525,1358,680,6312,1381,3258,1073,641,457,2169,682,5727,1466,7832,1643,4931,1058,4733,925,2691,731,1436,621,2068,649,176262,9382,85498,4734,5765,1180,1720,869,7907,1590,5748,1258,1484,687,3837,958,11915,1751,13084,1800,11527,1267,9751,1226,6489,833,4318,843,1953,773,90764,5950,7558,1408,1149,582,7404,1554,5002,1179,1282,492,3780,822,10742,1689,13265,1833,13500,1508,13622,1307,6720,903,5063,1014,1677,750,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,22190,2355,5465,1594,2281,773,44,62,211,179,411,361,44,62,69,87,44,61,449,265,201,172,63,82,561,388,96,153,88,111,0,257,3184,1151,165,254,0,257,995,644,431,291,36,60,44,62,92,93,391,314,389,260,231,142,57,68,44,61,309,255,16725,1981,8204,1301,808,499,62,84,383,213,194,147,126,151,203,225,1339,538,1385,597,882,451,1331,478,950,429,482,230,59,103,8521,1277,210,156,123,94,698,484,159,173,69,99,187,159,1502,633,1550,622,1076,363,888,358,1171,471,433,277,455,249,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,255490,10007,42659,5605,19448,3584,1574,840,394,210,2596,983,1962,714,556,413,788,442,1847,658,1890,800,2725,1284,2552,887,2212,792,256,177,96,116,23211,3164,1248,558,467,316,1892,767,1029,522,234,183,885,497,3072,770,3994,1275,3732,974,2981,785,1963,525,947,490,767,433,212831,9432,107246,5921,5967,1260,1159,446,7109,1284,4201,1102,1426,540,2515,794,11314,1605,19821,2900,17444,1981,16402,2075,10680,1415,5978,1192,3230,808,105585,5423,5083,966,1202,582,8609,1390,3848,1061,1469,543,3562,979,10437,1477,15792,1989,15821,1960,17129,1616,12892,1433,6293,1030,3448,646,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,38990,3389,9436,2428,4734,1527,155,134,0,271,338,309,287,218,249,183,233,206,685,415,494,377,357,250,1203,566,518,399,75,108,140,172,4702,1304,155,146,205,185,650,372,178,183,23,45,105,110,926,544,422,254,841,473,711,326,298,192,51,73,137,137,29554,3320,15556,2247,881,496,49,81,970,476,590,298,420,347,905,526,1464,688,2988,928,2067,686,2051,732,2061,584,821,428,289,201,13998,1800,524,262,12,27,1220,585,376,217,275,227,453,332,480,299,2697,676,2358,608,2716,860,1896,611,598,311,393,253,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,52843,4909,8865,1922,3404,1191,138,180,0,300,231,208,258,229,98,108,184,209,480,448,445,334,780,514,388,262,300,246,58,97,44,88,5461,1317,229,258,51,103,61,55,187,198,107,152,351,330,501,310,1327,682,701,366,624,353,1006,545,191,184,125,173,43978,4554,22077,2982,706,448,54,74,1449,646,1049,488,29,52,669,407,1873,792,2877,895,2952,1015,6038,1863,3039,865,1025,523,317,234,21901,2660,879,610,28,47,1530,764,840,544,83,102,1104,643,1945,874,2835,795,2925,791,4625,1329,2858,758,1297,568,952,411,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
