GEO_ID,B18020B_001E,B18020B_001M,B18020B_002E,B18020B_002M,B18020B_003E,B18020B_003M,B18020B_004E,B18020B_004M,B18020B_005E,B18020B_005M,B18020B_006E,B18020B_006M,B18020B_007E,B18020B_007M,B18020B_008E,B18020B_008M,B18020B_009E,B18020B_009M,B18020B_010E,B18020B_010M,B18020B_011E,B18020B_011M,B18020B_012E,B18020B_012M,B18020B_013E,B18020B_013M,B18020B_014E,B18020B_014M,B18020B_015E,B18020B_015M,B18020B_016E,B18020B_016M,B18020B_017E,B18020B_017M,B18020B_018E,B18020B_018M,B18020B_019E,B18020B_019M,B18020B_020E,B18020B_020M,B18020B_021E,B18020B_021M,B18020B_022E,B18020B_022M,B18020B_023E,B18020B_023M,B18020B_024E,B18020B_024M,B18020B_025E,B18020B_025M,B18020B_026E,B18020B_026M,B18020B_027E,B18020B_027M,B18020B_028E,B18020B_028M,B18020B_029E,B18020B_029M,B18020B_030E,B18020B_030M,B18020B_031E,B18020B_031M,NAME,B18020B_001MA,B18020B_001EA,B18020B_002MA,B18020B_002EA,B18020B_003EA,B18020B_003MA,B18020B_004EA,B18020B_004MA,B18020B_005EA,B18020B_005MA,B18020B_006EA,B18020B_006MA,B18020B_007EA,B18020B_007MA,B18020B_008MA,B18020B_008EA,B18020B_009MA,B18020B_009EA,B18020B_010EA,B18020B_010MA,B18020B_011EA,B18020B_011MA,B18020B_012EA,B18020B_012MA,B18020B_013EA,B18020B_013MA,B18020B_014MA,B18020B_014EA,B18020B_015MA,B18020B_015EA,B18020B_016EA,B18020B_016MA,B18020B_017EA,B18020B_017MA,B18020B_018EA,B18020B_018MA,B18020B_019MA,B18020B_019EA,B18020B_020MA,B18020B_020EA,B18020B_021EA,B18020B_021MA,B18020B_022EA,B18020B_022MA,B18020B_023EA,B18020B_023MA,B18020B_024EA,B18020B_024MA,B18020B_025MA,B18020B_025EA,B18020B_026MA,B18020B_026EA,B18020B_027EA,B18020B_027MA,B18020B_028EA,B18020B_028MA,B18020B_029EA,B18020B_029MA,B18020B_030MA,B18020B_030EA,B18020B_031MA,B18020B_031EA,state
0400000US01,766878,4257,160349,5886,74248,4309,19774,2689,5682,1340,14092,2236,54474,3015,12740,1934,41734,2636,86101,4175,16316,2488,4282,1099,12034,2024,69785,3169,15779,1951,54006,3011,606529,6360,271064,4673,137154,3506,78006,3546,59148,3635,133910,3370,110299,3645,23611,2423,335465,4367,165835,3279,93164,4041,72671,4162,169630,3528,127009,3732,42621,3108,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14688,1255,2116,1131,1453,1050,398,507,12,23,386,505,1055,668,487,421,568,619,663,432,269,362,0,235,269,362,394,232,0,235,394,232,12572,1507,5993,1201,3021,721,2229,712,792,603,2972,791,2581,725,391,311,6579,897,3022,870,2164,702,858,638,3557,789,2989,891,568,572,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,131169,3147,18919,2293,9526,1679,2813,1082,1235,863,1578,751,6713,1302,2330,961,4383,1086,9393,1352,1577,616,661,459,916,442,7816,1214,2600,967,5216,1051,112250,3808,57919,2621,28447,1970,19395,1604,9052,1313,29472,1615,24240,1659,5232,1170,54331,2237,26314,1668,17448,1454,8866,1656,28017,1538,21683,1637,6334,1218,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,271956,3629,58476,3888,27066,2375,5902,1358,1561,637,4341,1213,21164,2128,7214,1362,13950,1804,31410,2793,7563,1546,1759,758,5804,1327,23847,2231,6165,1125,17682,2074,213480,5132,96918,2761,50413,2633,30212,2639,20201,1991,46505,2401,37664,2447,8841,1532,116562,3750,59214,2422,34223,2572,24991,2552,57348,2609,43950,2644,13398,1947,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1410946,9544,234982,7446,111625,4849,25281,2578,6884,1409,18397,2311,86344,4115,21666,2735,64678,3749,123357,5415,25371,3106,6375,1719,18996,3030,97986,4691,29485,2999,68501,3729,1175964,10251,555577,7069,262489,5065,152119,4351,110370,5062,293088,5485,238473,6541,54615,4115,620387,7864,278716,5063,157651,5762,121065,5324,341671,5420,256530,6233,85141,4522,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,114173,3157,13740,1970,7470,1537,1663,691,916,565,747,458,5807,1294,2970,891,2837,896,6270,1330,950,478,36,60,914,473,5320,1216,2331,1038,2989,898,100433,3313,51709,2313,23059,1800,14711,1698,8348,1401,28650,1553,24775,1831,3875,1088,48724,2190,22897,1728,15458,2105,7439,1431,25827,1549,18925,1729,6902,1176,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,210447,3592,25599,2819,9904,1663,2578,721,776,467,1802,657,7326,1425,2544,824,4782,1131,15695,1812,2774,867,1095,455,1679,837,12921,1701,5314,1250,7607,1307,184848,4491,86402,3204,40462,2536,25341,2475,15121,2159,45940,1651,39502,1846,6438,1246,98446,2631,44875,1745,29542,2066,15333,1861,53571,1868,44563,2064,9008,1463,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,113347,1403,18137,2329,8948,1545,2487,820,663,489,1824,657,6461,1330,2220,726,4241,1130,9189,1499,2032,773,321,262,1711,741,7157,1148,2437,741,4720,820,95210,2559,42672,1762,20168,1355,13233,1560,6935,1296,22504,1558,18683,1693,3821,1045,52538,1892,24298,1311,16133,1478,8165,1504,28240,1254,23344,1550,4896,1088,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,199497,1911,31902,3060,14350,1885,3791,1210,1037,496,2754,1056,10559,1393,2015,856,8544,1186,17552,2058,3778,1060,1058,615,2720,946,13774,1622,3853,1061,9921,1323,167595,3452,73180,2216,31416,1483,16885,1446,14531,1586,41764,1593,31531,1990,10233,1538,94415,2344,40345,1552,19813,1839,20532,1756,54070,1815,39646,2251,14424,1845,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1724485,9244,235413,9407,106404,6457,32429,3637,10971,2152,21458,3080,73975,4801,21765,2635,52210,3997,129009,6491,27454,3159,9556,1767,17898,2749,101555,5075,32525,3193,69030,4264,1489072,11759,691304,9034,343627,7005,224308,6266,119319,5622,347677,6811,297357,7009,50320,4376,797768,7783,385521,4610,241187,6662,144334,6330,412247,6132,322730,6658,89517,4929,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
